metabolite_id,compound_name,n_high,n_low,median_high,median_low,hl_estimate,delta_mcid,effect_size_ratio,ci_95_lower,ci_95_upper,prob_positive,prob_negative,prob_direction,prob_exceeds_mcid,direction_label,mw_pvalue,mw_pvalue_fdr
ncam,Nicotinamide,12,12,152.0855,159.8699,-3.9006,6.0232,0.6476,-30.9307,47.7608,0.4019,0.5981,0.5981,0.7372,Higher in slow-growing,0.8399,1.0000
carn,Carnosine,12,12,8028.3720,7956.8813,275.3899,791.1198,0.3481,-2890.0913,2826.9325,0.5947,0.4053,0.5947,0.6003,Higher in fast-growing,0.8399,1.0000
crtn,Creatinine,12,12,550.0502,593.5020,-3.1809,27.4946,0.1157,-111.0220,91.3727,0.4111,0.5889,0.5889,0.5329,Higher in slow-growing,0.8399,1.0000
udpg,UDP-Glucose,12,12,191.1822,191.4752,-3.8684,7.0085,0.5520,-35.7356,33.2101,0.4124,0.5876,0.5876,0.7309,Higher in slow-growing,0.8399,1.0000
thr__L,Threonine,12,12,709.5663,686.7485,14.0094,33.7949,0.4145,-98.3650,152.5370,0.5689,0.4311,0.5689,0.6440,Higher in fast-growing,0.8852,1.0000
his__D,Histidine,12,12,134.6813,126.2364,1.2637,5.2017,0.2429,-32.7826,26.7986,0.5517,0.4483,0.5517,0.7471,Higher in fast-growing,0.8852,1.0000
glu__L,Glutamate,12,12,1064.2854,1087.9396,-11.3516,49.6377,0.2287,-383.3589,305.1101,0.4546,0.5454,0.5454,0.7484,Higher in slow-growing,0.9310,1.0000
succ,Succinate,12,12,266.8176,269.1532,-2.5552,29.5695,0.0864,-144.0325,118.0004,0.4571,0.5429,0.5429,0.5404,Higher in slow-growing,0.9310,1.0000
inost,Scyllo-inositol,12,12,42.2611,39.7917,-0.1132,2.0460,0.0553,-12.8307,8.2661,0.4581,0.5419,0.5419,0.6645,Higher in slow-growing,0.9310,1.0000
taur,Taurine,12,12,14202.8628,13672.0368,-38.8392,902.5717,0.0430,-4558.4071,3258.2719,0.4596,0.5404,0.5404,0.6354,Higher in slow-growing,0.9310,1.0000
man,Mannose alpha,12,12,23.0357,15.5856,0.8562,5.4646,0.1567,-13.6375,22.5438,0.5235,0.2400,0.5235,0.5157,Higher in fast-growing,0.7040,1.0000
asp__L,Aspartate,12,12,383.9026,428.7385,-6.1101,44.4359,0.1375,-215.8852,176.7241,0.4876,0.5124,0.5124,0.6189,Higher in slow-growing,0.9770,1.0000
gln__D,Glutamine,12,12,3107.5368,2957.9325,9.4920,153.0720,0.0620,-969.4096,1942.9274,0.5084,0.4916,0.5084,0.6976,Higher in fast-growing,1.0000,1.0000
glyc,Glycerol,12,12,351.1976,414.3120,-2.1726,40.3285,0.0539,-177.2034,192.7324,0.4944,0.5056,0.5056,0.6018,Higher in slow-growing,1.0000,1.0000
metsox_S__L,Methionine sulfoxide,12,12,110.7719,109.6356,0.0811,6.0545,0.0134,-23.6843,20.0473,0.5021,0.4979,0.5021,0.5053,Higher in fast-growing,1.0000,1.0000
