tissue_clean,group,tissue_type,allometry_b,allometry_a,X_final,Y_final_wet,Y_final_dry,organ_fraction,X_initial,Y_initial_wet,Y_initial_dry,body_gain_total,organ_gain_wet,organ_gain_dry,mu_mmol_gDW_h,mu_avg_normalized,simplified_gain_dry,mu_simplified,mu_ratio
Liver,FG,liver,0.85,0.058071112373994094,2376.25,43,10.75,0.018095739084692267,45.25,1.4833237185095602,0.37083092962739006,2331,41.51667628149044,10.37916907037261,0.0053213409367810025,0.010287795117538478,8.963498158863755,0.004595534513998481,1.157937323845929
Liver,SG,liver,0.85,0.0629428827038364,1734.5833333333333,35.666666666666664,8.916666666666666,0.02056209464328609,38.83333333333326,1.4117916183611952,0.3529479045902988,1695.75,34.25487504830547,8.563718762076368,0.00529330388794712,0.010183514313647455,7.409486548162382,0.004579863613313049,1.155777624591308
Breast,FG,breast,1.35,0.014147611821524443,2376.25,510.6666666666667,117.45333333333335,0.2149044362616167,45.25,2.430906321668744,0.5591084539838111,2331,508.2357603449979,116.89422487934952,0.005485227841594894,0.010918480870842627,155.54256580746977,0.007298790110468175,0.7515256307655419
Breast,SG,breast,1.35,0.014890486136050004,1734.5833333333333,351.4166666666667,80.82583333333334,0.20259428296901275,38.83333333333326,2.0813023852686916,0.4786995486117991,1695.75,349.335364281398,80.34713378472154,0.005478821617109727,0.01089312753399784,106.6720437845304,0.00727390103290896,0.7532164092310519
Leg,FG,leg,1.05,0.06985279836804874,2376.25,244.83333333333331,56.31166666666667,0.10303349114501138,45.25,3.8245762319424346,0.87965253334676,2331,241.00875710139087,55.4320141333199,0.005425368486223912,0.010683843143104386,58.0013128879537,0.005676836752586356,0.9557027483223159
Leg,SG,leg,1.05,0.0713366289763736,1734.5833333333333,179.66666666666669,41.32333333333334,0.1035791496516935,38.83333333333326,3.326423093082173,0.7650773114088999,1695.75,176.3402435735845,40.558256021924436,0.005409422320066078,0.010622181177601126,42.41810883977901,0.005657478581151413,0.9561542730516445
