tissue,FG,SG,ratio_FG_SG
liver,0.005401234567901235,0.005364491475602586,1.0068493150684934
breast,0.0054589737129419665,0.005423631751653,1.006516290726817
leg,0.0053554790190010314,0.005259030386256849,1.0183396226415096
