tissue_clean,FG,SG,FG_SG_ratio,log2_FC
Liver,0.0053213409367810025,0.00529330388794712,1.0052967011581788,0.007621358236573044
Breast,0.005485227841594894,0.005478821617109727,1.0011692704988169,0.0016859152965598087
Leg,0.005425368486223912,0.005409422320066078,1.0029478501056723,0.004246592640109125
