Reaction ID,GPR rule (genes),Transcript effect (log2FC),Flux change log2(FG/SG),Adjusted p-value (FDR),Metabolic pathways,Subsystem,Concordant (transcript–flux),Significant reaction (transcript effect & flux ratio)
NADH2_u10m,NDUFS2 and NDUFA13 and NDUFB7 and NDUFS4 and NDUFC2 and NDUFB6 and NDUFB10 and NDUFAB1 and NDUFA8 and NDUFA5 and NDUFA12 and NDUFB2 and NDUFV3 and NDUFA9 and NDUFA7 and NDUFB9 and NDUFS6 and NDUFS3 and NDUFB1 and NDUFB8 and NDUFA10 and NDUFB3 and NDUFS1 and NDUFB5 and NDUFV2 and NDUFA6 and NDUFV1 and NDUFA2 and NDUFS8 and NDUFB4 and NDUFS7 and NDUFS5 and NDUFA4 and NDUFA1 and NDUFA11 and ND1 and ND3 and ND6 and ND5 and ND4 and ND4L and ND2,-0.8387,0.0144,,Oxidative Phosphorylation,Oxidative Phosphorylation,False,False
FBA,ALDOC or ALDOB,0.7735,0.0,0.0431,Pentose Phosphate Pathway,Redox & Pentose Metabolism,False,False
GAPD,GAPDH,0.3661,0.0,0.5069,Glycolysis/Gluconeogenesis,Central Energy Metabolism,False,False
GLCt1,SLC2A11 or SLC2A9 or SLC2A9L or SLC2A12 or SLC2A1 or SLC2A6 or SLC2A8 or SLC2A2 or SLC2A10,1.5006,0.0,0.1948,Extracellular Transport,Extracellular Transport,False,False
HEX1,ADPGK or HK2 or HK1 or HK3 or GCK or ADPGK,0.0548,0.0,0.5848,Glycolysis/Gluconeogenesis; Starch And Sucrose Metabolism,Central Energy Metabolism; Starch And Sucrose Metabolism,False,False
ILEtec,SLC43A2,-0.3215,0.0,0.4749,Extracellular Transport,Extracellular Transport,False,False
PFK,PFKP or (PFKP and PFKL) or (PFKP and PFKM) or PFKM or PFKL or (PFKL and PFKM),0.8443,0.0,0.2501,Glycolysis/Gluconeogenesis,Central Energy Metabolism,False,False
PGI,GPI,0.2209,0.0,0.6686,Glycolysis/Gluconeogenesis,Central Energy Metabolism,False,False
PGK,PGK2,0.7001,0.0,0.0946,Biosynthesis Of Amino Acids; Glycolysis/Gluconeogenesis,Biosynthesis Of Amino Acids; Central Energy Metabolism,False,False
TPI,TPI1,-0.2752,0.0,0.6106,Glycolysis/Gluconeogenesis,Central Energy Metabolism,False,False
VALtec,SLC43A2,-0.3215,0.0,0.4749,Extracellular Transport,Extracellular Transport,False,False
r0552m,ALDH7A1,0.0158,0.0,0.9641,"Alanine, Aspartate And Glutamate Metabolism; Glycine, Serine And Threonine Metabolism","AA central (A/D/E,G/S/T)",False,False
r0553m,ALDH7A1,0.0158,0.0,0.9641,"Alanine, Aspartate And Glutamate Metabolism; Glycine, Serine And Threonine Metabolism","AA central (A/D/E,G/S/T)",False,False
