Pathway Groups,Increased,Decreased,On,Off,Unchanged,Increased_reactions,Decreased_reactions,Reversed_reactions,On_reactions,Off_reactions,Unchanged_reactions,n_reactions,flux_fast,flux_slow,total_flux_shift,mean_flux_shift
2-oxocarboxylic Acid Metabolism,20,0,0,2,128,2OXOADOXm (4.65); r0450 (4.65); 2OXOADOXm (4.65); SACCD3m (4.65); r0450 (4.65); r0525 (4.65); r0594m (4.65); 2OXOADOXm (4.65); ECOAH1m (4.65); HACD1m (4.65); r0541 (4.65); r0450 (4.65); r0450 (4.65); HMGCOASim (4.65); HMGLm (4.65); ECOAH1m (4.65); HACD1m (4.65); SACCD3m (4.65); r0450 (4.65); r0525 (4.65),,,,PRO1xm (2000.00); P5CDm (2000.00),ALATA__L (1.12); ASPTA (1.12); GLUDxm (1.07); GLUNm (0.99); r0034 (1.12); ACONTm (1.02); AKGDm (1.01); ALATA__L (1.12); ASPTA (1.12); CSm (1.02); ICDHxm (1.02); ILETA (0.96); PDHm (1.04); PHETA1 (1.02); PHETA1m (1.02); VALTA (0.89); 3HKYNAKGAT (1.12); ACACT1r (1.12); FKYNH (1.12); KYN3OX (1.12); TRPO2 (1.12); r0647 (1.12); PHETA1 (1.02); PHETA1m (1.02); PHETA1 (1.02); PHETA1m (1.02); ACONTm (1.02); ALATA__L (1.12); ASPTA (1.12); CSm (1.02); ENO (1.00); GHMT2rm (1.12); ICDHxm (1.02); ILETA (0.96); PCm (1.02); PGCD (1.12); PGK (1.00); PGM (1.00); PHETA1 (1.02); PHETA1m (1.02); PRPPS (1.12); PSERT (1.12); PYK (1.00); RPI (1.12); VALTA (0.89); r0034 (1.12); ACONTm (1.02); AKGDm (1.01); CSm (1.02); FUM (1.03); FUMm (1.02); ICDHxm (1.02); MDH (1.12); PCm (1.02); SUCOASm (1.01); r0509 (1.01); VALTA (0.89); ADSL1 (1.12); ADSS (1.12); ALATA__L (1.12); ASPCTr (1.12); ASPTA (1.12); GCC2am (1.12); GCC2bim (1.12); GHMT2rm (1.12); GLUDxm (1.07); GLUNm (0.99); GLUPRT (1.12); PGCD (1.12); PSERT (1.12); PSP__Lm (1.12); r0034 (1.12); r0552 (1.05); r0552m (1.01); r0553 (1.05); r0553m (1.01); 3HBCOAHLm (0.89); ACACT10m (0.96); ECOAH12m (0.89); ECOAH9m (0.96); HACD9m (0.96); HIBDm (0.89); ILETA (0.96); MMEm (0.93); MMMm (0.93); MMSAD1m (0.89); PPCOACm (0.93); VALTA (0.89); r0385 (0.89); r0560 (0.89); r0561 (0.89); r0603 (0.96); r0604 (0.96); r0670 (0.96); 3HBCOAHLm (0.89); AACOAT (1.12); ACACT10m (0.96); ACACT1r (1.12); ECOAH12m (0.89); ECOAH9m (0.96); HACD9m (0.96); ILETA (0.96); MMEm (0.93); MMMm (0.93); MMSAD1m (0.89); PPCOACm (0.93); VALTA (0.89); ENO (1.00); GAPD (1.00); GCC2cm (0.93); HEX1 (1.00); PDHm (1.04); PFK (1.00); PGI (1.00); PGK (1.00); PGM (1.00); PGMT (1.12); PYK (1.00); TPI (1.00); _LDH__L (0.99); ACACT1r (1.12); CSm (1.02); GHMT2rm (1.12); MDH (1.12); MMEm (0.93); MMMm (0.93); PPCOACm (0.93); ACACT1r (1.12),150,250.36214964987354,247.5472631765087,2.814886473364851,0.01876590982243234
"AA central (A/D/E,G/S/T)",4,0,0,2,235,2OXOADOXm (4.65); r0450 (4.65); r0450 (4.65); r1418 (2.56),,,,PRO1xm (2000.00); P5CDm (2000.00),ALATA__L (1.12); ASPTA (1.12); GLUDxm (1.07); GLUNm (0.99); r0034 (1.12); ACONTm (1.02); AKGDm (1.01); ALATA__L (1.12); ASPTA (1.12); CSm (1.02); ICDHxm (1.02); ILETA (0.96); PDHm (1.04); PHETA1 (1.02); PHETA1m (1.02); VALTA (0.89); ACONTm (1.02); ALATA__L (1.12); ASPTA (1.12); CSm (1.02); ENO (1.00); GHMT2rm (1.12); ICDHxm (1.02); ILETA (0.96); PCm (1.02); PGCD (1.12); PGK (1.00); PGM (1.00); PHETA1 (1.02); PHETA1m (1.02); PRPPS (1.12); PSERT (1.12); PYK (1.00); RPI (1.12); VALTA (0.89); r0034 (1.12); r0034 (1.12); GLUDxm (1.07); GLUDxm (1.07); r0034 (1.12); r1418c (1.03); r1418m (1.02); PGCD (1.12); PSERT (1.12); GHMT2rm (1.12); GCC2am (1.12); GCC2bim (1.12); GHMT2rm (1.12); PGCD (1.12); PGM (1.00); PSERT (1.12); PSP__Lm (1.12); r0552 (1.05); r0552m (1.01); r0553 (1.05); r0553m (1.01); ASPCTr (1.12); CTPS2 (1.12); CYTDK1 (1.12); CYTK1 (1.12); CYTK1m (1.12); NDPK3m (1.12); NDPK4n (1.12); NDPK6m (1.12); NTD2 (1.12); OMPDC (1.12); ORPT (1.12); PYNP2r (1.12); URIDK2 (1.12); ASPCTr (1.12); CTPS2 (1.12); OMPDC (1.12); ORPT (1.12); RE0452M (1.12); _DHORD9 (1.12); _DHORTS (1.12); ADSL1 (1.12); ADSS (1.12); ALATA__L (1.12); ASPCTr (1.12); ASPTA (1.12); GCC2am (1.12); GCC2bim (1.12); GHMT2rm (1.12); GLUDxm (1.07); GLUNm (0.99); GLUPRT (1.12); PGCD (1.12); PSERT (1.12); PSP__Lm (1.12); r0034 (1.12); r0552 (1.05); r0552m (1.01); r0553 (1.05); r0553m (1.01); ENO (1.00); GHMT2rm (1.12); MDH (1.12); PGCD (1.12); PGM (1.00); PSERT (1.12); ENO (1.00); GAPD (1.00); GCC2cm (0.93); HEX1 (1.00); PDHm (1.04); PFK (1.00); PGI (1.00); PGK (1.00); PGM (1.00); PGMT (1.12); PYK (1.00); TPI (1.00); _LDH__L (0.99); ACACT1r (1.12); CSm (1.02); GHMT2rm (1.12); MDH (1.12); MMEm (0.93); MMMm (0.93); PPCOACm (0.93); AICART (1.12); FTHFL (1.12); GARFT (1.12); GHMT2rm (1.12); r0226 (1.12); r0552 (1.05); r0553 (1.05); ADSL2 (1.12); AICART (1.12); AIRCr (1.12); GARFT (1.12); GLUPRT (1.12); IMPC (1.12); PRAGSr (1.12); PRASCS (1.12); PRFGS (1.12); r0666 (1.12); ADK1 (1.12); ADKd (1.12); ADSL1 (1.12); ADSS (1.12); CYTDK1 (1.12); CYTK1 (1.12); CYTK12 (1.12); CYTK1m (1.12); GK1 (1.12); GMPR (1.04); NDPK1 (1.12); NDPK10 (1.12); NDPK10n (1.12); NDPK3m (1.12); NDPK4n (1.12); NDPK5 (1.12); NDPK6m (1.12); NDPK8 (1.12); NDPK8m (1.12); NTD7 (1.12); NTD8 (1.12); NTD9m (1.12); PUNP1 (1.12); RNDR2 (1.12); RNDR3 (1.12); TMDSm (1.12); TRDR (1.12); UMPK2m (1.12); URIDK2 (1.12); _DADNK (1.12); _DGK1 (1.12); _DURIK1 (1.12); _DURIPP (1.12); _DUTPDPm (1.12); r0475 (1.12); r0531 (1.12); ADK1 (1.12); ADSL1 (1.12); ADSS (1.12); ATPM (1.00); CTPS2 (1.12); CYTDK1 (1.12); CYTK1 (1.12); CYTK1m (1.12); GK1 (1.12); GMPR (1.04); GUAPRT (1.12); NDPK1 (1.12); NDPK10 (1.12); NDPK10n (1.12); NDPK3m (1.12); NDPK4n (1.12); NDPK5 (1.12); NDPK6m (1.12); NDPK8 (1.12); NDPK8m (1.12); NTD2 (1.12); NTD7 (1.12); NTD8 (1.12); PUNP1 (1.12); PUNP2 (1.12); PUNP3 (1.12); PUNP4 (1.12); PYNP2r (1.12); URIDK2 (1.12); r0276 (1.04); ADK1 (1.12); ADSL1 (1.12); ADSL2 (1.12); ADSS (1.12); AICART (1.12); AIRCr (1.12); ATPM (1.00); GARFT (1.12); GK1 (1.12); GLUPRT (1.12); GMPR (1.04); GUAPRT (1.12); IMPC (1.12); NDPK1 (1.12); NDPK10 (1.12); NDPK10n (1.12); NDPK5 (1.12); NDPK8 (1.12); NDPK8m (1.12); NTD7 (1.12); NTD8 (1.12); PPM (1.12); PRAGSr (1.12); PRASCS (1.12); PRFGS (1.12); PRPPS (1.12); PUNP1 (1.12); PUNP2 (1.12); PUNP3 (1.12); PUNP4 (1.12); r0276 (1.04),241,263.63844779574623,261.9115519305167,1.726895865229551,0.007165543009251249
AA other (Cys/Met/Lys/Arg/Pro),30,0,2,3,123,2OXOADOXm (4.65); r0450 (4.65); 2OXOADOXm (4.65); SACCD3m (4.65); r0450 (4.65); r0525 (4.65); r0594m (4.65); 2OXOADOXm (4.65); ECOAH1m (4.65); HACD1m (4.65); r0541 (4.65); r0450 (4.65); r0450 (4.65); r1418 (2.56); HMGCOASim (4.65); HMGLm (4.65); ECOAH1m (4.65); HACD1m (4.65); HMGCOASim (4.65); HMGLm (4.65); HMGCOASim (4.65); ECOAH1m (4.65); HACD1m (4.65); SACCD3m (4.65); r0450 (4.65); r0525 (4.65); ECOAH1m (4.65); HACD1m (4.65); ECOAH1m (4.65); HACD1m (4.65),,,ACACt2 (1000.00); ACACt2 (1000.00),PRO1xm (2000.00); P5CDm (2000.00); PRO1xm (2000.00),ALATA__L (1.12); ASPTA (1.12); GLUDxm (1.07); GLUNm (0.99); r0034 (1.12); ACONTm (1.02); AKGDm (1.01); ALATA__L (1.12); ASPTA (1.12); CSm (1.02); ICDHxm (1.02); ILETA (0.96); PDHm (1.04); PHETA1 (1.02); PHETA1m (1.02); VALTA (0.89); 3HKYNAKGAT (1.12); ACACT1r (1.12); FKYNH (1.12); KYN3OX (1.12); TRPO2 (1.12); r0647 (1.12); ACONTm (1.02); ALATA__L (1.12); ASPTA (1.12); CSm (1.02); ENO (1.00); GHMT2rm (1.12); ICDHxm (1.02); ILETA (0.96); PCm (1.02); PGCD (1.12); PGK (1.00); PGM (1.00); PHETA1 (1.02); PHETA1m (1.02); PRPPS (1.12); PSERT (1.12); PYK (1.00); RPI (1.12); VALTA (0.89); r0034 (1.12); r0034 (1.12); GLUDxm (1.07); GLUDxm (1.07); r0034 (1.12); r1418c (1.03); r1418m (1.02); PGCD (1.12); PSERT (1.12); GCC2am (1.12); GCC2bim (1.12); GHMT2rm (1.12); PGCD (1.12); PGM (1.00); PSERT (1.12); PSP__Lm (1.12); r0552 (1.05); r0552m (1.01); r0553 (1.05); r0553m (1.01); ADSL1 (1.12); ADSS (1.12); ALATA__L (1.12); ASPCTr (1.12); ASPTA (1.12); GCC2am (1.12); GCC2bim (1.12); GHMT2rm (1.12); GLUDxm (1.07); GLUNm (0.99); GLUPRT (1.12); PGCD (1.12); PSERT (1.12); PSP__Lm (1.12); r0034 (1.12); r0552 (1.05); r0552m (1.01); r0553 (1.05); r0553m (1.01); 3HBCOAHLm (0.89); AACOAT (1.12); ACACT10m (0.96); ACACT1r (1.12); ECOAH12m (0.89); ECOAH9m (0.96); HACD9m (0.96); ILETA (0.96); MMEm (0.93); MMMm (0.93); MMSAD1m (0.89); PPCOACm (0.93); VALTA (0.89); ENO (1.00); GHMT2rm (1.12); MDH (1.12); PGCD (1.12); PGM (1.00); PSERT (1.12); AACOAT (1.12); ACACT1r (1.12); ACACT1r (1.12); ACACT1r (1.12); CSm (1.02); GHMT2rm (1.12); MDH (1.12); MMEm (0.93); MMMm (0.93); PPCOACm (0.93); ACACT1r (1.12); ACACT1r (1.12); ACCOACm (1.12); _LCAT1e (1.12); ACACT1r (1.12); ACCOACm (1.12); ACACT1r (1.12); ACCOACm (1.12); FUM (1.03); FUMm (1.02); MDH (1.12); ME2m (1.01); PCm (1.02); PYK (1.00),158,178.24364794376524,175.5059250754825,2.737722868282731,0.01732735992584007
AAA metabolism (Trp/Phe/Tyr),28,0,2,1,78,2OXOADOXm (4.65); r0450 (4.65); 2OXOADOXm (4.65); SACCD3m (4.65); r0450 (4.65); r0525 (4.65); r0594m (4.65); 2OXOADOXm (4.65); ECOAH1m (4.65); HACD1m (4.65); r0541 (4.65); r0450 (4.65); HMGCOASim (4.65); HMGLm (4.65); ECOAH1m (4.65); HACD1m (4.65); HMGCOASim (4.65); HMGLm (4.65); HMGCOASim (4.65); ECOAH1m (4.65); HACD1m (4.65); SACCD3m (4.65); r0450 (4.65); r0525 (4.65); ECOAH1m (4.65); HACD1m (4.65); ECOAH1m (4.65); HACD1m (4.65),,,ACACt2 (1000.00); ACACt2 (1000.00),PRO1xm (2000.00),ACONTm (1.02); AKGDm (1.01); ALATA__L (1.12); ASPTA (1.12); CSm (1.02); ICDHxm (1.02); ILETA (0.96); PDHm (1.04); PHETA1 (1.02); PHETA1m (1.02); VALTA (0.89); 3HKYNAKGAT (1.12); ACACT1r (1.12); FKYNH (1.12); KYN3OX (1.12); TRPO2 (1.12); r0647 (1.12); PHETA1 (1.02); PHETA1m (1.02); PHETA1 (1.02); PHETA1m (1.02); ACONTm (1.02); ALATA__L (1.12); ASPTA (1.12); CSm (1.02); ENO (1.00); GHMT2rm (1.12); ICDHxm (1.02); ILETA (0.96); PCm (1.02); PGCD (1.12); PGK (1.00); PGM (1.00); PHETA1 (1.02); PHETA1m (1.02); PRPPS (1.12); PSERT (1.12); PYK (1.00); RPI (1.12); VALTA (0.89); r0034 (1.12); 3HBCOAHLm (0.89); AACOAT (1.12); ACACT10m (0.96); ACACT1r (1.12); ECOAH12m (0.89); ECOAH9m (0.96); HACD9m (0.96); ILETA (0.96); MMEm (0.93); MMMm (0.93); MMSAD1m (0.89); PPCOACm (0.93); VALTA (0.89); AACOAT (1.12); ACACT1r (1.12); ACACT1r (1.12); ACACT1r (1.12); CSm (1.02); GHMT2rm (1.12); MDH (1.12); MMEm (0.93); MMMm (0.93); PPCOACm (0.93); ACACT1r (1.12); ACACT1r (1.12); ACCOACm (1.12); _LCAT1e (1.12); ACACT1r (1.12); ACCOACm (1.12); ACACT1r (1.12); ACCOACm (1.12); FUM (1.03); FUMm (1.02); MDH (1.12); ME2m (1.01); PCm (1.02); PYK (1.00),109,167.96863985917608,164.9343479964624,3.0342918627136726,0.02783754002489608
BCAA metabolism (Val/Leu/Iso),25,0,2,1,98,2OXOADOXm (4.65); r0450 (4.65); 2OXOADOXm (4.65); ECOAH1m (4.65); HACD1m (4.65); r0541 (4.65); r0450 (4.65); HMGCOASim (4.65); HMGLm (4.65); ECOAH1m (4.65); HACD1m (4.65); HMGCOASim (4.65); HMGLm (4.65); HMGLm (4.65); HMGCOASim (4.65); ECOAH1m (4.65); HACD1m (4.65); SACCD3m (4.65); r0450 (4.65); r0525 (4.65); ECOAH1m (4.65); HACD1m (4.65); ECOAH1m (4.65); HACD1m (4.65); HMGCOASim (4.65),,,ACACt2 (1000.00); ACACt2 (1000.00),PRO1xm (2000.00),ACONTm (1.02); AKGDm (1.01); ALATA__L (1.12); ASPTA (1.12); CSm (1.02); ICDHxm (1.02); ILETA (0.96); PDHm (1.04); PHETA1 (1.02); PHETA1m (1.02); VALTA (0.89); 3HKYNAKGAT (1.12); ACACT1r (1.12); FKYNH (1.12); KYN3OX (1.12); TRPO2 (1.12); r0647 (1.12); ACONTm (1.02); ALATA__L (1.12); ASPTA (1.12); CSm (1.02); ENO (1.00); GHMT2rm (1.12); ICDHxm (1.02); ILETA (0.96); PCm (1.02); PGCD (1.12); PGK (1.00); PGM (1.00); PHETA1 (1.02); PHETA1m (1.02); PRPPS (1.12); PSERT (1.12); PYK (1.00); RPI (1.12); VALTA (0.89); r0034 (1.12); VALTA (0.89); 3HBCOAHLm (0.89); ACACT10m (0.96); ECOAH12m (0.89); ECOAH9m (0.96); HACD9m (0.96); HIBDm (0.89); ILETA (0.96); MMEm (0.93); MMMm (0.93); MMSAD1m (0.89); PPCOACm (0.93); VALTA (0.89); r0385 (0.89); r0560 (0.89); r0561 (0.89); r0603 (0.96); r0604 (0.96); r0670 (0.96); 3HBCOAHLm (0.89); AACOAT (1.12); ACACT10m (0.96); ACACT1r (1.12); ECOAH12m (0.89); ECOAH9m (0.96); HACD9m (0.96); ILETA (0.96); MMEm (0.93); MMMm (0.93); MMSAD1m (0.89); PPCOACm (0.93); VALTA (0.89); AACOAT (1.12); ACACT1r (1.12); ACACT1r (1.12); ACACT1r (1.12); CSm (1.02); GHMT2rm (1.12); MDH (1.12); MMEm (0.93); MMMm (0.93); PPCOACm (0.93); ACACT1r (1.12); ACACT1r (1.12); ACCOACm (1.12); _LCAT1e (1.12); ACACT1r (1.12); ACCOACm (1.12); ACACT1r (1.12); ACCOACm (1.12); FUM (1.03); FUMm (1.02); MDH (1.12); ME2m (1.01); PCm (1.02); PYK (1.00); ACCOACm (1.12); MMEm (0.93); MMMm (0.93); PPCOACm (0.93); SUCOASm (1.01),126,129.38025075444335,127.29006589934183,2.0901848551015263,0.016588768691281956
Biomass And Maintenance Functions,0,0,0,0,63,,,,,,ATPM (1.00); BIOMASS_maintenance (1.12); ADK1 (1.12); ADSL1 (1.12); ADSS (1.12); ATPM (1.00); CTPS2 (1.12); CYTDK1 (1.12); CYTK1 (1.12); CYTK1m (1.12); GK1 (1.12); GMPR (1.04); GUAPRT (1.12); NDPK1 (1.12); NDPK10 (1.12); NDPK10n (1.12); NDPK3m (1.12); NDPK4n (1.12); NDPK5 (1.12); NDPK6m (1.12); NDPK8 (1.12); NDPK8m (1.12); NTD2 (1.12); NTD7 (1.12); NTD8 (1.12); PUNP1 (1.12); PUNP2 (1.12); PUNP3 (1.12); PUNP4 (1.12); PYNP2r (1.12); URIDK2 (1.12); r0276 (1.04); ADK1 (1.12); ADSL1 (1.12); ADSL2 (1.12); ADSS (1.12); AICART (1.12); AIRCr (1.12); ATPM (1.00); GARFT (1.12); GK1 (1.12); GLUPRT (1.12); GMPR (1.04); GUAPRT (1.12); IMPC (1.12); NDPK1 (1.12); NDPK10 (1.12); NDPK10n (1.12); NDPK5 (1.12); NDPK8 (1.12); NDPK8m (1.12); NTD7 (1.12); NTD8 (1.12); PPM (1.12); PRAGSr (1.12); PRASCS (1.12); PRFGS (1.12); PRPPS (1.12); PUNP1 (1.12); PUNP2 (1.12); PUNP3 (1.12); PUNP4 (1.12); r0276 (1.04),63,60.81331777804979,60.550410307491504,0.26290747055828945,0.004173134453306182
Biosynthesis Of Amino Acids,17,0,0,3,200,2OXOADOXm (4.65); r0450 (4.65); 2OXOADOXm (4.65); SACCD3m (4.65); r0450 (4.65); r0525 (4.65); r0594m (4.65); r0450 (4.65); r0450 (4.65); r1418 (2.56); HMGCOASim (4.65); HMGLm (4.65); ECOAH1m (4.65); HACD1m (4.65); SACCD3m (4.65); r0450 (4.65); r0525 (4.65),,,,PRO1xm (2000.00); P5CDm (2000.00); PRO1xm (2000.00),ALATA__L (1.12); ASPTA (1.12); GLUDxm (1.07); GLUNm (0.99); r0034 (1.12); ACONTm (1.02); AKGDm (1.01); ALATA__L (1.12); ASPTA (1.12); CSm (1.02); ICDHxm (1.02); ILETA (0.96); PDHm (1.04); PHETA1 (1.02); PHETA1m (1.02); VALTA (0.89); PHETA1 (1.02); PHETA1m (1.02); PHETA1 (1.02); PHETA1m (1.02); ACONTm (1.02); ALATA__L (1.12); ASPTA (1.12); CSm (1.02); ENO (1.00); GHMT2rm (1.12); ICDHxm (1.02); ILETA (0.96); PCm (1.02); PGCD (1.12); PGK (1.00); PGM (1.00); PHETA1 (1.02); PHETA1m (1.02); PRPPS (1.12); PSERT (1.12); PYK (1.00); RPI (1.12); VALTA (0.89); r0034 (1.12); ACONTm (1.02); AKGDm (1.01); CSm (1.02); FUM (1.03); FUMm (1.02); ICDHxm (1.02); MDH (1.12); PCm (1.02); SUCOASm (1.01); r0509 (1.01); VALTA (0.89); r0034 (1.12); GLUDxm (1.07); r0034 (1.12); r1418c (1.03); r1418m (1.02); PGCD (1.12); PSERT (1.12); GHMT2rm (1.12); GCC2am (1.12); GCC2bim (1.12); GHMT2rm (1.12); PGCD (1.12); PGM (1.00); PSERT (1.12); PSP__Lm (1.12); r0552 (1.05); r0552m (1.01); r0553 (1.05); r0553m (1.01); ADSL1 (1.12); ADSS (1.12); ALATA__L (1.12); ASPCTr (1.12); ASPTA (1.12); GCC2am (1.12); GCC2bim (1.12); GHMT2rm (1.12); GLUDxm (1.07); GLUNm (0.99); GLUPRT (1.12); PGCD (1.12); PSERT (1.12); PSP__Lm (1.12); r0034 (1.12); r0552 (1.05); r0552m (1.01); r0553 (1.05); r0553m (1.01); 3HBCOAHLm (0.89); ACACT10m (0.96); ECOAH12m (0.89); ECOAH9m (0.96); HACD9m (0.96); HIBDm (0.89); ILETA (0.96); MMEm (0.93); MMMm (0.93); MMSAD1m (0.89); PPCOACm (0.93); VALTA (0.89); r0385 (0.89); r0560 (0.89); r0561 (0.89); r0603 (0.96); r0604 (0.96); r0670 (0.96); 3HBCOAHLm (0.89); AACOAT (1.12); ACACT10m (0.96); ACACT1r (1.12); ECOAH12m (0.89); ECOAH9m (0.96); HACD9m (0.96); ILETA (0.96); MMEm (0.93); MMMm (0.93); MMSAD1m (0.89); PPCOACm (0.93); VALTA (0.89); ENO (1.00); GHMT2rm (1.12); MDH (1.12); PGCD (1.12); PGM (1.00); PSERT (1.12); ENO (1.00); GAPD (1.00); GCC2cm (0.93); HEX1 (1.00); PDHm (1.04); PFK (1.00); PGI (1.00); PGK (1.00); PGM (1.00); PGMT (1.12); PYK (1.00); TPI (1.00); _LDH__L (0.99); ACACT1r (1.12); CSm (1.02); GHMT2rm (1.12); MDH (1.12); MMEm (0.93); MMMm (0.93); PPCOACm (0.93); ACACT1r (1.12); ACACT1r (1.12); ACCOACm (1.12); FUM (1.03); FUMm (1.02); MDH (1.12); ME2m (1.01); PCm (1.02); PYK (1.00); AICART (1.12); FTHFL (1.12); GARFT (1.12); GHMT2rm (1.12); r0226 (1.12); r0552 (1.05); r0553 (1.05); ADK1 (1.12); ADSL1 (1.12); ADSL2 (1.12); ADSS (1.12); AICART (1.12); AIRCr (1.12); ATPM (1.00); GARFT (1.12); GK1 (1.12); GLUPRT (1.12); GMPR (1.04); GUAPRT (1.12); IMPC (1.12); NDPK1 (1.12); NDPK10 (1.12); NDPK10n (1.12); NDPK5 (1.12); NDPK8 (1.12); NDPK8m (1.12); NTD7 (1.12); NTD8 (1.12); PPM (1.12); PRAGSr (1.12); PRASCS (1.12); PRFGS (1.12); PRPPS (1.12); PUNP1 (1.12); PUNP2 (1.12); PUNP3 (1.12); PUNP4 (1.12); r0276 (1.04); FBA (1.00); G6PDH2r (1.12); GND (1.12); PGL (1.12); PPM (1.12); PRPPS (1.12); RPI (1.12),220,358.55981243492977,354.6803693223222,3.8794431126075892,0.017633832330034495
Butanoate Metabolism,22,0,2,0,43,2OXOADOXm (4.65); ECOAH1m (4.65); HACD1m (4.65); r0541 (4.65); HMGCOASim (4.65); HMGLm (4.65); ECOAH1m (4.65); HACD1m (4.65); HMGCOASim (4.65); HMGLm (4.65); HMGLm (4.65); HMGCOASim (4.65); ECOAH1m (4.65); HACD1m (4.65); SACCD3m (4.65); r0450 (4.65); r0525 (4.65); ECOAH1m (4.65); HACD1m (4.65); ECOAH1m (4.65); HACD1m (4.65); HMGCOASim (4.65),,,ACACt2 (1000.00); ACACt2 (1000.00),,3HKYNAKGAT (1.12); ACACT1r (1.12); FKYNH (1.12); KYN3OX (1.12); TRPO2 (1.12); r0647 (1.12); 3HBCOAHLm (0.89); AACOAT (1.12); ACACT10m (0.96); ACACT1r (1.12); ECOAH12m (0.89); ECOAH9m (0.96); HACD9m (0.96); ILETA (0.96); MMEm (0.93); MMMm (0.93); MMSAD1m (0.89); PPCOACm (0.93); VALTA (0.89); AACOAT (1.12); ACACT1r (1.12); ACACT1r (1.12); ACACT1r (1.12); CSm (1.02); GHMT2rm (1.12); MDH (1.12); MMEm (0.93); MMMm (0.93); PPCOACm (0.93); ACACT1r (1.12); ACACT1r (1.12); ACCOACm (1.12); _LCAT1e (1.12); ACACT1r (1.12); ACCOACm (1.12); ACACT1r (1.12); ACCOACm (1.12); FUM (1.03); FUMm (1.02); MDH (1.12); ME2m (1.01); PCm (1.02); PYK (1.00),67,40.896500814520024,39.66090756465748,1.2355932498625464,0.018441690296455916
Central Energy Metabolism,23,0,2,1,128,2OXOADOXm (4.65); r0450 (4.65); 2OXOADOXm (4.65); ECOAH1m (4.65); HACD1m (4.65); r0541 (4.65); r0450 (4.65); HMGCOASim (4.65); HMGLm (4.65); ECOAH1m (4.65); HACD1m (4.65); HMGCOASim (4.65); HMGLm (4.65); HMGCOASim (4.65); ECOAH1m (4.65); HACD1m (4.65); SACCD3m (4.65); r0450 (4.65); r0525 (4.65); ECOAH1m (4.65); HACD1m (4.65); ECOAH1m (4.65); HACD1m (4.65),,,ACACt2 (1000.00); ACACt2 (1000.00),PRO1xm (2000.00),ACONTm (1.02); AKGDm (1.01); ALATA__L (1.12); ASPTA (1.12); CSm (1.02); ICDHxm (1.02); ILETA (0.96); PDHm (1.04); PHETA1 (1.02); PHETA1m (1.02); VALTA (0.89); 3HKYNAKGAT (1.12); ACACT1r (1.12); FKYNH (1.12); KYN3OX (1.12); TRPO2 (1.12); r0647 (1.12); ACONTm (1.02); ALATA__L (1.12); ASPTA (1.12); CSm (1.02); ENO (1.00); GHMT2rm (1.12); ICDHxm (1.02); ILETA (0.96); PCm (1.02); PGCD (1.12); PGK (1.00); PGM (1.00); PHETA1 (1.02); PHETA1m (1.02); PRPPS (1.12); PSERT (1.12); PYK (1.00); RPI (1.12); VALTA (0.89); r0034 (1.12); ACONTm (1.02); AKGDm (1.01); CSm (1.02); FUM (1.03); FUMm (1.02); ICDHxm (1.02); MDH (1.12); PCm (1.02); SUCOASm (1.01); r0509 (1.01); GCC2am (1.12); GCC2bim (1.12); GHMT2rm (1.12); PGCD (1.12); PGM (1.00); PSERT (1.12); PSP__Lm (1.12); r0552 (1.05); r0552m (1.01); r0553 (1.05); r0553m (1.01); 3HBCOAHLm (0.89); AACOAT (1.12); ACACT10m (0.96); ACACT1r (1.12); ECOAH12m (0.89); ECOAH9m (0.96); HACD9m (0.96); ILETA (0.96); MMEm (0.93); MMMm (0.93); MMSAD1m (0.89); PPCOACm (0.93); VALTA (0.89); ENO (1.00); GHMT2rm (1.12); MDH (1.12); PGCD (1.12); PGM (1.00); PSERT (1.12); ENO (1.00); GAPD (1.00); GCC2cm (0.93); HEX1 (1.00); PDHm (1.04); PFK (1.00); PGI (1.00); PGK (1.00); PGM (1.00); PGMT (1.12); PYK (1.00); TPI (1.00); _LDH__L (0.99); AACOAT (1.12); ACACT1r (1.12); ACACT1r (1.12); ACACT1r (1.12); CSm (1.02); GHMT2rm (1.12); MDH (1.12); MMEm (0.93); MMMm (0.93); PPCOACm (0.93); ACACT1r (1.12); ACACT1r (1.12); ACCOACm (1.12); _LCAT1e (1.12); ACACT1r (1.12); ACCOACm (1.12); ACACT1r (1.12); ACCOACm (1.12); FUM (1.03); FUMm (1.02); MDH (1.12); ME2m (1.01); PCm (1.02); PYK (1.00); ACCOACm (1.12); FAS100COA (1.12); FAS120COA (1.12); FAS140COA (1.12); FAS160COA (1.12); FAS80COA__L (1.12); ACCOACm (1.12); MMEm (0.93); MMMm (0.93); PPCOACm (0.93); SUCOASm (1.01); GLBRAN (1.12); GLGNS1 (1.12); HEX1 (1.00),154,282.34055250589205,279.596310921827,2.744241584065037,0.017819750545876863
