reaction_id,flux_slow,flux_fast,flux_ratio
10FTHFtm,-0.004925168273714,-0.0049999999998817,1.0151937399920086
2HCO3_NAt,-1.253084942425017,-1.327683015255583,1.0595315371727323
2OXOADOXm,0.0075328026090135,0.0242763339369409,3.222749247125187
3DSPHR,0.0005993630018084,0.0007208641334089,1.2027171033812671
3HBCOAHLm,0.0215468379233082,0.015778895325084,0.732306771937763
3HKYNAKGAT,0.0060732548399528,0.0082279915891402,1.3547910973556556
3MOBt2im,0.0215468379233082,0.0157788953250841,0.7323067719377676
AACOAT,0.0075328026090135,0.0090598305342554,1.2027171033812447
ACACT10m,0.0352446911696849,0.0322535377041077,0.9151318009519123
ACACT1r,-0.0075328026090135,-0.0090598305342554,1.2027171033812447
ACACt2,0.0,-0.0152165034026855,1000.0
ACCOACm,0.1054592365261891,0.1268376274795757,1.2027171033812445
ACONTm,0.5525511854246955,0.5587277427679375,1.0111782537186933
ADK1,0.3070765060380641,0.369326165858525,1.2027171033812163
ADKd,0.0009802665917427,0.0011789833957622,1.2027171033812596
ADSL1,0.0037810282824435,0.0045475073836586,1.2027171033800785
ADSL2,0.0054992115568334,0.006613995794511,1.202717103380457
ADSS,0.0037810282824435,0.0045475073836586,1.2027171033800785
AGPAT1,0.0141627236717981,0.017033749990534,1.202717103381245
AICART,0.0054992115568334,0.006613995794511,1.202717103380457
AIRCr,0.0054992115568334,0.006613995794511,1.202717103380457
AKGDm,1.140830443160454,1.17561731127974,1.0304925840012786
AKGMALtm,10.218642402420851,10.567964196106749,1.0341847556582606
ALATA__L,-0.0254867073243767,0.0,2000.0
ALAt4,0.0,0.0306532988079,1000.0
AMPTASECG,0.0073048346111994,0.0281308615292182,3.850992257386553
ARGLYSex,0.05,0.05,1.0
ARGNm,0.0336510577676803,0.0303368475549971,0.9015124506467583
ARGtm,0.0336510577676803,0.0303368475549971,0.9015124506467583
ARTPLM2,-0.0141627236717981,-0.017033749990534,1.202717103381245
ARTPLM3,-0.0003035185444204,-0.0003650469445678,1.2027171033812607
ASCBOX,0.0336290440927391,0.0349889820973876,1.0404393892641786
ASNt4,0.0,0.0167864329593429,1000.0
ASNtN1,0.0139570917484673,0.0,2000.0
ASPCTr,0.0042770991930923,0.00514414035239,1.2027171033811908
ASPTA,-0.0391180984958479,-0.0470480061126994,1.2027171033810142
ATPM,18.5,18.5,1.0
ATPS4m,10.416952122588537,10.89665685259074,1.0460503921259263
ATPtm,10.890592199234984,11.37566791728904,1.04454080266527
BILGLCURtr,-0.0073048346111994,-0.0281308615292182,3.850992257386553
BIOMASS_maintenance,0.0280076169069362,0.033685239878922,1.2027171033812492
BTNt2,-0.0399863075819989,0.0,2000.0
BTNt4i,0.0399863075819989,0.0,2000.0
CA2t,-0.024771306883824,0.0,2000.0
CAt7r,-0.024771306883824,0.0,2000.0
CDIPTr,0.0005097386277062,0.0006130713657963,1.202717103381183
CDS,0.0009214505962382,0.0011082443920165,1.2027171033812134
CEPTC,0.013489504584206,0.0162240578795643,1.2027171033812474
CHLPCTD,0.013489504584206,0.0162240578795643,1.2027171033812474
CHOLESTTDe,-0.0005713833925184,-0.0006872125787698,1.2027171033811066
CHOLESTle,0.0073810433368032,0.0088773070619714,1.2027171033812472
CHOLK,0.013489504584206,0.0162240578795643,1.2027171033812474
CHOLtu,0.0042459547230915,0.0051066823656445,1.2027171033812394
CLSm_hs,0.0001848502715857,0.0002223225832008,1.2027171033813016
CO2t,-0.4783572409140104,-0.4644275375921323,0.9708801244541376
CO2tm,-2.862609493238664,-2.953815934256316,1.0318612934223397
COAtim,0.1054592365261891,0.1268376274795757,1.2027171033812445
CSm,0.5525511854246956,0.5587277427679376,1.0111782537186933
CTPS2,0.0150925485454916,0.0181520662692744,1.2027171033812396
CYOOm3,3.3629044092739164,3.498898209738769,1.0404393892641792
CYOR_u10m,6.725808818547832,6.997796419477537,1.0404393892641792
CYStec,0.0,-0.0193452120049573,1000.0
CYTDK1,0.0061616757195261,0.0074107527733629,1.202717103381232
CYTDe,0.0125859788627883,0.0151373720410703,1.2027171033812434
CYTDt,-0.0125859788627883,-0.0151373720410703,1.2027171033812434
CYTK1,0.001413264349124,0.0016997572042904,1.2027171033812467
CYTK12,-0.000706632174562,-0.0008498786021452,1.2027171033812467
CYTK1m,0.0004117119685319,0.0004951730262201,1.2027171033813007
DM_5forthf_c,0.004925168273714,0.0049999999998818,1.015193739992029
DM_urea_m,0.0336510577676803,0.0303368475549971,0.9015124506467583
ECOAH12m,0.0215468379233082,0.015778895325084,0.732306771937763
ECOAH1m,-0.0075328026090135,-0.0242763339369409,3.222749247125187
ECOAH9m,0.0352446911696849,0.0322535377041077,0.9151318009519123
ENO,9.950754864955003,9.941233825883051,0.9990431842406766
EX_C02470_e,0.0060732548399528,0.0082279915891402,1.3547910973556556
EX_acac_e,0.0,0.0152165034026855,1000.0
EX_ala__L_e,0.0,-0.0306532988079,1000.0
EX_arg__L_e,-0.05,-0.05,1.0
EX_asn__L_e,-0.0139570917484673,-0.0167864329593429,1.2027171033812474
EX_cgly_e,0.0,0.0218691384707817,1000.0
EX_chol_e,-0.0042459547230915,-0.0051066823656445,1.2027171033812394
EX_chsterol_e,-0.0005713833925184,-0.0006872125787698,1.2027171033811066
EX_co2_e,0.4933990948398869,0.5053113551660741,1.0241432553297505
EX_cys__L_e,0.0,0.0193452120049573,1000.0
EX_fol_e,-0.004925168273715,-0.0049999999998817,1.0151937399918023
EX_glc__D_e,-5.0,-5.0,1.0
EX_gln__L_e,-0.5,-0.5,1.0
