Pathways,n_highlighted,color_hex,tissue
AA other,2,#bc2f7b,leg
Lipid metabolism,2,#3aea6d,leg
BCAA metabolism (Val/Leu/Iso),2,#3aeaa8,leg
Redox & Pentose Metabolism,2,#292493,leg
Extracellular Transport,1,#bcab2f,leg
AAA metabolism (Trp/Phe/Tyr),1,#409324,leg
Nitrogen disposal,1,#934924,leg
