¹,Ind. ¹,Generation,Sex,"Total Protein, g/L","Albumin, g/L","Globulin, g/L",A/G ratio,"Creatinine, µM/L","Glucose, mM/L","Total Bilirubin, µM/L","Triglycerides, mM/L","Cholesterol, mM/L","ALT, IU/L","AST, IU/L",De Ritis ratio (AST/ALT),"Ca, mM/L","P, mM/L",Ca/P ratio,"Mg, mM/L","Fe, µM/L","Chlorides, mM/L","Breast meat, moisture %","Breast meat, protein %","Breast meat, fat %","Breast meat, ash %","Drumstick, moisture %","Drumstick, protein %","Drumstick, fat %","Drumstick, ash %","Live weight at 1 day, g","9-week weight, g","Mean daily gain, g","Carcass weight, g","Slaughter yield, %","Breast weight, g","Thigh weight, g","Drumstick weight, g","Kidneys, g","Heart, g","Liver, g","Stomach, g","Intestines, g","Lungs, g"
136,5129,F2,m,33.8,12.5,21.3,0.58685446,29.49,14.16,0.41,0.51,3.52,7.5,209.3,27.91,2.57,1.86,1.38,0.9,17.76,110.3,73.94,24.08,0.68,1.3,75.03,21.56,2.24,1.17,50,2310,36,1710,74,498,141,100,18,12,40,34,77,19
137,5130,F2,m,35.1,12.5,22.6,0.553097345,28.43,12.77,0.64,0.41,3.56,5.3,243.7,45.98,2.39,1.9,1.26,0.79,27.09,110.8,74.41,23.58,0.73,1.28,74.82,20.68,3.39,1.11,52,2640,41,1925,72.9,572,154,118,19,12,42,46,82,18
138,5133,F2,m,35.6,12.6,23,0.547826087,41.07,14.65,1.22,0.23,3.47,9.1,187.2,20.57,2.87,2.89,0.99,1.15,27.17,110.4,75.08,23.27,0.49,1.16,73.46,20.48,5.05,1.01,37,1910,30,1405,73.6,428,99,95,13,14,44,22,76,11
139,5135,F2,m,29.1,11.3,17.8,0.634831461,34.75,13.77,0.64,0.32,2.67,5.1,230.8,45.25,2.68,1.99,1.35,0.92,19.64,112.2,73.12,24.16,1.47,1.25,72.51,20.85,5.5,1.14,44,2240,35,1610,71.9,439,127,106,18,14,34,26,70,15
140,5136,F2,m,45.1,13.8,31.3,0.440894569,33.7,11.27,0.52,0.29,2.96,7.2,218.6,30.36,2.94,2.41,1.22,1.24,16.86,111,72.47,25.31,1.03,1.19,74.14,20.9,3.9,1.06,43,2240,35,1570,70.1,505,119,103,19,13,50,31,76,16
141,5144,F2,m,47,13.7,33.3,0.411411411,34.75,13.51,0.7,0.31,3.53,8.5,241.1,28.36,2.85,2.39,1.19,0.88,24.71,107.5,73.38,24.46,0.93,1.23,73.86,21.43,3.64,1.07,55,2665,41,1910,71.7,548,150,127,21,21,52,31,90,16
142,5149,F2,m,36,13.4,22.6,0.592920354,34.75,13.03,0.64,0.32,3.4,9.6,253.9,26.45,2.77,2.53,1.09,0.99,26.7,114.4,73.57,24.71,0.51,1.21,74.01,21.71,3.2,1.08,50,2010,31,1425,70.9,388,106,93,16,11,39,52,72,13
143,5152,F2,m,45.5,13.7,31.8,0.43081761,41.07,16.25,0.7,0.28,3.72,6.9,266.7,38.65,2.93,2.61,1.12,1.13,20.44,112.4,73.9,24.01,0.91,1.18,74.53,21.91,2.43,1.13,44,1605,25,1170,72.9,341,80,82,12,19,36,29,49,16
144,5154,F2,m,39.5,14.3,25.2,0.567460317,38.97,16.78,0.7,0.41,4.35,8.3,241.1,29.05,2.81,2.29,1.23,1.02,21.02,112.2,73.16,24.96,0.63,1.25,73.05,21.59,4.23,1.13,44,1975,31,1395,70.6,404,107,87,11,10,33,24,69,9
145,3136,F2,m,34.3,13.7,20.6,0.67,13.33,16.37,0.38,0.24,4.44,5.7,196.2,34.42,2.7,2.06,1.31,0.97,20.28,109,73.78,22.84,2.37,1.01,-,-,-,-,42,1764,27,1435,81.3,368,100,90,11,8,35,35,58,11
146,3137,F2,m,34.2,13.7,20.5,0.67,15.76,17.83,0.47,0.32,3.65,4.9,170.6,34.82,2.5,2.03,1.23,0.93,14.23,112,73.26,23.29,2.46,0.99,-,-,-,-,38,1337,21,1003,75,295,63,70,9,7,36,25,50,8
147,3138,F2,m,29.9,12.6,17.3,0.73,10.91,19.7,0.49,0.28,3.9,5.7,194.8,34.18,2.59,2.03,1.28,1.13,13.69,116.5,73.1,23.63,2.18,1.09,-,-,-,-,45,1214,19,985,81.1,249,73,53,9,6,34,26,47,9
148,3139,F2,m,34.8,13.8,21,0.66,12.12,16.48,0.8,0.32,3.45,4.7,186,39.57,2.41,1.9,1.27,0.89,15.83,109,72.87,23.86,2.14,1.13,-,-,-,-,40,1463,23,1170,80,357,77,58,9,6,31,26,49,10
149,3140,F2,m,35.9,14.9,21,0.71,14.55,17.04,0.4,0.2,4.62,6,205,34.17,2.81,2.19,1.28,0.98,17.69,110.3,72.67,23.63,2.61,1.09,-,-,-,-,38,1167,18,925,79.3,251,65,52,10,9,37,29,72,7
150,3141,F2,m,44.7,16.9,27.8,0.61,14.55,16.62,0.62,0.32,3.24,4.7,160.1,34.06,3.1,2.3,1.35,1.13,16.42,120,72.68,24.1,2.11,1.11,-,-,-,-,39,1403,22,1064,75.8,259,80,69,4,6,29,29,44,7
151,3142,F2,m,34,13.4,20.6,0.65,12.12,16.31,0.4,0.17,3.79,6.2,211.8,34.16,2.78,2.34,1.19,1.09,13.98,119,72.34,25.5,1.19,0.97,-,-,-,-,36,1404,22,980,69.8,326,73,65,8,8,28,22,54,12
152,3143,F2,m,31.1,13.4,17.7,0.76,9.7,14.85,0.22,0.17,3.51,4.4,192.3,43.7,2.41,2.26,1.07,0.92,13.58,113,73.8,22.82,2.3,1.08,-,-,-,-,37,1225,19,985,80.4,265,71,63,7,5,30,20,43,7
