"sample","sizeFactor"
"breast_f1",1.02854980369376
"breast_f2",0.990738493897799
"breast_f3",0.619353582532654
"breast_f4",1.02513418933837
"breast_f5",1.10512549450187
"breast_f6",0.772691037800096
"breast_f7",0.6865844358002
"breast_f8",1.06721353693103
"breast_f9",1.51466412793935
"breast_f10",0.451112456642519
"breast_f11",1.25064549485041
"breast_f12",0.999647240268386
"breast_s1",1.0182955662043
"breast_s2",1.21061251675292
"breast_s3",1.20449784714419
"breast_s4",1.98532788275523
"breast_s5",1.0062341972394
"breast_s6",0.750816037014533
"breast_s7",0.291635092644064
"breast_s8",1.24523100387479
"breast_s9",0.95239265841804
"breast_s10",1.36404815238089
"breast_s11",2.10748594055057
"breast_s12",1.74497856772289
