"sample","sizeFactor"
"leg_f1",1.52217749255935
"leg_f2",0.97803021134354
"leg_f3",1.10625745277749
"leg_f4",1.36428203547519
"leg_f5",1.10436122444425
"leg_f6",0.50042899811391
"leg_f7",0.788165899234011
"leg_f8",0.557799254056009
"leg_f9",0.440275688664213
"leg_f10",0.506551955444029
"leg_f11",1.2197418593807
"leg_f12",0.935316545747303
"leg_s1",0.972662122240469
"leg_s2",1.67856021668642
"leg_s3",1.16805150989076
"leg_s4",1.5700005951776
"leg_s5",1.04174131591185
"leg_s6",0.889205072239722
"leg_s7",0.977792177242691
"leg_s8",1.52946543974438
"leg_s9",1.86299421255899
"leg_s10",1.0548311474816
"leg_s11",1.00045955088254
"leg_s12",1.43579806551827
