"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1CF",6.56936319471439,0.0971701520088337,0.413733376350114,0.234861767416621,0.814316024786234,0.899812412155688
"A2M",62.9051627311684,1.07231373247956,0.236884447820097,4.52673758175097,5.99012480519482e-06,0.00027965435228355
"A2ML2",18.9702102861944,0.855153507330515,0.274784415646521,3.11208881813215,0.00185768599369971,0.0176523813810282
"A2ML3",1.2175559846707,-0.639688098087129,0.774883478875476,-0.825528115550295,0.409071827333681,0.607828240022686
"A2ML4",163.270917218984,1.6424874507713,0.312898495954521,5.2492660463604,1.52706400615646e-07,1.56642354321655e-05
"A4GALT",70.7159475387917,0.296484047866917,0.248318324432054,1.19396765641451,0.232490620184426,0.430737518901851
"AAAS",96.0422802536154,1.10124929816169,0.328705124523843,3.35026507346652,0.000807342605335459,0.0100778915980919
"AACS",39.485840274188,-0.363700827219057,0.200940962594535,-1.80998847881974,0.0702975738427683,0.204790892118752
"AADAC",79.3278894583867,-0.0194041250925257,0.18571833435158,-0.104481472765053,0.916787270394416,0.95960932599634
"AADACL3C",1.27635884689584,-1.76421999831462,0.823047437602222,-2.14352164615725,0.0320712348533858,0.12190751745157
"AADACL4B",0.941018358428903,-0.342953150033051,1.20623950544544,-0.284315965846604,0.776168251824429,0.874437696860553
"AADAT",23.1557049235688,0.209773848449039,0.281452955980214,0.745324730090191,0.456075434524559,0.647643884401957
"AAED1",185.759248423179,-0.00210694549571954,0.226018442259442,-0.0093220069772051,0.992562222280931,0.996541967680562
"AAGAB",55.0471322947833,-0.110270334146325,0.16856166549091,-0.654183938116531,0.512993308350317,0.693978093380056
"AAK1",8.63221846537388,0.560204352165512,0.310320021048841,1.80524720987094,0.0710360063640845,0.206281991367475
"AAMDC",277.759458322896,0.0888903295192377,0.307676650302736,0.288908272472983,0.772651573035911,0.872024324874241
"AAMP",342.089042753524,0.724728700173989,0.203106579901891,3.56821871809404,0.000359416425516086,0.00579820097461267
"AANAT",1.29908296657194,-1.0714275342183,1.10936518194837,-0.965802381084797,0.334143076818143,0.537982541940209
"AAR2",4.19373417012059,0.149064697800242,0.405628984319875,0.367490252330417,0.713253361505117,0.834611862442443
"AARS1",486.028876265401,0.102180818173663,0.19122280576984,0.534354768837821,0.593096106388947,0.752575056546784
