"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1CF",5.15476180662624,0.483342303522313,0.432609108850263,1.1172725992915,0.263877787489712,0.537062452152283
"A2M",72.6072052786914,0.947672451788987,0.308636017291861,3.07051801699742,0.00213687793295063,0.0327161528755111
"A2ML2",17.6477445902931,0.790298615484101,0.333127335120776,2.37236195341814,0.0176747665400557,0.11731946486008
"A2ML3",1.31223603341683,0.362164666641885,0.776514243009285,0.466397970033828,0.640930664260699,0.831024508676018
"A2ML4",175.059842603794,1.43738377354087,0.378498120169353,3.79759818330865,0.000146104911818056,0.00547334442742154
"A4GALT",70.6092012815067,0.423627093837783,0.187693487730032,2.25701540826555,0.0240071119869339,0.142140523765841
"AAAS",63.0478343656806,1.07488298762628,0.280511036677416,3.83187414070408,0.000127170795955348,0.00498776508556361
"AACS",42.4209146449686,-0.342886393207706,0.216015430310983,-1.58732361254969,0.112439370003588,0.341917792955868
"AADAC",88.7532425554336,0.50573450463379,0.175282561398448,2.88525282035426,0.00391099445774324,0.0463121762393983
"AADACL3C",0.769650699087537,0.84899258194172,0.995095673595492,0.853176839644101,0.393561244935024,0.661076566154191
"AADACL4B",0.915553017996942,2.83391307894196,1.10859392695169,2.55631301060289,0.0105787910980249,0.0855390268796351
"AADAT",25.5783881546761,0.0513338096109911,0.247667937759583,0.207268692408712,0.835800023061991,0.931640201629744
"AAED1",155.60585566002,-0.151421797751973,0.141803938365709,-1.06782505124406,0.285599435623074,0.558377965708676
"AAGAB",58.4152577445028,-0.237376585374024,0.152052048571515,-1.56115348398202,0.118487541258075,0.350824476291124
"AAK1",7.68480245807566,0.106299568804299,0.397514804892613,0.267410339177218,0.789153239699742,0.910075809074816
"AAMDC",330.801776074154,0.173149083540679,0.18754780648094,0.923226385792342,0.355889241139865,0.627925369169107
"AAMP",300.64395332549,0.425252283171156,0.218291915426546,1.94808993425252,0.0514042030186278,0.218545382841215
"AANAT",2.07293464376812,-0.416981317755718,0.739029381845052,-0.564228335164005,0.572598746379732,0.790109131489287
"AAR2",7.90054001316716,1.28074913813464,0.479795702461236,2.66936350526841,0.00759951542986269,0.0698934482850145
"AARS1",681.90130007075,-0.0241525086375235,0.145536298398821,-0.16595522150314,0.86819218948879,0.946379478415496
"AARS2",6.10988183235545,-0.023902258601663,0.367858084424688,-0.0649768473596143,0.948192434421122,0.978588077626742
