"sample","sizeFactor"
"liver_f1",0.878124345325035
"liver_f2",1.17559549940493
"liver_f3",1.20981635641309
"liver_f4",1.24002100547915
"liver_f5",0.984254884612882
"liver_f6",0.882284582399923
"liver_f7",1.31734463258521
"liver_f8",0.576213058578579
"liver_f9",0.642213452205108
"liver_f10",1.22942179423166
"liver_f11",0.502029956875151
"liver_f12",1.1344568162306
"liver_s1",0.5451174944006
"liver_s2",0.933562836014417
"liver_s3",0.934860592589128
"liver_s4",0.910786450263406
"liver_s5",1.07604557036735
"liver_s6",0.87353164019335
"liver_s7",1.0022742850135
"liver_s8",1.96941295767005
"liver_s9",1.13123657091039
"liver_s10",2.03551144198702
"liver_s11",1.0884381883979
"liver_s12",1.49330571182197
