genes	slow-heart	slow-heart.1	slow-heart.2	slow-heart.3	slow-heart.4	slow-heart.5	slow-heart.6	slow-heart.7	slow-heart.8	slow-heart.9	slow-heart.10	slow-heart.11
C4orf33	0.56373258814065	1.29746643077353	0.798199301814811	2.77173781526963	1.16255757237802	0.187695116267056	0.475571178801481	1.04250728224717	1.08808018287781	0	0	0.446335094629703
C12orf4	3.94612811698455	2.59493286154706	3.99099650907406	0.692934453817408	3.48767271713407	4.31698767414228	6.42021091382	3.64877548786511	6.16578770297426	5.07356088494696	1.19938567096861	1.33900528388911
THEMIS	0.56373258814065	0	0	0	0	0	0.237785589400741	1.04250728224717	0.362693394292604	2.73191739958683	0.599692835484303	0
LOC769491_7	4.5098607051252	3.89239929232059	0.798199301814811	1.38586890763482	1.74383635856703	0.187695116267056	3.32899825161037	0	0	1.56109565690676	1.79907850645291	0
POLR2L	293.986544715349	554.018165940298	102.169510632296	157.989055470369	572.850243789271	187.319726034521	192.6063274146	176.704984340896	163.574720825964	169.76915268861	111.54286740008	138.810214429838
MYH1D	95.8345399839105	144.797253674326	12.3720891781296	71.372248743193	92.7139663971473	84.8381925527091	54.6906855621703	135.265319871571	34.8185658520899	52.2967045063764	1677.3408608496	87.0353434527921
LOC107053458	0	0	0	0	0	0	0	0	0.362693394292604	0	0	1.33900528388911
L3HYPDH	1.40933147035163	4.41138586463001	4.39009615998146	2.77173781526963	2.03447575166154	1.6892560464035	2.85342707280889	1.82438774393256	4.35232073151124	1.17082174268007	1.19938567096861	2.67801056777822
LOC121110503	0	0	0	0	0	0	0	0	0	0	0	0
ATE1	43.1255429927597	37.3670332062777	40.7081643925554	42.9619361366793	60.7436331567517	48.6130351131674	48.0326890589496	55.2528859591002	47.1501412580385	43.3204044791625	40.7791128129326	41.9554988951921
LOC121113493	0	0.518986572309412	0.399099650907406	0	0.581278786189011	0	0.713356768202222	0.781880461685381	0	1.17082174268007	0	0.446335094629703
LOC124418020	0	0	0	0	0	0	0.713356768202222	1.04250728224717	0.725386788585207	0.390273914226689	0	0
QPRT	1.97306405849227	21.0189561785312	75.8289336724071	31.8749848756008	2.03447575166154	107.549301621023	6.42021091382	50.0403495478644	10.8808018287781	10.9276695983473	10.7944710387175	8.92670189259407
LOC112531536	23.1130361137667	20.7594628923765	22.7486801017221	14.5516235301656	25.866905985411	34.9112916256723	18.7850615626585	22.4139065683142	13.4196555888263	19.1234217971078	12.5935495451704	26.7801056777822
ADGRL3	20.0125068789931	10.8987180184977	10.7756905745	24.9456403374267	22.3792332682769	22.8988041845808	24.0163445294748	25.280801594494	15.595815954582	31.6121870523618	37.7806486355111	29.4581162455604
WIPF2	47.6354036978849	39.4429794955153	58.2685490324812	45.7336739519489	28.7732999163561	59.8747420891907	48.7460458271518	57.3379005235946	45.6993676808681	55.0286219059632	63.5674405613362	54.0065464501941
GGA2	7.04665735175813	7.78479858464118	31.1297727707776	8.31521344580889	6.97534543426814	10.135536278421	13.5537785958422	9.64319236078636	14.5077357717041	12.8790391694808	13.1932423806547	8.92670189259407
TNFAIP6	1.97306405849227	0.778479858464118	32.7261713744073	2.07880336145222	2.03447575166154	1.87695116267056	1.1889279470037	2.86689502617973	2.17616036575562	2.34164348536014	2.39877134193721	4.01701585166733
CREM	32.6964901121577	32.9556473416477	35.1207692798517	31.1820504217833	19.4728393373319	23.2741944171149	105.81458728333	21.8926529271907	33.0050988806269	60.1021827909102	48.5751196742286	39.2774883274139
SLC44A1	12.6839832331646	17.3860501723653	5.58739511270368	5.54347563053926	7.84726361355165	7.13241441814811	22.8274165824711	8.86131189910098	9.43002825160769	7.02493045608041	10.1947782032332	9.81937208185347
HPD	15.5026461738679	15.050610596973	26.3405769598888	130.96461177149	23.8324302337495	108.487777202358	28.2964851386881	26.3233088767412	38.8081931893086	46.0523218787494	73.162525929085	32.5824619079683
FUT9	0.56373258814065	0	0	2.07880336145222	0	0.563085348801167	0.475571178801481	0	0.725386788585207	5.07356088494696	0	0.892670189259407
CLTC	118.947576097677	142.202320812779	219.504807999073	133.73634958676	106.955296658778	157.47620254806	74.6646750718325	137.610961256627	156.320852940112	126.448748209447	148.723823200107	160.234298972063
TLR2	1.1274651762813	0.778479858464118	0.399099650907406	0	0.871918179283517	0.375390232534111	1.42671353640444	0	0.725386788585207	2.34164348536014	0.599692835484303	1.33900528388911
WIPF3	7.32852364582845	2.59493286154706	3.19279720725925	5.54347563053926	3.48767271713407	4.12929255787522	2.61564148340815	10.4250728224717	14.5077357717041	5.85410871340034	20.9892492419506	32.5824619079683
TBC1D16	7.04665735175813	7.00631872617707	11.1747902254074	9.70108235344371	8.71918179283517	7.50780465068222	9.27363798662888	8.60068507853919	9.7927216459003	8.97630002721386	10.7944710387175	9.37303698722377
LOC121111488	15.2207798797976	29.3227413354818	5.98649476361109	15.244557983983	20.0541181235209	4.12929255787522	13.0782074170407	14.3344751308986	16.6838961374598	13.6595869979341	16.7913993935605	4.01701585166733
CRH	0.281866294070325	0.259493286154706	0.399099650907406	0	0.290639393094506	0.187695116267056	0	0	1.08808018287781	0.390273914226689	0.599692835484303	0.892670189259407
MTHFSD	8.73785511618008	4.67087915078471	9.97749127268514	8.31521344580889	9.59109997211869	9.00936558081867	11.6514938806363	7.55817779629201	11.2434952230707	12.8790391694808	9.59508536774885	9.81937208185347
C17orf58	0.281866294070325	0	0	0	0.290639393094506	1.31386581386939	0	0.781880461685381	1.08808018287781	0.780547828453379	0	1.33900528388911
