genes	slow-breast	slow-breast.1	slow-breast.2	slow-breast.3	slow-breast.4	slow-breast.5	slow-breast.6	slow-breast.7	slow-breast.8	slow-breast.9	slow-breast.10	slow-breast.11
C4orf33	0.33443130587717	2.01724672720595	0.912232468915309	0.230687563167425	5.23076541825494	0.815252287628914	0.941998434758825	2.59388382363845	0.755886038780763	1.48449653689454	2.05218172826245	0.485603885992466
C12orf4	3.67874436464887	5.29527265891563	2.73669740674593	2.53756319484167	5.49230368916768	2.03813071907229	5.96599008680589	3.63143735309382	4.38413902492842	7.23692061736091	9.23481777718104	3.23735923994977
LOC769491_7	1.00329391763151	0.504311681801488	0.608154979276873	0	1.04615308365099	0	0.941998434758825	0	0	0	0	0.485603885992466
POLR2L	435.429560252076	363.608722578873	128.624778117059	203.235743150501	536.676531912957	271.071385636614	373.973378599253	177.42165353687	184.436193462506	145.109536481442	160.070174804471	202.496820458858
MYH1D	3.67874436464887	1.26077920450372	20.3731918057752	53.0581395285077	15.4307579838521	17.9355503278361	7.5359874780706	19.972905442016	6.34944272575841	5.38129994624272	7.18263604891859	4.69417089792717
L3HYPDH	0.66886261175434	2.01724672720595	3.3448523860228	1.38412537900455	1.56922962547648	0.407626143814457	1.25599791301177	1.29694191181922	2.72118973961075	2.59786893956545	2.05218172826245	1.61867961997489
ATE1	90.6308838927131	86.4894534289553	72.6745200235863	62.0549544920372	83.9537849629917	99.868405234542	67.5098878243824	86.3763313271603	82.9962870581277	73.48257857628	87.2177234511543	80.1246411887568
LOC121113493	0.66886261175434	0	0.304077489638436	0	0	0.407626143814457	0	0	0	0	0	0.323735923994977
QPRT	2.34101914114019	6.05174018161786	38.9219186737199	12.6878159742084	3.13845925095296	26.9033254917542	1.88399686951765	20.2322938243799	9.07063246536915	4.82461374490727	14.3652720978372	6.15098255590456
LOC112531536	23.0757601055247	13.8685712495409	24.3261991710749	19.3777553060637	34.2615134895698	27.3109516355686	28.5739525210177	21.0104589714714	28.8748466814251	27.8343100667727	10.2609086413123	30.4311768555278
ADGRL3	8.69521395280642	6.80820770432009	16.1161069508371	13.8412537900455	7.32307158555691	8.96777516391806	9.41998434758825	12.1912539711007	11.7918222049799	7.97916888580818	13.3391812337059	6.31285051790205
WIPF2	15.718271376227	24.4591165673722	29.4955164949283	29.2973205222629	18.3076789638923	27.7185777793831	23.8639603472236	27.2357801482037	33.712517329622	41.0092168317118	26.6783624674119	32.6973283234927
GGA2	4.68203828228038	7.81683106792307	7.90601473059935	10.1502527793667	5.75384196008043	5.7067660134024	8.79198539108237	7.78165147091534	11.6406449972237	7.42248268447272	8.20872691304981	12.9494369597991
TNFAIP6	1.33772522350868	1.51293504540447	2.12854242746905	3.92168857384622	1.83076789638923	0.407626143814457	0.313999478252942	0.259388382363845	1.96530370082998	0.742248268447272	5.13045432065613	0.485603885992466
CREM	34.1119931994714	30.7630125898908	28.8873615156515	21.2232558114031	36.0922813859591	53.8066509835083	27.9459535645118	45.3929669136728	67.8785662825125	68.6579648313727	37.9653619728554	65.3946566469854
SLC44A1	50.4991271874527	58.7523109298734	15.2038744819218	13.3798786637106	20.3999851311943	11.4135320268048	38.9359353033648	21.7886241185629	68.0297434902686	59.3798614757818	18.4696355543621	55.5207109651386
HPD	19.0625844349987	12.859947885938	61.1195754173257	25.3756319484167	17.2615258802413	28.533830067012	18.5259692169236	39.6864225016682	25.0954164875213	17.2572722413991	46.1740888859052	22.1759107936559
FUT9	0.33443130587717	0	2.43261991710749	0	0.261538270912747	0	0	0.518776764727689	0.151177207756153	0	0	0.485603885992466
CLTC	39.7973253993833	62.7868043842853	103.386346477068	62.9777047447069	28.2461332585767	64.4049307226842	49.9259170422177	49.5431810314943	39.9107828476243	65.31784762336	53.3567249348238	62.6429012930281
TLR2	0	0	0.304077489638436	0.230687563167425	0	0.815252287628914	0.941998434758825	0	0.453531623268458	0.371124134223636	2.05218172826245	0
WIPF3	36.1185810347344	22.4418698401662	34.9689113084202	38.7555106121273	33.9999752186571	41.9854928128891	20.4099660864412	46.1711320607643	43.6902130415281	64.3900372878009	43.0958162935115	86.1137557826639
TBC1D16	43.4760697640321	76.907531474727	39.5300736529967	40.6010111174667	42.6307381587777	37.5016052309301	48.669919129206	46.689908825492	50.6443645983111	57.3386787375518	35.9131802445929	54.5495031931536
LOC121111488	26.0856418584193	18.4073763857543	9.42640217879153	14.7640040427152	22.753829569409	6.11439215721686	16.0139733909	19.972905442016	14.8153663601029	12.4326584964918	8.20872691304981	2.42801942996233
CRH	0	0	0.912232468915309	0	0	0	0	0.518776764727689	1.05824045429307	0.556686201335454	1.02609086413123	0
MTHFSD	13.0428209292096	18.1552205448536	10.6427121373453	13.8412537900455	13.8615283583756	11.0059058829903	17.8979702604177	16.6008564712861	14.0594803213222	20.9685135836354	7.18263604891859	12.3019651118091
C17orf58	2.67545044701736	1.26077920450372	2.43261991710749	0.230687563167425	3.13845925095296	7.33727058866023	4.08199321728824	1.03755352945538	1.36059486980537	1.29893446978273	0	5.17977478391963
YIPF5	30.4332488348225	32.2759476352953	59.2951104794951	53.7502022180099	20.3999851311943	30.9795869298987	28.5739525210177	27.4951685305675	29.0260238891813	23.9375066574245	46.1740888859052	22.6615146796484
ERCC8	4.01317567052604	2.77371424990819	1.82446493783062	1.38412537900455	2.87692098004022	3.26100915051566	3.7679937390353	2.59388382363845	4.38413902492842	1.11337240267091	2.05218172826245	4.2085670119347
