genes	slow-kidney	slow-kidney.1	slow-kidney.2	slow-kidney.3	slow-kidney.4	slow-kidney.5	slow-kidney.6	slow-kidney.7	slow-kidney.8	slow-kidney.9	slow-kidney.10	slow-kidney.11
C4orf33	1.44310646352273	2.10229587915346	0.840997466175189	1.50061144780337	2.47715954469796	0.722526261224658	1.62395057704768	3.57305780691035	3.25657644598118	6.34444582953471	1.47531009448626	1.77494997091547
C12orf4	3.91700325813312	1.31393492447091	4.20498733087595	1.20048915824269	2.02676690020742	3.61263130612329	9.38282555627549	9.05174644417287	1.77631442508064	3.17222291476735	5.01605432125327	3.54989994183094
THEMIS	0	0.262786984894182	0	0	0	1.44505252244932	0	0	0	0	0.590124037794503	0.354989994183094
LOC769491_7	1.64926452974026	1.05114793957673	0	0.300122289560673	0.675588966735807	0	0.721755812021191	0	0.888157212540322	0.732051441869389	0.295062018897251	0.709979988366187
POLR2L	226.155398640633	299.577162779368	92.7900537679959	163.866770100128	178.130290896008	124.274516930641	278.95862134619	99.0928031783136	109.24333714246	216.19919249876	108.287760935291	141.286017684871
MYH1D	2.06158066217533	1.83950889425928	2.80332488725063	3.90158976428875	4.95431908939592	19.5082090530658	0.541316859015893	3.81126166070437	2.96052404180107	0.732051441869389	6.49136441573953	3.54989994183094
L3HYPDH	7.83400651626624	4.20459175830692	14.0166244362532	4.5018343434101	13.2865830124709	7.94778887347124	16.4199447234821	9.05174644417287	4.73683846688172	10.9807716280408	4.72099230235602	18.814469691704
ATE1	34.0160809258929	29.1693553232542	54.9451677901124	33.6136964307954	44.8140681268086	39.0164181061315	36.2682295540649	42.1620821215421	47.3683846688171	37.0906063880491	40.7185586078207	43.6637692845205
LOC121113493	0.618474198652598	1.31393492447091	0.280332488725063	0	0	0.722526261224658	0.902194765026489	0	0	0	0.885186056691754	4.96985991856331
LOC124418020	0	0	0	0	0	0	0.360877906010596	0	0	0	0	0.354989994183094
QPRT	18.1419098271429	189.469416108706	292.667118228966	125.150994746801	325.183489322169	90.3157826530823	75.2430434032092	122.198576996334	132.335424668508	81.0136929002124	51.635853307019	155.840607446378
LOC112531536	51.5395165543832	69.6385509969583	66.1584673391149	65.1265368346661	69.1352709292976	46.2416807183781	58.4622207737165	56.6925172029775	49.4407514980779	39.2867607136572	49.8654811936355	42.5987993019712
ADGRL3	74.4230619045293	79.8872434078314	60.8321500533387	69.3282488885156	48.6424056049781	44.7966281959288	53.4099300895682	77.6544563368515	84.6709875955107	68.8128355357226	58.1272177227585	55.0234490983795
WIPF2	36.6961357867208	37.5785388398681	62.5141449856891	56.7231127269673	48.6424056049781	43.3515756734795	39.8770086141708	55.9779056415954	58.3223236234811	38.5547092717878	61.6679619495255	46.1486992438022
GGA2	9.89558717844157	10.5114793957673	18.2216117671291	12.6051361615483	12.8361903679803	16.6181040081671	15.5177499584556	18.5799005959338	19.8355110800672	13.6649602482286	12.0975427747873	12.0696598022252
TNFAIP6	0.412316132435065	0.262786984894182	0.280332488725063	0.300122289560673	0.450392644490538	0.722526261224658	0.360877906010596	0	0.296052404180107	0	0.295062018897251	0
CREM	23.7081776150163	17.8695149728044	31.116906248482	27.3111283500213	32.4282704033187	44.7966281959288	32.6594504939589	19.2945121573159	21.9078779093279	16.1051317211266	33.3420081353894	40.4688593368727
SLC44A1	18.7603840257955	18.1323019576986	12.6149619926278	7.50305723901684	6.30549702286753	11.5604201795945	10.8263371803179	12.1483965434952	11.8420961672043	17.3252174575755	6.19630239684228	15.9745497382392
HPD	52.3641488192533	62.017728435027	94.4720487003462	116.147326059981	196.371192997875	127.16462197554	138.757554861074	98.6163954707255	100.065712612876	46.1192408377715	113.893939294339	167.910267248603
FUT9	0	0	0	0.600244579121347	0.450392644490538	0	0	0.238203853794023	0.592104808360214	0	0.590124037794503	1.06496998254928
CLTC	204.302643621575	251.224357558838	258.186222115783	434.877197573416	316.400832754603	174.128828955143	156.260133302588	216.527303098767	208.716944946976	227.42398127409	234.869367042212	338.305464456488
TLR2	0.618474198652598	0	0	0.600244579121347	0.675588966735807	0	1.80438953005298	0.238203853794023	0	0.244017147289796	0	0.354989994183094
WIPF3	19.5850162906656	20.7601718066404	24.3889265190805	28.2114952187033	27.4739513139228	14.4505252244932	16.4199447234821	15.0068427890234	22.203930313508	26.1098347600082	21.2444653606021	22.0093796393518
TBC1D16	8.65863878113637	3.41623080362437	6.72797972940151	6.90281265989549	9.90863817879184	10.1153676571452	5.77404649616953	8.3371348827908	8.58551972122311	8.05256586056328	8.85186056691754	7.09979988366187
LOC121111488	17.1111194960552	17.0811540181219	7.28864470685164	11.1045247137449	5.855104378377	12.2829464408192	21.4722354076304	17.1506774731697	22.203930313508	20.4974403723429	13.8679148881708	6.03482990111259
CRH	0	0	0.560664977450126	0.300122289560673	0.675588966735807	0	0.180438953005298	0	0	0	0	0.354989994183094
MTHFSD	8.65863878113637	10.7742663806615	5.04598479705113	12.905258451109	9.23304921205603	7.22526261224658	13.352482522392	5.95509634485057	10.953938954664	5.85641153495511	9.44198460471205	10.6496998254928
C17orf58	0	0	0	0.300122289560673	0.450392644490538	0	0	0.238203853794023	0.296052404180107	0	0.295062018897251	0.354989994183094
YIPF5	131.528846246786	122.195947975795	109.890335580225	149.160777911655	124.083173557143	81.6454675183864	91.1216712676754	73.6049908223531	117.828856863683	132.25729383107	100.026024406168	107.91695823166
LOC121113482	0	0	0	0	0	0	0.360877906010596	0	0	0	2.36049615117801	0
