genes	fast-liver	fast-liver.1	fast-liver.2	fast-liver.3	fast-liver.4	fast-liver.5	fast-liver.6	fast-liver.7	fast-liver.8	fast-liver.9	fast-liver.10	fast-liver.11
C4orf33	0	1.68055096378089	0	1.1367662730271	0.353322521400541	0	0	1.76374017416806	0	0	0.500978856547546	0
C12orf4	1.35048680854874	2.24073461837452	3.33399844458104	2.84191568256774	0.353322521400541	2.67295873329609	9.65186806396622	6.29907205060022	3.180242169251	4.12721425552	2.50489428273773	1.55559103944642
THEMIS	0	0	0	0.568383136513548	0	6.68239683324022	1.33129214675396	0.251962882024009	0.489268026038616	0	0	0.888909165397952
LOC769491_7	0.900324539032495	0.280091827296815	0	3.41029881908129	0	8.24162276099627	0.665646073376981	1.00785152809604	1.95707210415446	1.26991207862154	0	2.66672749619386
POLR2L	55.8201214200147	113.43719005521	150.799314262588	68.7743595181393	145.922201338423	41.4308603660893	43.9326408428807	66.7701637363623	42.077050239321	138.102938550092	40.5792873803512	43.7787763958491
MYH1D	2.70097361709748	3.92128558215541	1.28230709406963	2.27353254605419	4.23987025680649	2.00471904997207	3.3282303668849	6.04710916857621	2.69097414321239	3.49225821620923	2.50489428273773	2.00004562214539
L3HYPDH	8.5530831208087	3.08101010026497	2.30815276932533	3.41029881908129	3.88654773540595	2.22746561108007	4.99234555032735	1.00785152809604	6.84975236454062	2.85730217689846	3.00587313928527	2.22227291349488
ATE1	41.865091065011	29.4096418661656	26.6719875566483	23.3037085970555	34.2722845758525	29.848039188473	21.9663204214404	30.7394716069291	22.5063291977763	28.5730217689846	32.0626468190429	31.7785026629768
LOC121113493	0.900324539032495	0	1.28230709406963	1.70514940954064	1.05996756420162	6.2369037110242	1.66411518344245	1.00785152809604	2.93560815623169	0	0.500978856547546	0.666681874048464
LOC124418020	0	0.280091827296815	0	0.568383136513548	0	0	1.99693822013094	1.25981441012004	0	0	0	0
QPRT	654.98610214614	237.797961374996	249.024037668322	431.402800613783	139.915718474614	377.332674516964	942.222016865116	224.750890765416	499.298020572407	267.316492549834	703.875293449302	821.352068827708
LOC112531536	40.9647665259785	30.8101010026497	48.9841309934598	61.3853787434632	45.2252827392692	33.4119841662011	34.613595815603	34.0149890732412	22.261695184757	45.7168348303753	37.0724353845184	47.1121857660915
ADGRL3	11.2540567379062	4.20137740945222	5.12922837627852	2.84191568256774	6.71312790661028	18.4879645719646	11.3159832474087	7.81084934274427	15.4119428202164	5.39712633414153	9.51859827440337	13.1114101896198
WIPF2	42.3152533345273	26.0485399386038	37.4433671468332	28.9875399621909	26.4991891050406	49.4497365659776	44.9311099529462	28.975731432761	29.3560815623169	26.9856316707077	33.5655833886856	47.3344130574409
GGA2	8.10292085129245	10.0833057826853	6.15507405153422	10.2308964572439	9.18638555641406	8.68711588321228	12.6472753941626	11.5902925731044	14.1887727551199	6.98451643241846	4.50880970892791	15.3336831031147
TNFAIP6	0.450162269516247	0.840275481890445	0	0	0.706645042801082	0	0.33282303668849	3.52748034833612	0.978536052077231	0.634956039310769	0	0.222227291349488
CREM	43.2155778735598	36.411937548586	25.1332190437647	41.491968965489	45.9319277820703	44.9948053438175	46.5952251363886	35.2748034833612	95.1626310645108	21.5885053365661	68.1331244904662	47.5566403487904
SLC44A1	10.8038944683899	13.7244995375439	16.4135308040913	8.52574704770322	14.8395458988227	8.90986244432029	9.31904502727773	4.28336899440815	8.31755644265647	16.8263350417354	7.51468284821319	7.11127332318362
HPD	1734.92538671562	1959.80251559581	2848.00405592865	3100.5300096814	2896.89135296303	2471.59584205445	1723.02486093631	1646.32547114487	1408.35801295216	3827.19752694566	2773.91992870376	1783.15178578829
FUT9	0.900324539032495	0	0.512922837627852	8.52574704770322	0.353322521400541	3.78669153883612	2.32976125681943	2.01570305619207	1.46780407811585	0.634956039310769	9.01761941785582	0.444454582698976
CLTC	60.3217441151772	92.1502111806521	117.459329816778	135.843569626738	95.7504032995466	83.7527069766107	74.8851832549103	85.919342770187	41.5877822132823	99.6880981717907	100.195771309509	105.335736099657
TLR2	0	0	0	0	0	0.222746561108007	0	0.503925764048018	0.244634013019308	0	0	0
WIPF3	16.6560039721012	32.7707437937274	15.9006079664634	25.0088580065961	23.3192864124357	15.5922592775605	12.3144523574741	13.8579585113205	28.8668135362783	22.2234613758769	16.532302266069	19.5560016387549
TBC1D16	15.3055171635524	10.643489437279	10.258456752557	17.61987723192	12.7196107704195	7.12788995545623	12.3144523574741	12.5981441012004	16.1458448592743	12.6991207862154	14.0274079833313	14.0003193550177
LOC121111488	15.3055171635524	16.5254178105121	9.48907249611526	15.9147278223793	13.7795783346211	16.9287386442086	18.9709130912439	16.8815130956086	30.5792516274135	8.88938455035076	16.532302266069	12.8891828982703
LOC121109331	0	0	0	11.367662730271	0	0	0	0.251962882024009	0.489268026038616	0	0	1.55559103944642
CRH	0.450162269516247	0.280091827296815	0	0	0	0	0.33282303668849	0	0	0	0.500978856547546	0
MTHFSD	5.85210950371122	5.04165289134267	6.15507405153422	2.27353254605419	5.29983782100811	2.45021217218808	4.32669947695037	4.53533187643216	6.1158503254827	3.49225821620923	4.00783085238037	3.11118207889283
C17orf58	0.450162269516247	0	0	0.568383136513548	0	0.222746561108007	1.99693822013094	2.26766593821608	1.22317006509654	0	1.00195771309509	0.222227291349488
YIPF5	42.3152533345273	120.43948573763	123.101481030684	39.7868195559483	125.782817618593	37.1986757050372	35.27924188898	63.7466091520742	27.1543754451432	142.230152805612	46.5910336589218	54.4456863806246
