gene	median
C4orf33	0.395534356066296
C12orf4	2.84154969250295
THEMIS	0
LOC769491_7	1.82642126161308
POLR2L	144.442284999008
MYH1D	199.549866936837
L3HYPDH	2.24902005112315
ATE1	68.9261426293796
LOC121113493	1.12107531689762
QPRT	10.2449349917884
LOC112531536	31.0415144286885
ADGRL3	17.7705205731863
WIPF2	35.7704625408535
GGA2	11.8039859360565
TNFAIP6	1.36794251372267
CREM	44.2670400023059
SLC44A1	25.0925493096368
HPD	52.3044599327206
FUT9	1.61420184179712
CLTC	64.0787529496072
TLR2	0
WIPF3	26.5673977907492
TBC1D16	43.9596629964887
LOC121111488	20.1499513064837
CRH	0
MTHFSD	8.71762895269372
C17orf58	4.91172534764292
YIPF5	24.7442548408183
LOC121113482	0
ERCC8	2.34463411565775
ADARB1	11.2566995501115
DOCK2	3.58978974515991
LOC112530599	0
GPR137B	1.50455415961435
LOC101748987	1.2254363183169
LOC121108744	1.51872954282439
MMP13	0
TRHDE	0.416974137613409
ARMC1	78.9046214408376
GGPS1	9.48052601545256
PTPRC	12.9362676264352
CYTIP	6.11736591924001
SORCS2	0.286677495429956
ABCC5	60.9605277336009
LOC100859848	4.88854549602872
FAM105A	1.61420184179712
C12orf45	23.9153038797722
FAM183A	0
APOD	7.98480127903094
IL31RA	0.296245796048268
GRN	43.5561499293617
LOC124417152	0.648172177354098
RICTOR	13.5445773677749
SDE2	291.061242655226
LOC107056510	1.40708744376394
FGF22	0.222503025021401
C3orf18	1.34575590826296
UBE2Q1	24.6955326593404
LOC121107691	1.65726863550207
STMN2	15.4227209156093
CD48	22.0735703221336
CHAF1A	9.54893496693606
PHF2	9.47048063905448
MIEF1	22.1005765451495
LOC121106438	80.3109262255978
OPTN	283.23268007334
GUK1	4.19831351314911
NUAK2	0.967910517309506
KIF7	6.90982240513729
EEFSEC	13.5224510008484
KDSR	41.1104783902879
LOC107051953	25.6964734452455
CAB39L	13.5359664985203
RGS7BP	0.633584737511504
ZNF341	2.86791152415216
BTN3A3	0.427616598810096
FAM151BL	8.1154313479095
CENPH	9.06495148282522
ANKRD26	5.2366642509673
C2H8orf82	84.2248425075808
GCNA	0
VLDLR	80.9151408171503
SLF1	8.09974810853413
PIEZO2	2.2526438915661
ZC3H8	2.15070311137638
PHGDH	12.9359939809702
UNC45A	14.6272137854084
SLC38A4	19.5650739196857
SNAP23	60.7183077196704
MAP2K2	10.8124049279834
TBX2	18.1076478024501
GPR37L1	1.03001993217051
KCTD20	23.3592301380448
GSPT2	31.8590230278751
KREMEN1	2.41923951495462
RANGAP1	6.4573288667146
BOK	2.37755543970104
KLHL40	29.1984936590437
POLE	1.8157228327539
LOC121109633	0
CENPX	96.0384995902692
HINT2	159.100270769549
LOC771161	11.6080987331261
LOC121107493	26.9326324815073
ATG5	12.7598886419823
GPSM2	1.24607828298189
LOC121106916	321.58491235776
TDP1	1.70244093552038
HELZ2	1.786164684789
KLHL18	63.235921306895
CYP4V2	26.5968270294201
SIVA1	13.8683187114357
IL20RA	3.68925449286387
LOC107051944	1.51381761453872
CD2AP	48.7143480838206
DNAJB8	0
SARS1	44.1834342504421
FLT1	4.61401016972814
IFNAR2	8.41968786717887
SMIM18	0.135404805905796
C1QTNF5	19.576770304777
COX5A	1775.24901107809
RNF44	6.02416821440975
SLC29A1	109.265513552668
UPP1	1.61663378614714
LOC112533452	0
LOC101748231	2.85109423849793
ESCO2	3.24264822040929
DZIP1	2.63657520840073
SNX9	39.6703328979574
LOC769554	0.697583105961823
LOC107054991	0.37845440363468
LOC101748762	1.06210364433497
RAB39B	0.601630803863778
LOC107049364	0
LOC121107026	0.130726116816676
PDZK1IP1	7.21970817837162
SYT4	1.24607828298189
SGK3	12.8681429316405
INHBB	0
LOC420562	91.0527503283164
GATA4	2.27219091322689
KDF1	0.56053765844881
MRPL55	55.1591181291063
MFN2	357.934737110891
RHOA	176.58894099958
TMEM258	123.926233633271
TMEM266	1.0241421940506
GTSF1	7.4357583893851
LRRC75B	0.749659410242209
YAE1D1	1.53669321497586
CFL2	260.610159026595
NOP16	27.8075789423316
P2RX5	9.09993059812133
DECR1	67.1634194071763
FEM1A	170.127328297305
GGT2	4.7868039544346
SIK2	20.7668695348292
RPH3A	3.85748123555978
TERF1	6.26604875643375
RAD50	37.2189436041429
SOBP	0.816098958935472
TMEM200A	4.7078700141126
SFXN2	7.60961415994032
LOC424588	3.75113182714449
SLC28A2	1.4327372872047
LOC768829	0.848293731834785
UMAD1	16.1749636030152
MSH3	13.7494487578853
DNAJB6	47.3095053574404
B3GNT7	0.651879461637235
RARS	20.1679965688977
ABI1	33.1963865927036
LOC107050692	45.6046521966971
ACER2	1.73434079513613
CCAR1	39.8676844870151
MAGI3	1.97767178033148
LOC121109525	485.104157250335
CSMD1	0.890186902027355
LOC107053484	1.51996266904782
CNKSR2	6.90982240513729
TBC1D2B	4.0764517155506
BHLHE41	10.8022003400775
LOC124416952	0
LOC101747373	13.852169515785
CRB1	0
SAP30L	21.5216914930862
CLCN4	1.34099606423906
NOP56	17.2021402562863
LOC121110843	0.316792368755752
GNAI1	30.7408224657267
HOOK3	175.482451093206
SMCO4	10.3620165240291
SLC22A23	27.0671140392087
LOC420808	0.651879461637235
PEMT	49.2159885897432
LOC419171	0.453930708188475
HAX1	22.2780747831495
RALGPS1	17.6943729612049
ANOS1	22.6708240014641
SLC51A	6.6401135530909
MPHOSPH9	0.73270461478654
APOF	5.09870671166116
RBM44	16.4443759480342
LRRTM4	1.06197906370186
DUSP29	73.4568133604913
LOC107052441	0.607514895723142
LOC124417568	3.34468727836496
RNF7	100.730010984495
TMC6	3.38967942156626
PRR11	0.845584190203839
LRBA	4.03359931377954
DPAGT1	11.7349175867064
CDH20	11.3256004270695
RBM10	60.4496506216748
LOC770839	0.130726116816676
LOC124417811	0
DRG2	3.50761917139051
RNF19AL	12.4529493958812
C1GALT1C1	13.2000351859927
TXNL4B	6.50193451574742
GNG11	121.692922577728
SERHL	6.10986886340784
NECAP2	21.006357582381
HEATR3	14.9857970626411
LOC121110263	0.15595137861328
PSMA1	56.3639098665294
ZIC1	1.02407330303098
LOC107051508	18.7627232696021
ENOPH1	32.8875637997136
SKIV2L2	165.532083317012
KCTD10	8.19040783659113
TMEM200B	3.69801441647755
SLC25A37	1.17207438727299
PXDC1	13.6593823996643
PLLP	6.38392954295712
UBE2E3	49.460303234549
MSTN	38.0183819000215
DAB2	9.43801886549737
LOC124417527	7.90030232135547
RGS17	1.40969489284954
ATF3	95.7224132689963
GATAD2B	38.3722575449282
HMCES	11.4088105628224
VWA5A2	0.173031331044895
IFNG	0
IRF2	20.1306657833248
LOC121108973	6.52887159655968
MXRA5	4.91329433877118
HRAS	141.832398317722
WDR24	13.0984041489153
RAB24	18.8006539464204
ACTR1A	62.3678434088715
SMPD1	18.1681565371712
IGF2BP2	13.9122369367363
HYPK	604.607090923472
LOC107055012	2.28366249669081
LOC121110431	0
SDCCAG3	2.69012315727477
DHRS7	709.802954767528
USP28	44.163314433488
LOC121108161	0.462759377682114
LOC112530360	1.04231145960859
HSP90AA1	675.962968671995
SLC38A2	256.889378025414
NDUFAB1	199.921043108035
ABHD17C	3.61168394211193
LOC422426	3.04697404011356
ZNF608	3.39505905796764
PIP5K1C	7.96092864250586
CUL4A	37.1571293133224
NELL2	3.479463718788
PCBP2	134.077470032075
WDR7	8.01889204076889
RERG	7.23145404247739
TBC1D30	4.07763895902251
PICALM	20.5710522516203
SAFB	8.21863302976728
LOC112530292	0
PLPP1	261.453886027429
KIAA1958	4.41463113299496
LOC107051795	42.8731952619173
NES	3.67933154275236
LOC112532161	18.3740236902917
RCC1	43.7721640147729
NCBP2	57.7428899805495
LOC112531798	4.30056798537599
ATP6V1A	8.20489412582292
PABPC1L	0
LOC121108765	2.17211005695406
PSD3	0.679163040077126
METTL15P1	4.47596475693966
ZFYVE26	0.986948128974524
RFWD3	1.69421705079797
LOC107054646	0.261452233633352
HSD3B1	0.246439958400213
LOC422147	1.41920984731432
LOC107053079	0
PDZRN3	88.6560425497249
LOC107049543	7.63547456316996
RPS7	91.8489113058631
N4BP2	34.4987338223241
PCDHA1	2.08868291881125
TAF12	105.716008011043
TTC28	3.06225682804272
ARHGAP18	33.6788751990595
KPNA5	51.4575180281165
GON4L	2.52108341256264
LOC107052490	4.6001775874413
MFSD11	9.99517895271548
CEP19	1.71928776842909
WDR75	3.91363261103486
WDR1	77.6353070448543
ZFYVE9	16.7743936917801
TBC1D13	12.1403855659529
SDK1	13.2166119086034
UBE2V1	61.000080149641
SERAC1	4.15511850348846
ZNF804B	0
RARS2	1.32048946920251
RSAD2	1.17193524351643
ERMARD	2.71926879848757
CYB561	0
DESI2	0
COMMD3	7.22238398851484
EGFL7	40.1221244651708
PBDC1	10.1561497642893
NPHP3	5.50351208794239
LOC101750768	14.9722784550485
CRISPLD1	5.80138110610066
KLHL28	7.05498778853062
NDUFAF7	36.5496082508861
LOC121107689	0.532261845444943
CARF	2.01765857747683
ELFN1	2.31605060238425
LDLRAD4	46.8209644401665
CBLB	12.5898890572795
MAN1A2	8.50901901425601
BAZ2A	22.4406231755378
SEC22C	9.40865621905672
SLC16A7	30.8078334443245
SLA	0.15595137861328
CPA1	2.37013150386314
VPS50	7.79010883972747
LOC121109670	0.446998688079687
KLHDC8B	4.75511087940207
RAB18	83.2352539919409
LRP1B	1.40969489284954
VPS8	39.0910441395626
CLDN10	4.85812269169419
RNF10	22.8069736972946
TBL3	4.25044031234402
BRPF1	6.55249726054454
SLC25A13	14.7141171107822
TPPP2	0.115713841583537
SMYD3	4.28949586193935
CD72L1	0
NEXN	194.571033775957
PSMA2	195.557823738938
RAPSN	16.3013542159846
SLC25A1	7.4313810749084
LOC417551	6.92825862705633
INTS9	6.77840068077009
FRMD4B	7.16193968701146
BLACAT1	0.671451926657872
SGIP1	0.593595933914071
TKFC	12.322344183377
RNF170	10.8124695330463
ROBO1	4.7078700141126
RBM7	25.4166934088457
ART7B	90.8987483865831
DYNC1I1	10.4021858421445
