genes	fast-heart	fast-heart.1	fast-heart.2	fast-heart.3	fast-heart.4	fast-heart.5	fast-heart.6	fast-heart.7	fast-heart.8	fast-heart.9	fast-heart.10	fast-heart.11
C4orf33	1.34331541773968	0.724030268154427	2.22979759395512	0.509310607148857	0.301283949547735	0.656811957957492	0.400542142501926	0.635138787464618	0	0	0.547649838385217	0
C12orf4	7.05240594313334	12.3085145586253	2.7872469924439	1.52793182144657	3.31412344502509	2.95565381080872	0.801084285003853	10.4797899931662	0.889833328400539	4.26381534699634	1.09529967677043	3.49937821681213
THEMIS	0	0.181007567038607	0.836174097733171	7.130348500084	0.60256789909547	0	0.400542142501926	0.317569393732309	3.55933331360215	5.90374432661032	1.64294951515565	0.583229702802022
LOC769491_7	1.00748656330476	1.62906810334746	1.67234819546634	1.52793182144657	1.20513579819094	9.52377339038364	4.80650571002312	5.08111029971695	4.00424997780242	5.57575853068752	3.2858990303113	15.7472019756546
POLR2L	259.259875623759	426.634835509996	332.518566198558	87.0921138224545	363.047159205021	99.1786056515814	138.988123448168	320.4275182759	126.801249297077	81.0124915929305	107.339368323502	99.1490494763438
MYH1D	80.9347539188159	159.467666561012	90.0280778559381	38.1982955361643	104.244246543516	38.0950935615346	13.2178907025636	172.122611402912	32.9238331508199	28.862750041206	11.5006466060895	15.1639722728526
LOC107053458	0.335828854434921	0	0	0	0	1.64202989489373	0.400542142501926	0	0	0.655971591845591	0	0
L3HYPDH	2.35080198104445	1.44806053630885	2.22979759395512	1.52793182144657	0.60256789909547	2.29884185285122	1.60216857000771	2.22298575612616	1.33474999260081	0.655971591845591	3.2858990303113	1.16645940560404
LOC121110503	0	0	0	0	0	0	0	0	0.444916664200269	0.655971591845591	2.19059935354087	2.33291881120809
ATE1	43.9935799309746	32.219346932872	36.2342109017707	59.5893410364163	56.6413825149742	52.8733626155781	43.258551390208	36.2029108854833	51.165416383031	45.9180114291914	31.2160407879574	33.2440930597153
LOC121113493	0.671657708869842	0.54302270111582	0.27872469924439	1.01862121429771	2.10898764683415	1.64202989489373	1.20162642750578	1.90541636239386	0.889833328400539	7.54367330622429	1.09529967677043	2.33291881120809
LOC124418020	0	0.181007567038607	0	0.509310607148857	0	0	0.400542142501926	0	0	5.90374432661032	1.09529967677043	0.583229702802022
QPRT	28.2096237725333	6.33526484635123	8.36174097733171	33.6145000718246	56.6413825149742	11.4942092642561	13.2178907025636	15.2433308991508	15.1271665828092	9.18360228583827	24.6442427273347	10.4981346504364
LOC112531536	21.1572178294	17.7387415697835	22.85542533804	16.2979394287634	26.5129875602007	27.2576962552359	24.4330706926175	26.0406902860494	39.597583113824	16.7272755920626	21.9059935354087	29.1614851401011
ADGRL3	23.5080198104445	14.8426204971657	26.2001217289727	53.47761375063	29.525827055678	20.689576675661	26.8363235476291	19.6893024114032	53.3899997040323	30.50267902082	29.0254414344165	33.8273227625173
WIPF2	40.6352913866254	33.6674074691808	31.7746157138605	45.8379546433971	34.0450862988941	47.6188669519182	46.8634306727254	29.5339536171048	59.1739163386358	57.3975142864892	47.0978861011286	49.5745247381719
GGA2	11.7540099052222	8.32634808377591	9.19791507506488	9.16759092867942	8.43595058733658	17.7339228648523	11.2151799900539	8.57437363077235	14.6822499186089	11.151517061375	3.83354886869652	15.7472019756546
TNFAIP6	3.02245968991429	1.62906810334746	2.22979759395512	0.509310607148857	0.60256789909547	7.88174349548991	1.20162642750578	0.952708181196928	1.77966665680108	1.63992897961398	2.19059935354087	1.74968910840607
CREM	39.6278048233207	32.9433772010264	26.4788464282171	42.782091000504	26.211703610653	69.6220675434942	32.0433714001541	44.4597151225233	26.6949998520162	62.9732728171767	57.5032330304478	27.4117960316951
SLC44A1	3.69411739878413	45.7949144607675	13.3787855637307	9.67690153582828	10.5449382341707	7.22493153753242	16.8227699850809	5.39867969344926	9.34324994820566	6.23173012253311	10.4053469293191	18.0801207868627
HPD	83.2855558998604	23.3499761479803	21.7405265410624	88.6200456439011	18.6796048719596	64.0391659008555	85.7160184954122	42.5542987601294	87.2036661832528	61.9893154294083	82.1474757577825	67.6546455250346
FUT9	0.335828854434921	1.81007567038607	1.11489879697756	1.52793182144657	0.301283949547735	10.1805853483411	0.400542142501926	0.952708181196928	1.33474999260081	5.24777273476473	0	7.58198613642629
CLTC	109.480206545784	81.2723976003344	111.489879697756	153.302492751806	86.4684935202	103.119477399326	162.21956771328	86.0613057014558	142.373332544086	108.891284246368	108.982317838658	121.311778182821
TLR2	0.335828854434921	0.181007567038607	0.557449398488781	6.11172728578628	0.301283949547735	0	0	0.635138787464618	0.444916664200269	0	0	0.583229702802022
WIPF3	6.71657708869841	4.88720431004238	5.57449398488781	9.67690153582828	3.61540739457282	11.1658032852774	5.20704785252504	4.12840211852002	3.55933331360215	19.6791477553677	9.8576970909339	8.16521583922831
TBC1D16	10.0748656330476	7.42131024858287	6.13194338337659	7.63965910723285	7.53209873869338	11.1658032852774	10.4140957050501	8.57437363077235	10.2330832766062	4.59180114291914	4.38119870708173	4.66583762241618
LOC121111488	17.7989292850508	6.87828754746705	13.6575102629751	18.8444924645077	17.1731851242209	4.92608968468119	12.8173485600616	11.7500675680954	16.9068332396102	14.7593608165258	14.7865456364009	11.6645940560404
CRH	0	0.54302270111582	0	0.509310607148857	0	0.328405978978746	0	0.317569393732309	0	0.327985795922795	0	0
MTHFSD	9.7390367786127	11.4034767234322	6.41066808262098	4.07448485719086	7.83338268824112	6.56811957957493	4.80650571002312	15.8784696866155	9.34324994820566	4.59180114291914	11.5006466060895	5.2490673252182
