genes	slow-leg	slow-leg.1	slow-leg.2	slow-leg.3	slow-leg.4	slow-leg.5	slow-leg.6	slow-leg.7	slow-leg.8	slow-leg.9	slow-leg.10	slow-leg.11
C4orf33	0.977167623633038	3.57404866194885	0.35862444236114	0.669355230689605	1.18582635332412	0.479643617960444	0.679675139788376	0.34492141204888	0.419160096982611	1.81272913107498	6.365640573885	0.92759209361857
C12orf4	5.2767051676184	4.28885839433862	1.7931222118057	2.00806569206882	1.97637725554021	4.79643617960444	2.37886298925932	3.10429270843992	2.93412067887828	1.08763747864499	7.27501779872572	2.55087825745107
THEMIS	0	0	0.71724888472228	0	0	0	0	0	0	0	0.303125741613572	0
LOC769491_7	0.586300574179823	2.62096901876249	1.43449776944456	1.00403284603441	1.18582635332412	0.479643617960444	1.35935027957675	0.68984282409776	0.419160096982611	0	2.42500593290857	0.231898023404642
POLR2L	323.637916947262	192.283818012848	153.849885772929	206.830766283088	204.752683673965	47.2448963691038	249.780613872228	95.5432311375397	213.352489364149	210.276579204698	368.904027543717	195.490033730114
MYH1D	40.0638725689545	158.687760590529	19.7243443298627	423.032505795831	305.943199157624	6.475188842466	335.07984391567	59.6714042844562	18.4430442672349	470.584482427065	322.52578907684	304.250206706891
L3HYPDH	1.95433524726608	0.714809732389769	1.07587332708342	2.34274330741362	1.97637725554021	3.35750532572311	0.679675139788376	1.37968564819552	1.25748029094783	0.725091652429993	0.303125741613572	0.695694070213927
ATE1	78.9551439895494	69.3365440418076	84.9939928395902	92.0363442198207	67.592102139475	30.217547931508	56.7528741723294	57.2569544001141	67.2751955657091	93.536823163469	90.9377224840715	65.8590386469184
LOC121113493	1.17260114835965	0.47653982159318	1.7931222118057	0	0.790550902216082	0.239821808980222	0.339837569894188	1.7246070602444	0.419160096982611	0	0.303125741613572	0
QPRT	2.14976877199268	5.48020794832157	25.1037109652798	5.02016423017204	15.0204671421056	7.43447607838689	4.07805083873026	9.65779953736864	9.43110218210876	9.06364565537491	1.21250296645429	7.6526347723532
LOC112531536	32.4419651046168	12.6283052722193	29.7658287159746	25.1008211508602	31.2267606375352	15.108773965754	23.448792322699	13.4519350699063	39.1914690678742	25.3782078350497	21.5219276545636	36.6398876979335
ADGRL3	4.69040459343858	6.19501768071134	12.910479925001	21.4193673820674	15.4157425932136	88.0146038957415	8.15610167746052	45.5296263904522	20.3292647036567	14.8643788748148	9.39689799002072	13.6819833808739
WIPF2	28.9241616595379	31.928168046743	43.7521819680591	43.8427676101691	28.855107930887	42.6882819984796	39.4211581077258	33.8022983807902	52.3950121228264	36.9796742739296	22.1281791377907	48.9304829383795
GGA2	10.1625432857836	6.19501768071134	15.0622265791679	17.0685583825849	13.8346407887814	14.8689521567738	21.749604473228	14.486699306053	12.7843829579696	11.6014664388799	14.5500355974514	11.1311051234228
TNFAIP6	3.90867049453215	0.953079643186359	0.35862444236114	3.34677615344803	0.395275451108041	20.3848537633189	2.03902541936513	0.68984282409776	1.25748029094783	1.81272913107498	1.81875444968143	0
CREM	41.822774291494	37.8849158166578	41.9590597562534	33.4677615344803	34.7842396975076	24.7016463249629	63.5496255702132	35.8718268530835	28.083726497835	35.5294909690696	50.6219988494665	29.9148450191989
SLC44A1	31.6602310057104	77.9142608304849	15.420851021529	12.3830717677577	15.0204671421056	16.5477048196353	55.7333614626469	38.2862767374257	14.8801834428827	23.2029328777598	37.2844662184693	18.783739895776
HPD	12.5077455825029	19.776402596117	43.7521819680591	18.7419464593089	26.0881797731307	33.5750532572311	22.7691171829106	42.7702550940611	29.3412067887828	34.0793076642097	15.4594128222921	26.2044766447246
FUT9	0	0	0.35862444236114	0	0.395275451108041	0.239821808980222	0	0.34492141204888	0.628740145473917	0.362545826214996	0	0.92759209361857
CLTC	55.8939880718097	79.582150206061	76.0283817805617	75.3024634525806	104.747994543631	84.4172767610382	57.4325493121178	36.5616696771813	57.8440933836004	83.3855400294491	54.2595077488293	73.7435714426763
TLR2	0.78173409890643	0.953079643186359	0.35862444236114	1.00403284603441	0	2.158396280822	0.679675139788376	0	0.628740145473917	0.362545826214996	0	0.231898023404642
WIPF3	25.9926587886388	19.5381326853204	27.6140820618078	35.8105048418939	35.5747905997237	21.1043191902596	23.7886298925932	18.6257562506395	20.1196846551653	35.8920367952846	31.5250771278114	36.8717857213381
TBC1D16	54.5259533987235	70.289623684994	32.6348242548638	40.1613138413763	52.9669104484775	10.79198140411	48.2569349249747	38.2862767374257	34.9998680980481	57.6447863681844	62.4439027723957	50.3218710788074
LOC121111488	20.3250865715672	23.826991079659	6.09661552013938	23.0927554587914	5.53385631551258	5.27607979756489	16.9918784947094	26.2140273157149	23.2633853825349	21.0276579204698	29.4031969365164	4.17416442128356
CRH	0	0	0.35862444236114	0.334677615344803	0.395275451108041	0.239821808980222	0	1.03476423614664	0.209580048491306	0	0	0.231898023404642
MTHFSD	10.7488438599634	11.6752256290329	6.81386440486166	13.0524269984473	11.4629880821332	8.87340693226822	9.17561438714308	8.623035301222	6.07782140624787	7.25091652429993	10.3062752148614	12.7543912872553
C17orf58	2.14976877199268	0.953079643186359	0.71724888472228	5.35484184551684	4.74330541329649	1.91857447184178	4.41788840862445	2.41444988434216	1.04790024245653	2.90036660971997	6.365640573885	9.04402291278105
YIPF5	42.4090748656738	28.5923892955908	47.6970508340316	39.1572809953419	38.34171875748	74.3447607838689	27.1870055915351	47.5991548627454	43.173489989209	39.1549492312196	40.315723634605	28.7553549021757
LOC121113482	0	0	0	0	0	0	0	0.34492141204888	0	0	0	0.231898023404642
