genes	slow-liver	slow-liver.1	slow-liver.2	slow-liver.3	slow-liver.4	slow-liver.5	slow-liver.6	slow-liver.7	slow-liver.8	slow-liver.9	slow-liver.10	slow-liver.11
C4orf33	0.414886031170857	0.557319047753803	0.653892687504622	0.504286430525146	0.455214700356986	1.01683428493185	0.878184610727823	0.321824574299027	0.855168556040869	0.310800162007026	0.975320659869112	0.329571873645171
C12orf4	3.52653126495228	3.06525476264592	3.43293660939927	3.02571858315088	1.97259703488027	2.0336685698637	4.39092305363912	1.93094744579416	0.570112370693913	1.86480097204216	3.25106886623037	1.31828749458068
THEMIS	0.414886031170857	0.278659523876901	0	0	0	0	0	0	0	0.310800162007026	0	0
LOC769491_7	0.207443015585428	0.557319047753803	0.163473171876156	0	0	0.338944761643951	0	0.321824574299027	0	0.310800162007026	0	0
POLR2L	68.2487521276059	128.740700031128	137.317464375971	48.9157837609392	57.2053140115279	52.1974932931684	106.260337898067	49.8828090163492	97.4892153886591	56.5656294852788	75.7499045831677	80.4155371694217
MYH1D	3.11164523378143	2.22927619101521	1.14431220313309	20.675743651531	1.66912056797562	6.77889523287901	3.22001023933535	6.11466691168152	3.13561803881652	6.21600324014052	8.77788593882201	5.93229372561307
L3HYPDH	3.31908824936685	1.67195714326141	3.26946343752311	1.51285929157544	3.48997936940356	4.40628190137136	5.26910766436694	11.585684674765	1.42528092673478	3.41880178207729	3.90128263947645	4.28443435738722
ATE1	29.2494651975454	28.7019309593208	28.7712782502034	34.7957637062351	26.0989761538005	27.115580931516	26.9309947289866	32.8261065785008	31.6412365735122	29.5260153906675	18.2059856508901	26.0361780179685
LOC121113493	0	0.835978571630704	0.326946343752311	0.504286430525146	0.151738233452329	0.338944761643951	0.878184610727823	0	1.14022474138783	0.621600324014052	0	0.988715620935512
LOC124418020	0	0.278659523876901	0	0	0	0.338944761643951	0.292728203575941	0	0	0	0	0
QPRT	166.99162754627	293.1498191185	440.887144549992	186.585979294304	469.478094301505	590.441774783762	250.868070464582	199.531236065397	137.967193707927	297.435755040724	373.222705843247	229.711595930684
LOC112531536	24.2708328234951	39.56965239052	65.3892687504622	27.735753678883	34.7480554605833	21.0145752219249	44.2019587399671	39.2625980644813	37.9124726511452	24.242412636548	21.4570545171205	43.8330591948077
ADGRL3	10.164707763686	3.62257381039972	6.86587321879853	11.5985879020784	3.33824113595123	10.8462323726064	4.68365125721506	6.43649148598054	4.27584278020435	7.45920388816863	5.52681707259164	4.94357810467756
WIPF2	43.56303327294	31.4885261980899	26.319180672061	35.8043365672854	50.5288317396254	32.8776418794632	30.4437331718979	44.7336158275648	52.7353942891869	43.8228228429907	19.8315200840053	35.5937623536784
GGA2	30.7015663066434	7.24514762079944	8.66407810943624	9.58144217997777	11.3803675089246	10.5072876109625	7.61093329297447	7.72378978317665	8.26662937506173	5.28360275411945	13.3293823515445	5.6027218519679
TNFAIP6	0	0.557319047753803	0.163473171876156	0.504286430525146	0	0.338944761643951	0.292728203575941	0.321824574299027	0.570112370693913	0	0.650213773246075	0.329571873645171
CREM	46.0523494599651	26.7513142921825	18.962887937634	23.7014622346819	29.5889555232041	20.336685698637	28.1019075432903	49.8828090163492	38.4825850218391	67.1328349935176	56.2434913857855	24.3883186497426
SLC44A1	11.616808872784	14.7689547654758	13.8952196094732	9.58144217997777	10.7734145751153	15.5914590356217	19.6127896395881	9.01108808037276	6.27123607763304	9.94560518422484	6.82724461908379	10.2167280830003
HPD	1301.08259375181	2859.32537450089	1093.79899302336	1268.78465920127	1794.00113410688	1595.41299305808	3572.45499644079	1437.91219796805	1706.63138167223	2489.50929767628	1252.31172727194	2291.51323745487
FUT9	0.414886031170857	0	0	0.504286430525146	0	0.677889523287901	0	0.643649148598054	0	0.310800162007026	0.650213773246075	0
CLTC	157.034362798169	96.4161952614079	88.275512813124	137.670195533365	81.3316931304482	64.3995047123506	87.8184610727823	109.09853068737	133.691350927723	92.3076481160868	56.5685982724085	84.6999715268089
TLR2	1.452101109098	0	0	2.52143215262573	0.303476466904657	0.338944761643951	0.292728203575941	1.28729829719611	0	0	0.650213773246075	0.329571873645171
WIPF3	17.0103272780051	29.5379095309516	36.1275709846304	25.2143215262573	22.15378208404	23.7261333150765	33.3710152076573	15.1257549920543	27.3653937933078	14.2968074523232	16.5804512177749	21.0925999132909
TBC1D16	12.8614669662966	8.08112619243014	14.3856391251017	20.1714572210058	10.9251528085677	11.5241218958943	7.61093329297447	23.493193923829	14.2528092673478	13.6752071283092	14.9549167846597	16.1490218086134
LOC121111488	4.97863237405028	10.3104023834454	15.8568976719871	4.53857787472631	18.8155409480888	9.82939808767457	12.5873127537655	18.3440007350445	12.827528340613	16.4724085863724	15.6051305579058	3.95486248374205
LOC121109331	0	0	0	0	0	0	0	0	0	0	0	0
CRH	0.622329046756285	0.278659523876901	0	0	0	0.338944761643951	0	0.965473722897082	0	0.621600324014052	0	0.329571873645171
MTHFSD	5.39351840522114	5.01587142978423	4.90419515628467	5.04286430525146	6.82822050535479	5.42311618630321	4.09819485006318	4.82736861448541	8.55168556040869	4.97280259211242	5.85192395921467	4.94357810467756
C17orf58	0.414886031170857	0	0	2.01714572210058	0	0.338944761643951	0.292728203575941	0.321824574299027	0	0	0	0.329571873645171
YIPF5	97.4982173251513	109.234533359745	148.760586407302	70.0958138429953	127.004901399599	86.0919694575635	99.52758921582	67.9049851770947	115.16269888017	100.388452328269	73.4741563768065	79.7563934221313
LOC121113482	0	0	0	0.504286430525146	0	0.677889523287901	0	0	0	1.55400081003513	0	0.329571873645171
