genes	fast-kidney	fast-kidney.1	fast-kidney.2	fast-kidney.3	fast-kidney.4	fast-kidney.5	fast-kidney.6	fast-kidney.7	fast-kidney.8	fast-kidney.9	fast-kidney.10	fast-kidney.11
C4orf33	0.590483005173865	0.981120674141663	1.98526595411701	3.35102392049272	2.23965400738948	7.61357939705793	2.73093082482717	1.28300029012654	1.25796766230077	3.22489189794716	0.405306591524422	0.651390782123673
C12orf4	2.36193202069546	0.490560337070831	2.77937233576382	2.93214593043113	3.07952426016054	3.55300371862703	1.82062054988478	1.9245004351898	2.01274825968124	6.04667230865093	0	0
THEMIS	0	0	1.19115957247021	1.25663397018477	0	0	5.46186164965435	2.56600058025307	0.50318706492031	0	0	0
LOC769491_7	4.13338103621705	5.39616370777914	3.17642552658722	0.41887799006159	0.559913501847371	0.507571959803862	9.5582578868951	7.05650159569594	2.51593532460155	0.604667230865093	4.05306591524422	8.46808016760775
POLR2L	68.4960286001683	63.2822834821372	271.187329332384	82.1000860520717	204.648384925214	204.805285780858	81.9279247448152	55.8105126205043	206.055103084867	69.1336200622423	55.1216964473213	65.790468994491
MYH1D	4.13338103621705	4.90560337070831	3.57347871741062	3.76990191055431	2.23965400738948	1.52271587941159	1.82062054988478	5.13200116050614	3.77390298690232	2.41866892346037	2.83714614067095	3.90834469274204
L3HYPDH	11.2191770983034	14.2262497750541	10.7204361522319	10.8908277416014	23.2364103266659	10.4052251759792	12.7443438491935	14.1130031913919	21.133856726653	7.25600677038112	1.62122636609769	3.90834469274204
ATE1	35.4289803104319	50.5277147182956	38.1171063190467	43.5633109664054	37.5142046237738	34.2611072867607	41.4191175098788	39.7730089939226	45.0352423103677	46.1562652893688	38.50412619482	28.6611944134416
LOC121113493	0	0.490560337070831	1.58821276329361	1.25663397018477	0	0.253785979901931	0	3.20750072531634	2.2643417921414	0	0	1.30278156424735
LOC124418020	0	0.981120674141663	0	0	0	0	0	1.28300029012654	0	0	0	0.651390782123673
QPRT	106.87742393647	172.677238648933	113.557212575493	221.586456742581	192.890201386419	185.771337288213	81.472769607344	147.545033364552	154.226835398075	104.607430939661	117.944218133607	338.72320670431
LOC112531536	49.0100894294308	79.9613349425455	47.2493297079849	78.749062131579	50.6721719171871	59.3859192970518	61.4459435586114	66.7160150865798	52.8346418166325	74.9787366272715	66.8755876015296	68.3960321229857
ADGRL3	76.7627906726024	69.1690075269872	54.3962871428062	55.2918946881299	76.1482362512424	40.605756784309	74.645442545276	73.1310165372125	69.9430020239231	68.1258413441338	75.7923326150668	83.3780201118301
WIPF2	61.4102325380819	47.0937923587998	29.3819361209318	46.4954568968365	38.0741181256212	39.3368268847993	45.5155137471195	55.169012475441	33.4619398172006	60.8698345737527	73.3604930659203	52.7626533520175
GGA2	11.2191770983034	15.2073704491958	10.7204361522319	15.4984856322788	17.6372753081922	20.5566643720564	18.2062054988478	14.1130031913919	13.0828636879281	35.8769223646622	10.537971379635	12.3764248603498
TNFAIP6	1.18096601034773	2.45280168535416	0.794106381646805	0	0.279956750923685	0.253785979901931	0.455155137471195	0	0.251593532460155	0	0	0
CREM	31.2955992742148	44.1504303363748	29.7789893117552	70.3715023303472	29.6754155979106	32.2308194475452	24.5783774234446	28.2260063827838	25.4109467784757	22.5742432856301	49.4474041659794	33.872320670431
SLC44A1	16.5335241448682	8.83008606727496	19.8526595411701	10.8908277416014	16.7974050554211	23.0945241710757	14.5649643990783	5.77350130556941	14.0892378177687	13.9073463098971	11.3485845626838	16.9361603352155
HPD	136.401574195163	146.186980447108	118.718904056197	164.200172104143	112.262657120398	91.1091667847932	114.699094642741	234.789053093156	215.615657318353	178.981500336068	141.046693850499	174.572729609144
FUT9	20.6669051810853	1.96224134828333	0.794106381646805	1.67551196024636	0	0.253785979901931	1.36546541241359	0.641500145063268	0.50318706492031	2.01555743621698	2.83714614067095	4.55973547486571
CLTC	218.47871191433	215.355987974095	199.320701793348	361.910583413214	199.04924990674	213.687795077426	298.126615043633	201.431045549866	184.166465760833	222.517540958354	318.97628752972	248.179887989119
TLR2	0.590483005173865	0.490560337070831	0.397053190823403	0	0	0.253785979901931	0	1.28300029012654	0.251593532460155	0.201555743621698	0.405306591524422	0
WIPF3	13.5811091189989	9.81120674141663	15.8821276329361	9.63419377141658	25.1961075831317	24.3634540705854	11.3788784367799	15.3960034815184	21.3854502591132	19.9540186185481	9.3220516050617	10.4222525139788
TBC1D16	10.6286940931296	8.33952573020413	7.94106381646805	15.9173636223404	9.23857278048162	5.83707753774441	6.37217192459674	7.69800174075921	7.7993995062648	8.666896975733	6.48490546439074	5.21112625698938
LOC121111488	30.1146332638671	23.0563358423291	9.52927657976166	18.8495095527716	21.2767130702001	21.5718082916641	29.1299287981565	8.98100203088575	16.1019860774499	18.9462399004396	32.0192207304293	30.6153667598126
CRH	0.590483005173865	0	0.397053190823403	0	0	0.253785979901931	0	0	0	0	0	0
MTHFSD	6.49531305691251	6.37728438192081	11.1174893430553	7.53980382110863	7.27887552401582	8.12115135686179	3.18608596229837	5.77350130556941	9.30896070102573	9.27156420659809	8.10613183048843	6.51390782123673
C17orf58	0.590483005173865	0.981120674141663	0.397053190823403	1.67551196024636	0.279956750923685	0.253785979901931	2.27577568735598	0.641500145063268	0.251593532460155	1.81400169259528	0.405306591524422	2.60556312849469
YIPF5	37.7909123311273	42.6787493251623	90.9251806985592	66.1827224297313	123.180970406422	139.582288946062	45.5155137471195	30.7920069630368	114.22346373691	36.683145339149	41.341272335491	45.5973547486571
