genes	fast-leg	fast-leg.1	fast-leg.2	fast-leg.3	fast-leg.4	fast-leg.5	fast-leg.6	fast-leg.7	fast-leg.8	fast-leg.9	fast-leg.10	fast-leg.11
C4orf33	0	0	1.48437163557068	0.522904467266704	0.462855366334148	2.16647689449273	0	0.935708271679677	0	0.34606266208979	0	0.445006050042802
C12orf4	0.652980394138307	0	4.45311490671204	2.87597456996687	3.47141524750611	1.35404805905796	1.30155705827233	2.80712481503903	4.18186574370429	4.15275194507748	4.6356487461955	0.445006050042802
THEMIS	0	0	0	0	0.462855366334148	0.541619223623182	0	0	0.321681980284945	0	4.6356487461955	1.33501815012841
LOC769491_7	2.61192157655323	7.14962119584361	1.11327872667801	1.04580893453341	2.77713219800489	4.87457301260864	0.650778529136163	1.24761102890624	1.28672792113978	3.4606266208979	2.31782437309775	1.33501815012841
POLR2L	145.614627892842	105.814393698486	169.218366455058	362.895700283093	174.959328474308	73.3894048009412	109.981571424011	95.1303409541005	296.590785822719	143.269942105173	107.778833349045	242.97330332337
MYH1D	266.416000808429	267.395832724551	115.038801756728	345.116948396025	17.3570762375306	151.653382614491	255.755961950512	156.887086884959	33.7766079299192	30.4535142639015	242.212646988715	487.281624796868
L3HYPDH	0.652980394138307	2.85984847833745	4.08202199781937	1.30726116816676	2.54570451483781	2.70809611811591	1.95233558740849	0.311902757226559	1.28672792113978	3.4606266208979	2.89728046637219	1.33501815012841
ATE1	69.2159217786605	68.6363634800987	50.4686356094031	54.3820645957372	72.4368648312942	57.1408280922457	58.5700676222546	73.2971479482414	61.4412582344245	86.5156655224475	71.8525555660302	98.791343109502
LOC121113493	0.652980394138307	2.14488635875308	0.37109290889267	0.261452233633352	3.23998756433904	1.08323844724636	0.650778529136163	0.935708271679677	1.28672792113978	1.38425064835916	1.15891218654887	8.90012100085604
QPRT	11.7536470944895	15.729166630856	11.1327872667801	3.66033127086693	8.56282427718174	13.269670978768	22.1264699906295	9.35708271679677	5.79027564512901	12.1121931731427	5.21510483946994	5.34007260051362
LOC112531536	35.2609412834686	40.0378786967242	10.7616943578874	29.5441024005688	23.8370513662086	17.3318151559418	32.5389264568081	40.5473584394527	26.6996043636504	43.6038954233136	24.3371559175264	41.3855626539806
ADGRL3	19.5894118241492	15.729166630856	28.2030610758429	13.334063915301	15.737082455361	21.1231497213041	14.9679061701317	13.411818560742	16.4057809945322	20.4176970632976	35.3468216897407	19.1352601518405
WIPF2	50.9324707427879	35.7481059792181	16.3280879912775	36.3418604750359	31.242737227555	38.4549648772459	35.7928191024889	28.3831509076169	34.4199718904891	38.4129554919667	36.5057338762896	27.1453690526109
GGA2	9.14172551793629	11.4393939133498	18.5546454446335	16.9943951861679	10.8771011088525	14.6237190378259	9.11089940790628	9.66898547402333	7.07700356626879	12.4582558352324	12.1685779587632	16.9102299016265
TNFAIP6	1.30596078827661	1.42992423916872	0.74218581778534	1.56871340180011	2.54570451483781	1.89566728268114	0	0.935708271679677	2.25177386199462	0.69212532417958	1.73836827982331	0
CREM	33.9549804951919	57.9119316863333	63.0857945117539	30.5899113351022	74.0568586134637	44.1419667252894	50.1099467434845	55.8305935435541	44.3921132793224	37.3747675056973	39.4030143426617	30.2604114029105
SLC44A1	10.4476863062129	14.2992423916872	44.9022419760131	54.6435168293706	50.9140902967563	41.1630609953619	14.9679061701317	28.3831509076169	64.9797600175589	21.8019477116568	12.1685779587632	10.6801452010272
HPD	51.5854511369262	82.9356058717859	41.1913128870864	15.1642295507344	21.0599191682037	87.7423142269555	61.8239602679355	53.023468728515	45.6788412004622	77.518036308113	55.0483288610716	48.5056594546654
FUT9	1.95894118241492	10.7244317937654	0.37109290889267	0.261452233633352	1.61999378216952	2.9789057299275	0	0.623805514453118	1.60840990142473	2.07637597253874	8.11238530584212	0.890012100085604
CLTC	89.458313996948	63.6316286430082	29.6874327114136	48.3686632221701	31.0113095443879	49.2873493497096	88.5058799625181	85.4613554800772	58.8678023921449	81.3247255911007	99.0869919499288	64.5258772562063
TLR2	0	0	0.37109290889267	0	0.462855366334148	0	0	0	0	0.34606266208979	0	0.445006050042802
WIPF3	21.5483530065641	30.7433711421275	28.9452468936283	25.0994144288018	24.5313344157098	12.9988613669564	24.078805578038	31.814081237109	23.482784560801	31.1456395880811	48.0948557417783	28.0353811526965
TBC1D16	51.5854511369262	44.3276514142304	34.5116405270183	48.6301154558035	44.6655428512453	57.6824473158689	44.2529399812591	43.6663860117183	37.9584736736235	38.7590181540565	28.9728046637219	37.3805082035954
LOC121111488	35.2609412834686	20.0189393483621	22.6366674424529	9.15082817716732	23.3741959998745	14.8945286496375	9.76167793704244	13.7237213179686	17.692508915672	20.7637597253874	20.2809632646053	28.9253932527821
CRH	0	0.714962119584362	0.37109290889267	0	0	0.270809611811591	0	2.80712481503903	29.27306020593	0	0	0
MTHFSD	9.14172551793629	5.00473483709053	8.53513690453141	11.5038982798675	6.94283049501222	8.93671718978251	11.7140135244509	8.10947168789054	9.9721413888333	5.19093993134685	4.6356487461955	8.90012100085604
C17orf58	7.83576472965968	12.1543560329341	2.96874327114136	5.49049690630039	0.925710732668296	4.33295378898546	13.0155705827233	3.74283308671871	0.64336396056989	2.76850129671832	17.3836827982331	5.78507865055642
YIPF5	18.9364314300109	17.1590908700247	38.9647554337304	34.7731470732358	31.0113095443879	18.9566728268114	19.5233558740849	25.2641233353513	49.5390249638815	24.2243863462853	11.5891218654887	30.7054174529533
LOC121113482	0	0	0.37109290889267	0	0.462855366334148	1.89566728268114	0	0	0	0	0	0.890012100085604
