genes	fast-breast	fast-breast.1	fast-breast.2	fast-breast.3	fast-breast.4	fast-breast.5	fast-breast.6	fast-breast.7	fast-breast.8	fast-breast.9	fast-breast.10	fast-breast.11
C4orf33	0	0.611343153013225	0.575488447773018	0.930458015138728	0.310272730124847	1.18868403921334	1.13319125831495	0.46675987365544	0.916142969689802	1.22802340641147	2.03946536623262	0.430719208381729
C12orf4	1.87549139988717	2.4453726120529	5.46714025384367	1.86091603027746	3.72327276149817	2.37736807842667	1.88865209719159	3.26731911558808	2.1376669292762	11.0522106577032	9.03191805045874	2.58431525029037
LOC769491_7	0	0.305671576506613	2.30195379109207	0.620305343425819	0.620545460249694	3.80378892548268	0.377730419438318	1.86703949462176	0.610761979793201	1.8420351096172	0.291352195176088	1.29215762514519
POLR2L	136.910872191764	355.801715053697	372.053281485256	209.353053406214	292.897457237856	99.373985678235	189.998400977474	112.022369677305	186.282403836926	401.97299503202	274.745120051051	233.019091734515
MYH1D	6.25163799962391	34.2352165687406	4.31616335829763	34.11679388842	11.4800910146193	4.27926254116801	12.4651038414645	25.2050331773937	13.1313825655538	23.7417858572883	13.4022009781001	5.59934970896247
L3HYPDH	0.625163799962391	1.52835788253306	0.287744223886509	0.620305343425819	1.55136365062424	1.18868403921334	1.13319125831495	3.26731911558808	1.8322859393796	0.818682270940977	0.291352195176088	1.72287683352691
ATE1	66.8925265959758	47.0734227820184	57.8365890011883	56.1376335800366	69.1908188178409	77.2644625488669	64.9696321433907	82.1497377633574	85.8120581609448	84.3242739069207	82.452671234833	82.6980880092919
LOC121113493	0	0.305671576506613	0	0	0.620545460249694	1.426420847056	0.377730419438318	1.40027962096632	0.305380989896601	0	0.874056585528265	0.861438416763457
QPRT	16.8794225989846	6.72477468314548	2.87744223886509	5.89290076254528	15.8239092363672	6.41889381175202	12.0873734220262	15.4030758306295	15.8798114746232	4.09341135470489	7.28380487940221	13.7830146682153
LOC112531536	35.0091727978939	24.453726120529	27.0479570453318	29.4645038127264	31.9580912028593	21.6340495136827	16.9978688747243	29.8726319139481	27.7896700805907	27.0165149410523	20.6860058575023	28.8581869615758
ADGRL3	15.6290949990598	9.47581887170499	5.46714025384367	13.9568702270809	7.44654552299633	5.23020977253868	6.79914754988973	12.1357567150414	14.9636685049334	7.16346987073355	8.44921366010656	18.0902067520326
WIPF2	24.3813881985332	24.453726120529	28.7744223886509	22.3309923633295	23.8910002196132	29.2416273646481	17.3755992941626	28.0055924193264	18.322859393796	14.7362808769376	19.5205970767979	18.0902067520326
GGA2	14.378767399135	8.86447571869177	13.8117227465524	15.5076335856455	8.06709098324603	13.0755244313467	4.53276503325982	5.60111848386527	6.71838177772521	11.0522106577032	8.74056585528265	6.46078812572593
TNFAIP6	0.625163799962391	1.22268630602645	1.72646534331905	0.310152671712909	1.24109092049939	2.37736807842667	0.377730419438318	0	1.526904949483	4.09341135470489	3.20487414693697	3.44575366705383
CREM	26.8820433983828	25.6764124265555	50.9307276279121	71.955419837395	40.9560003764798	77.2644625488669	47.5940328492281	40.1413491343678	22.5981932523484	55.0563827207807	40.4979551294763	38.3340095459738
