ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,ontology
GO:0031333,negative regulation of protein-containing complex assembly,22,-0.579448759226673,-1.9953001811528814,0.0010934730967912221,0.09692147903376742,0.08957061922041017,2114,"tags=50%, list=12%, signal=44%",CAPZA2/HSPB1/CDC42/CAPZA1/TBCD/STMN1/MTPN/CAPZB/CSNK1A1/TWF2/TFIP11,BP
GO:0022613,ribonucleoprotein complex biogenesis,60,-0.38450691699448303,-1.6925073163282605,0.001859628074385123,0.13840857081285213,0.12791118662974513,2944,"tags=40%, list=17%, signal=33%",DKC1/SBDS/STRAP/MTERF3/RPL7A/EIF2A/RPS12/CELF2/ZNF622/CLP1/EIF3H/PRPF3/EIF3M/PSIP1/C1D/ERAL1/RPS17/NOC4L/DENR/PNO1/RPLP0/RPL35/LSG1/KHDC4,BP
GO:0071840,cellular component organization or biogenesis,654,-0.20260999379412276,-1.1981840703344755,0.002186330392508555,0.13840857081285213,0.12791118662974513,2403,"tags=22%, list=14%, signal=19%",PLEKHF2/PRELID1/NBN/RPL7A/ACTN2/RELN/ANAPC5/P3H1/TOP2A/PRRX1/CTTN/PPP2CB/EIF2A/TUB4A/THY1/RPS12/CELF2/AGTPBP1/CENPN/CDC42/VAMP7/ZNF622/PPP2R2D/EEF1AKMT1/SAMHD1/DDX1/RPS6KA5/ABHD17B/TUBB3/ME1/KDM5B/SETD1A/HMGN1/SGK1/CENPS/ODF2/TERF2/TRIP13/FEN1/RAD51/CAPZA1/FAM49A/DNA2/NSG1/TMEM41B/SEC31A/CSRP1/LMNB2/MAEA/LYSMD3/NDC80/CCDC61/TGM2/TUBA1A/DBN1/PEX5/TPM1/MYH11/PI4K2B/TADA2A/VCL/CLP1/PCM1/EIF3H/TBCD/TGFBR2/TECPR1/FNIP1/TLCD1/ACTB/ATF7IP/STMN1/PAN2/TUBB6/EPHB2/RAD54L/PRPF3/CSK/NCDN/RAB5B/KIF18B/EIF3M/BTK/DR1/MCM8/MIER1/SEC23B/LAMB1/PSIP1/C1D/ERAL1/RAB33B/OPTN/YWHAZ/TAPBP/BIN2/PDIA3/PRNP/HMGB2/MTPN/MMS22L/DSTN/HOPX/RPS17/KIF1BP/NOC4L/CAPZB/CDH3/TMEM70/SH3GLB1/PAFAH1B1/DCTN1/TBC1D23/MDM1/CHAF1A/CHMP2A/TA3/OLFM1/CENPA/DENR/NCAM1/CSNK1A1/NEUROD1/PNO1/ACTN4/STX10/RPLP0/WIPI2/HCCS/TWF2/RB1/PDLIM7/SMYD2/SMARCB1/SUPV3L1/NSFL1C/TFIP11/ZFYVE27/RPL35/LSG1/KHDC4/TLN1,BP
GO:0051129,negative regulation of cellular component organization,50,-0.40326013050896004,-1.704515562913565,0.002355712603062426,0.13840857081285213,0.12791118662974513,2560,"tags=44%, list=15%, signal=38%",CHEK1/CAPZA2/APOA1/HSPB1/IGF1/P3H1/TOP2A/THY1/CDC42/TERF2/TRIP13/CAPZA1/NDC80/TBCD/FNIP1/STMN1/MTPN/CAPZB/MDM1/CSNK1A1/TWF2/TFIP11,BP
GO:0001666,response to hypoxia,18,0.6427946902785084,1.777123017557686,0.0024703419399860435,0.13840857081285213,0.12791118662974513,599,"tags=28%, list=3%, signal=27%",FZD4/VEGFA/BCL2/CHRNB2/HYOU1,BP
GO:0036293,response to decreased oxygen levels,18,0.6427946902785084,1.777123017557686,0.0024703419399860435,0.13840857081285213,0.12791118662974513,599,"tags=28%, list=3%, signal=27%",FZD4/VEGFA/BCL2/CHRNB2/HYOU1,BP
GO:0007169,transmembrane receptor protein tyrosine kinase signaling pathway,70,0.45082294641201637,1.628636297452955,0.0026927870934361844,0.13840857081285213,0.12791118662974513,3429,"tags=43%, list=20%, signal=35%",FZD4/VEGFA/EFNB1/GHR/EFNA5/PDGFC/FYN/JAK2/FGFRL1/EPHA7/SRC/FGFR3/MUSK/NTRK3/EGFR/NRP1/EPHA5/GFRA2/IGFBP2/WNT3A/SYK/NRG1/FGF4/IGF2/EPHA3/MVB12A/PTPRJ/FGFR2/NTF3/GFRA4,BP
GO:0051494,negative regulation of cytoskeleton organization,16,-0.6109295486662156,-1.9233802653059804,0.002784569410486281,0.13840857081285213,0.12791118662974513,1751,"tags=56%, list=10%, signal=51%",CAPZA2/HSPB1/CAPZA1/TBCD/STMN1/MTPN/CAPZB/MDM1/TWF2,BP
GO:0007167,enzyme-linked receptor protein signaling pathway,109,0.40815469356199086,1.5634157422582258,0.002877986747874975,0.13840857081285213,0.12791118662974513,3429,"tags=37%, list=20%, signal=30%",FZD4/VEGFA/EFNB1/GHR/ACVR2B/RGMA/RBPMS2/EFNA5/PDGFC/FYN/JAK2/FGFRL1/EPHA7/SRC/FGFR3/MUSK/NTRK3/EGFR/ZYX/GLG1/NRP1/EPHA5/GFRA2/IGFBP2/FST/WNT3A/SYK/NRG1/BMP2/FGF4/IGF2/TGFB3/CHRDL1/EPHA3/MVB12A/PTPRJ/FGFR2/ATVR1/NTF3/GFRA4,BP
GO:0070482,response to oxygen levels,19,0.629598132287507,1.7637740461949474,0.00291019955654102,0.13840857081285213,0.12791118662974513,599,"tags=26%, list=3%, signal=25%",FZD4/VEGFA/BCL2/CHRNB2/HYOU1,BP
GO:1902904,negative regulation of supramolecular fiber organization,19,-0.5796651949379792,-1.9184970423935546,0.0029811076790460457,0.13840857081285213,0.12791118662974513,3510,"tags=47%, list=20%, signal=38%",CAPZA2/HSPB1/P3H1/CAPZA1/TBCD/STMN1/MTPN/CAPZB/TWF2,BP
GO:0006261,DNA-templated DNA replication,19,-0.5746398149132289,-1.9018647229122743,0.0033402772789311113,0.14803501577081063,0.13680752874473834,2049,"tags=53%, list=12%, signal=46%",SAMHD1/CENPS/RTFDC1/RAD51/DNA2/POLD3/PCNA/MMS22L/MSH6/TIPIN,BP
