reaction_id,flux_slow,flux_fast,flux_ratio,DRF_category,Formula,Pathways_list,Pathways,Pathway_Groups_list,Pathway Groups
ACONTm,0.5538832614408684,0.4879203658175663,0.8809083064692971,Unchanged,Citrate <==> Isocitrate,"['2-oxocarboxylic Acid Metabolism', 'Biosynthesis Of Amino Acids', 'Citric Acid Cycle']",2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Citric Acid Cycle,"['2-oxocarboxylic Acid Metabolism', 'AA other', 'Central Energy Metabolism']",2-oxocarboxylic Acid Metabolism; AA other; Central Energy Metabolism
ADK1,0.2518323788458034,0.3746200680088918,1.4875770531408559,Increased,AMP + ATP <==> 2.0 ADP,"['Nucleotide Interconversion', 'Nucleotide Metabolism', 'Purine Metabolism']",Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism,"['Nucleotide metabolism', 'Nitrogen disposal']",Nucleotide metabolism; Nitrogen disposal
ADKd,0.0008039132361065,0.0011958828827494,1.4875770531423034,Increased,dAMP(2-) + dATP <==> 2.0 dADP,['Nucleotide Interconversion'],Nucleotide Interconversion,['Nucleotide metabolism'],Nucleotide metabolism
ADSL1,0.0031008081962904,0.0046126911192915,1.4875770532372223,Increased,"N6-(1,2-Dicarboxyethyl)-AMP --> AMP + Fumarate","['Alanine, Aspartate And Glutamate Metabolism', 'Nucleotide Interconversion', 'Nucleotide Metabolism', 'Purine Metabolism']","Alanine, Aspartate And Glutamate Metabolism; Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism","['AA other', 'Nucleotide metabolism', 'Nitrogen disposal']",AA other; Nucleotide metabolism; Nitrogen disposal
ADSL2,0.0045098843475884,0.0067088004680924,1.4875770532075485,Increased,(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate --> 5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide + Fumarate,"['Purine Metabolism', 'Purine Synthesis']",Purine Metabolism; Purine Synthesis,"['Nitrogen disposal', 'Nucleotide metabolism']",Nitrogen disposal; Nucleotide metabolism
ADSS,0.0031008081962904,0.0046126911192915,1.4875770532372223,Increased,"L-aspartate(1-) + GTP + IMP --> N6-(1,2-Dicarboxyethyl)-AMP + GDP + 2.0 proton + hydrogenphosphate","['Alanine, Aspartate And Glutamate Metabolism', 'Nucleotide Interconversion', 'Nucleotide Metabolism', 'Purine Metabolism']","Alanine, Aspartate And Glutamate Metabolism; Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism","['AA other', 'Nucleotide metabolism', 'Nitrogen disposal']",AA other; Nucleotide metabolism; Nitrogen disposal
AGPAT1,0.0116148006216829,0.0172779108814696,1.4875770531277666,Increased,R total 2 coenzyme A + lysophosphatidic acid --> Coenzyme A + phosphatidate(2-),['Triacylglycerol Synthesis'],Triacylglycerol Synthesis,['Lipid metabolism'],Lipid metabolism
AICART,0.0045098843475884,0.0067088004680924,1.4875770532075485,Increased,"10-Formyltetrahydrofolate + 5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide <==> 5-Formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide + 5,6,7,8-Tetrahydrofolate","['Folate Metabolism', 'Purine Metabolism', 'Purine Synthesis']",Folate Metabolism; Purine Metabolism; Purine Synthesis,"['Folate Metabolism', 'Nitrogen disposal', 'Nucleotide metabolism']",Folate Metabolism; Nitrogen disposal; Nucleotide metabolism
AIRCr,0.0045098843475884,0.0067088004680924,1.4875770532075485,Increased,5-amino-1-(5-phospho-D-ribosyl)imidazole + carbon dioxide <==> 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate + proton,"['Purine Metabolism', 'Purine Synthesis']",Purine Metabolism; Purine Synthesis,"['Nitrogen disposal', 'Nucleotide metabolism']",Nitrogen disposal; Nucleotide metabolism
AKGDm,1.122436722247442,1.0524209541926153,0.9376216345500217,Unchanged,2-Oxoglutarate + Coenzyme A + Nicotinamide adenine dinucleotide --> carbon dioxide + Nicotinamide adenine dinucleotide - reduced + Succinyl-CoA,"['2-oxocarboxylic Acid Metabolism', 'Citric Acid Cycle']",2-oxocarboxylic Acid Metabolism; Citric Acid Cycle,"['2-oxocarboxylic Acid Metabolism', 'Central Energy Metabolism']",2-oxocarboxylic Acid Metabolism; Central Energy Metabolism
