metabolite_id,Metabolite,Metabolite Group,Metabolic Pathways,Pathway Group,log2FC_fluxsum,Reactions
h2o_m,Water (m),H2O,Folate Metabolism,Folate Metabolism,11.524991347003915,MTHFCm;FTHFDHm;GHMT2rm
q10h2_m,Ubiquinol-10 (m),Ubiquinol-10,Tryptophan Metabolism,AAA metabolism (Trp/Phe/Tyr),6.0,r0541
cgly_c,L-cysteinylglycine (c),L-cysteinylglycine,Glutathione Metabolism,Redox & Pentose Metabolism,1.167235498333331,AMPTASECG;r0129
nh4_m,Ammonium (m),NH4,Taurine And Hypotaurine Metabolism,Taurine And Hypotaurine Metabolism,-0.8007489670516705,GLUDxm
mlthf_m,"5,10-Methylenetetrahydrofolate (m)",CH2-THF,Glyoxylate And Dicarboxylate Metabolism,Glyoxylate And Dicarboxylate Metabolism,9.164340909365874,GHMT2rm
pro__L_m,L-proline (m),L-Pro,Biosynthesis Of Amino Acids,AA other,6.0,PRO1xm
lys__L_e,L-lysinium(1+) (e),Lys,Extracellular Transport,Extracellular Transport,1.323942581876637,_LYSt5r;ARGLYSex
cys__L_c,L-cysteine (c),L-Cys,Glutathione Metabolism,Redox & Pentose Metabolism,1.1672354983333313,AMPTASECG
gly_m,Glycine (m),Glycine,Methane Metabolism,Methane Metabolism,9.164340909365874,GHMT2rm
2mop_m,2-methyl-3-oxopropanoate (m),2-Methyl-3-oxopropanoate,"Valine, Leucine And Isoleucine Degradation",BCAA metabolism (Val/Leu/Iso),-0.8025482880538267,MMSAD1m
_L2aadp_m,L-2-aminoadipate(1-) (m),Adipates,Lysine Biosynthesis,Lysine Biosynthesis,6.0,r0450
co2_m,carbon dioxide (m),CO2,"Valine, Leucine And Isoleucine Degradation",BCAA metabolism (Val/Leu/Iso),-0.8025482880538267,MMSAD1m
coa_m,Coenzyme A (m),CoA,Fatty Acid Metabolism,Lipid metabolism,-6.0,ACACT1rm
3mob_c,3-methyl-2-oxobutanoate (c),α-Ketoisovalerate,"Valine, Leucine And Isoleucine Biosynthesis",BCAA metabolism (Val/Leu/Iso),-0.802548288064555,VALTA
mlthf_m,"5,10-Methylenetetrahydrofolate (m)",CH2-THF,Folate Metabolism,Folate Metabolism,10.781643774195192,MTHFD2m;GHMT2rm
ser__L_m,L-serine (m),L-ser,Glyoxylate And Dicarboxylate Metabolism,Glyoxylate And Dicarboxylate Metabolism,9.164340909365874,GHMT2rm
thf_m,"5,6,7,8-Tetrahydrofolate (m)",THF,Folate Metabolism,Folate Metabolism,9.199117508087722,FTHFDHm;GHMT2rm;r0226
pro__L_m,L-proline (m),L-Pro,"Transport, Mitochondrial",Mitochondrial transport,6.0,PROtm
coa_m,Coenzyme A (m),CoA,Lysine Metabolism,Lysine Metabolism,6.0,2OXOADOXm
co2_c,carbon dioxide (c),CO2,Extracellular Transport,Extracellular Transport,0.8357100903265128,CO2t
glutcoa_m,glutaryl-CoA(5-) (m),Glutaryl-CoA(5-),2-oxocarboxylic Acid Metabolism,2-oxocarboxylic Acid Metabolism,6.0,2OXOADOXm
glu__L_m,L-glutamate(1-) (m),L-Glu,Nitrogen Metabolism,Nitrogen disposal,-0.8007489670516705,GLUDxm
3hbcoa_m,(S)-3-hydroxybutanoyl-CoA(4-) (m),SC acyl-CoA,Fatty Acid Degradation,Lipid metabolism,6.0,HACD1m;ECOAH1m
2oxoadp_m,2-oxoadipate(2-) (m),Adipates,Tryptophan Metabolism,AAA metabolism (Trp/Phe/Tyr),6.0,2OXOADOXm
_L2aadp6sa_m,L-allysine (m),L-allysine,Lysine Metabolism,Lysine Metabolism,6.0,r0525;r0594m
accoa_m,Acetyl-CoA (m),Acetyl-CoA,Tryptophan Metabolism,AAA metabolism (Trp/Phe/Tyr),-6.0,ACACT1rm
ser__L_m,L-serine (m),L-ser,Folate Metabolism,Folate Metabolism,9.164340909365874,GHMT2rm
nadh_m,Nicotinamide adenine dinucleotide - reduced (m),NAD(+),Lysine Degradation,AA other,6.0,HACD1m;r0525
alpam_m,S-aminomethyldihydrolipoamide (m),S-aminomethyldihydrolipoamide,"Glycine, Serine And Threonine Metabolism",AA other,9.266252539825937,GCC2am;GCC2bim
h_m,proton (m),H,Arginine And Proline Metabolism,Arginine And Proline Metabolism,6.0,PRO1xm
ala__L_c,L-alanine (c),L-Ala,Extracellular Transport,Extracellular Transport,-3.0512007537089056,ALAtN1;r1402
btn_e,Biotin (e),Biotin,Extracellular Transport,Extracellular Transport,-6.0,BTNt4i;BTNt2
nadph_m,Nicotinamide adenine dinucleotide phosphate - reduced (m),NADP(+),Lysine Degradation,AA other,6.0,SACCD3m
b2coa_m,crotonoyl-CoA(4-) (m),SC acyl-CoA,Tryptophan Metabolism,AAA metabolism (Trp/Phe/Tyr),6.0,ECOAH1m;r0541
val__L_c,L-valine (c),L-Val,"Valine, Leucine And Isoleucine Degradation",BCAA metabolism (Val/Leu/Iso),-0.802548288064555,VALTA
akg_c,2-Oxoglutarate (c),α-KG,Methane Metabolism,Methane Metabolism,9.164340909365881,PSERT
pser__L_c,O-Phospho-L-serine (c),O-Phospho-L-serine,Methane Metabolism,Methane Metabolism,9.164340909365881,PSERT
h2o_m,Water (m),H2O,Lysine Degradation,AA other,6.0,ECOAH1m;SACCD3m;r0525
nadh_c,Nicotinamide adenine dinucleotide - reduced (c),NAD(+),Biosynthesis Of Amino Acids,AA other,9.164340909365881,PGCD
nadh_m,Nicotinamide adenine dinucleotide - reduced (m),NAD(+),Arginine Biosynthesis,AA other,-0.8007489670516705,GLUDxm
gly_m,Glycine (m),Glycine,"Alanine, Aspartate And Glutamate Metabolism",AA other,9.21619641419064,GCC2am;GHMT2rm
coa_m,Coenzyme A (m),CoA,Fatty Acid Degradation,Lipid metabolism,-6.0,ACACT1rm
co2_m,carbon dioxide (m),CO2,Lysine Metabolism,Lysine Metabolism,6.0,2OXOADOXm
lys__L_c,L-lysinium(1+) (c),Lys,Extracellular Transport,Extracellular Transport,1.3047645045927878,_LYSt5r;ARGLYSex;r1402
h_e,proton (e),H,Nitrogen Metabolism,Nitrogen disposal,-0.8566956954519471,r1418
h_m,proton (m),H,Taurine And Hypotaurine Metabolism,Taurine And Hypotaurine Metabolism,-0.8007489670516705,GLUDxm
lpam_m,lipoamide (m),Lipoamides,"Alanine, Aspartate And Glutamate Metabolism",AA other,9.266252539825945,GCC2am
nh4_m,Ammonium (m),NH4,"Glycine, Serine And Threonine Metabolism",AA other,9.266252539825928,GCC2bim
accoa_m,Acetyl-CoA (m),Acetyl-CoA,Lysine Degradation,AA other,-6.0,ACACT1rm
nad_m,Nicotinamide adenine dinucleotide (m),NAD(+),Lysine Degradation,AA other,6.0,HACD1m;r0525
nadp_m,Nicotinamide adenine dinucleotide phosphate (m),NADP(+),Lysine Metabolism,Lysine Metabolism,6.0,SACCD3m
pser__L_m,O-Phospho-L-serine (m),O-Phospho-L-serine,"Alanine, Aspartate And Glutamate Metabolism",AA other,9.164340909365874,PSP__Lm
lpam_m,lipoamide (m),Lipoamides,Glycolysis/Gluconeogenesis,Central Energy Metabolism,2.181966862645131,GCC2cm
lys__L_m,L-lysinium(1+) (m),Lys,"Transport, Mitochondrial",Mitochondrial transport,6.0,_LYStm
_L2aadp_m,L-2-aminoadipate(1-) (m),Adipates,Lysine Degradation,AA other,6.0,r0450
