metabolite_id,Metabolite,Metabolite Group,Metabolic Pathways,Pathway Group,log2FC_fluxsum,Reactions
thf_m,"5,6,7,8-Tetrahydrofolate (m)",THF,"Alanine, Aspartate And Glutamate Metabolism",AA other,9.21619641419063,GCC2bim;GHMT2rm
2mpdhl_m,S-(2-Methylpropanoyl)-dihydrolipoamide (m),S-(2-Methylpropanoyl)-dihydrolipoamide,"Valine, Leucine And Isoleucine Biosynthesis",BCAA metabolism (Val/Leu/Iso),-0.8025482880538267,r0385;r0561
gly_m,Glycine (m),Glycine,"Glycine, Serine And Threonine Metabolism",AA other,9.21619641419064,GCC2am;GHMT2rm
pser__L_c,O-Phospho-L-serine (c),O-Phospho-L-serine,"Transport, Mitochondrial",Mitochondrial transport,9.164340909365876,PSERtm
pro__L_c,L-proline (c),L-Pro,Extracellular Transport,Extracellular Transport,1.6525196699827172,PROt4;r1402
glutcoa_m,glutaryl-CoA(5-) (m),Glutaryl-CoA(5-),Tryptophan Metabolism,AAA metabolism (Trp/Phe/Tyr),6.0,r0541;2OXOADOXm
3hbcoa_m,(S)-3-hydroxybutanoyl-CoA(4-) (m),SC acyl-CoA,Tryptophan Metabolism,AAA metabolism (Trp/Phe/Tyr),6.0,HACD1m;ECOAH1m
nad_m,Nicotinamide adenine dinucleotide (m),NAD(+),Nitrogen Metabolism,Nitrogen disposal,-0.8007489670516705,GLUDxm
lpam_m,lipoamide (m),Lipoamides,"Glycine, Serine And Threonine Metabolism",AA other,9.266252539825945,GCC2am
ser__L_m,L-serine (m),L-ser,"Alanine, Aspartate And Glutamate Metabolism",AA other,9.164340909365874,PSP__Lm;GHMT2rm
co2_e,carbon dioxide (e),CO2,Nitrogen Metabolism,Nitrogen disposal,-0.8566956954519471,r1418
coa_m,Coenzyme A (m),CoA,Pyruvate Metabolism,Central Energy Metabolism,-6.0,ACACT1rm
h_m,proton (m),H,Lysine Degradation,AA other,6.0,HACD1m;SACCD3m;r0525
gthrd_c,Reduced glutathione (c),Reduced glutathione,"Transport, Endoplasmic Reticulum","Transport, Endoplasmic Reticulum",1.1672354983333308,HUMANGEM_MAR06107
glu__L_m,L-glutamate(1-) (m),L-Glu,Taurine And Hypotaurine Metabolism,Taurine And Hypotaurine Metabolism,-0.8007489670516705,GLUDxm
pser__L_m,O-Phospho-L-serine (m),O-Phospho-L-serine,"Glycine, Serine And Threonine Metabolism",AA other,9.164340909365874,PSP__Lm
ala__L_e,L-Alanine (e),L-Ala,Extracellular Transport,Extracellular Transport,-6.0,ALAtN1
akg_c,2-Oxoglutarate (c),α-KG,Pantothenate And Coa Biosynthesis,Pantothenate And Coa Biosynthesis,-0.802548288064555,VALTA
nad_c,Nicotinamide adenine dinucleotide (c),NAD(+),Cysteine And Methionine Metabolism,AA other,9.164340909365881,PGCD
q10_m,ubiquinone-10 (m),Ubiquinone-10,Tryptophan Metabolism,AAA metabolism (Trp/Phe/Tyr),6.0,r0541
glu__L_c,L-glutamate(1-) (c),L-Glu,Cysteine And Methionine Metabolism,AA other,9.164340909365881,PSERT
2mop_m,2-methyl-3-oxopropanoate (m),2-Methyl-3-oxopropanoate,"Valine, Leucine And Isoleucine Biosynthesis",BCAA metabolism (Val/Leu/Iso),-0.8025482880538267,HIBDm;MMSAD1m
saccrp__L_m,L-saccharopinate(1-) (m),L-saccharopinate(1-),Lysine Metabolism,Lysine Metabolism,6.0,SACCD3m;r0525
h_m,proton (m),H,Arginine Biosynthesis,AA other,-0.7870617998662142,GLUDxm;r0034
dhlam_m,dihydrolipoamide (m),Lipoamides,"Alanine, Aspartate And Glutamate Metabolism",AA other,9.266252539825928,GCC2bim
nadh_m,Nicotinamide adenine dinucleotide - reduced (m),NAD(+),Butanoate Metabolism,AA other,6.0,HACD1m
nadh_m,Nicotinamide adenine dinucleotide - reduced (m),NAD(+),Fatty Acid Metabolism,Lipid metabolism,6.0,HACD1m
akg_m,2-Oxoglutarate (m),α-KG,Lysine Biosynthesis,Lysine Biosynthesis,6.0,r0450
nadh_c,Nicotinamide adenine dinucleotide - reduced (c),NAD(+),Methane Metabolism,Methane Metabolism,3.099188074463549,PGCD;MDH
glu__L_c,L-glutamate(1-) (c),L-Glu,"Alanine, Aspartate And Glutamate Metabolism",AA other,2.291505731820113,PSERT;ASPTA;ALATA__L;GLUPRT
akg_c,2-Oxoglutarate (c),α-KG,"Glycine, Serine And Threonine Metabolism",AA other,9.164340909365881,PSERT
pser__L_c,O-Phospho-L-serine (c),O-Phospho-L-serine,"Glycine, Serine And Threonine Metabolism",AA other,9.164340909365881,PSERT
nadh_m,Nicotinamide adenine dinucleotide - reduced (m),NAD(+),Lysine Metabolism,Lysine Metabolism,6.0,r0525;r0594m;2OXOADOXm
3hbcoa_m,(S)-3-hydroxybutanoyl-CoA(4-) (m),SC acyl-CoA,Lysine Degradation,AA other,6.0,HACD1m;ECOAH1m
h2o_m,Water (m),H2O,Butanoate Metabolism,AA other,1.5729643986846162,ECOAH1m;HMGCOASim
h2o_m,Water (m),H2O,Fatty Acid Metabolism,Lipid metabolism,6.0,ECOAH1m
glu__L_e,L-glutamate(1-) (e),L-Glu,Glutathione Metabolism,Redox & Pentose Metabolism,-6.0,r0130
aacoa_m,Acetoacetyl-CoA (m),Acetoacetyl-CoA,Glyoxylate And Dicarboxylate Metabolism,Glyoxylate And Dicarboxylate Metabolism,-6.0,ACACT1rm
co2_m,carbon dioxide (m),CO2,"Glycine, Serine And Threonine Metabolism",AA other,9.266252539825945,GCC2am
nadph_m,Nicotinamide adenine dinucleotide phosphate - reduced (m),NADP(+),Lysine Metabolism,Lysine Metabolism,6.0,SACCD3m
3mob_c,3-methyl-2-oxobutanoate (c),α-Ketoisovalerate,"Valine, Leucine And Isoleucine Degradation",BCAA metabolism (Val/Leu/Iso),-0.802548288064555,VALTA
3php_c,3-phosphonatooxypyruvate(3-) (c),Phospho-C3 acids,Cysteine And Methionine Metabolism,AA other,9.164340909365881,PGCD;PSERT
2oxoadp_m,2-oxoadipate(2-) (m),Adipates,Biosynthesis Of Amino Acids,AA other,6.0,r0450
h2o_m,Water (m),H2O,Methane Metabolism,Methane Metabolism,9.164340909365874,GHMT2rm
h_m,proton (m),H,Butanoate Metabolism,AA other,1.5729643986846162,HMGCOASim;HACD1m
h2o_m,Water (m),H2O,Lysine Metabolism,Lysine Metabolism,6.0,SACCD3m;r0525;r0594m
1pyr5c_m,1-Pyrroline-5-carboxylate (m),1-Pyrroline-5-carboxylate,"Alanine, Aspartate And Glutamate Metabolism",AA other,6.0,P5CDm
mlthf_m,"5,10-Methylenetetrahydrofolate (m)",CH2-THF,Biosynthesis Of Amino Acids,AA other,9.164340909365874,GHMT2rm
cys__L_e,L-Cysteine (e),L-Cys,Extracellular Transport,Extracellular Transport,1.336249886343135,CYSGLUexR
h_m,proton (m),H,Lysine Metabolism,Lysine Metabolism,6.0,SACCD3m;r0525;r0594m
val__L_c,L-valine (c),L-Val,Pantothenate And Coa Biosynthesis,Pantothenate And Coa Biosynthesis,-0.802548288064555,VALTA
aacoa_m,Acetoacetyl-CoA (m),Acetoacetyl-CoA,Pyruvate Metabolism,Central Energy Metabolism,-6.0,ACACT1rm
nh4_m,Ammonium (m),NH4,Nitrogen Metabolism,Nitrogen disposal,-0.7870617998662142,GLUDxm;r0034
nad_m,Nicotinamide adenine dinucleotide (m),NAD(+),Butanoate Metabolism,AA other,6.0,HACD1m
nad_m,Nicotinamide adenine dinucleotide (m),NAD(+),Fatty Acid Metabolism,Lipid metabolism,6.0,HACD1m
pro__L_e,L-Proline (e),L-Pro,Extracellular Transport,Extracellular Transport,1.6809934729935103,PROt4
nadh_c,Nicotinamide adenine dinucleotide - reduced (c),NAD(+),Cysteine And Methionine Metabolism,AA other,9.164340909365881,PGCD
coa_m,Coenzyme A (m),CoA,Lysine Degradation,AA other,-6.0,ACACT1rm
h2o_e,Water (e),H2O,Nitrogen Metabolism,Nitrogen disposal,-0.8566956954519471,r1418
3hibutcoa_m,(S)-3-Hydroxyisobutyryl-CoA (m),(S)-3-Hydroxyisobutyryl-CoA,"Valine, Leucine And Isoleucine Biosynthesis",BCAA metabolism (Val/Leu/Iso),-0.8025482880538267,3HBCOAHLm;ECOAH12m
nad_m,Nicotinamide adenine dinucleotide (m),NAD(+),Lysine Metabolism,Lysine Metabolism,6.0,r0525;r0594m;2OXOADOXm
glu__L_m,L-glutamate(1-) (m),L-Glu,Lysine Biosynthesis,Lysine Biosynthesis,6.0,r0450
nadh_m,Nicotinamide adenine dinucleotide - reduced (m),NAD(+),Fatty Acid Degradation,Lipid metabolism,6.0,HACD1m
3pg_c,3-Phospho-D-glycerate (c),Phospho-C3 acids,"Alanine, Aspartate And Glutamate Metabolism",AA other,9.164340909365881,PGCD
gly_m,Glycine (m),Glycine,Biosynthesis Of Amino Acids,AA other,9.164340909365874,GHMT2rm
cgly_e,L-cysteinylglycine (e),L-cysteinylglycine,Glutathione Metabolism,Redox & Pentose Metabolism,-6.0,r0130
btn_c,Biotin (c),Biotin,Extracellular Transport,Extracellular Transport,-6.0,BTNt4i;BTNt2
_L2aadp6sa_m,L-allysine (m),L-allysine,Lysine Degradation,AA other,6.0,r0525
1pyr5c_m,1-Pyrroline-5-carboxylate (m),1-Pyrroline-5-carboxylate,Arginine And Proline Metabolism,Arginine And Proline Metabolism,6.0,PRO1xm
val__L_c,L-valine (c),L-Val,2-oxocarboxylic Acid Metabolism,2-oxocarboxylic Acid Metabolism,-0.802548288064555,VALTA
pi_m,hydrogenphosphate (m),HPO4,"Glycine, Serine And Threonine Metabolism",AA other,9.164340909365874,PSP__Lm
glutcoa_m,glutaryl-CoA(5-) (m),Glutaryl-CoA(5-),Lysine Metabolism,Lysine Metabolism,6.0,2OXOADOXm
h2o_m,Water (m),H2O,Fatty Acid Degradation,Lipid metabolism,6.0,ECOAH1m
3mob_c,3-methyl-2-oxobutanoate (c),α-Ketoisovalerate,"Transport, Mitochondrial",Mitochondrial transport,-0.802548288064555,3MOBt2im
h_c,proton (c),H,Cysteine And Methionine Metabolism,AA other,9.164340909365881,PGCD
lys__L_c,L-lysinium(1+) (c),Lys,"Transport, Mitochondrial",Mitochondrial transport,6.0,_LYStm
2oxoadp_m,2-oxoadipate(2-) (m),Adipates,Lysine Biosynthesis,Lysine Biosynthesis,6.0,r0450
10fthf_m,10-Formyltetrahydrofolate (m),10-Formyltetrahydrofolate,Folate Metabolism,Folate Metabolism,6.0,MTHFCm;FTHFDHm
pi_m,hydrogenphosphate (m),HPO4,"Alanine, Aspartate And Glutamate Metabolism",AA other,5.9147110468839115,PSP__Lm;r0034
akg_m,2-Oxoglutarate (m),α-KG,Lysine Degradation,AA other,6.0,SACCD3m;r0450
gthrd_c,Reduced glutathione (c),Reduced glutathione,Glutathione Metabolism,Redox & Pentose Metabolism,1.167235498333331,r0129
gly_c,Glycine (c),Glycine,"Transport, Mitochondrial",Mitochondrial transport,6.0,GLYtm
mlthf_m,"5,10-Methylenetetrahydrofolate (m)",CH2-THF,Cyanoamino Acid Metabolism,Cyanoamino Acid Metabolism,9.164340909365874,GHMT2rm
3hmp_m,3-hydroxy-2-methylpropanoate (m),3-Hydroxy-2-methylpropanoate,"Valine, Leucine And Isoleucine Biosynthesis",BCAA metabolism (Val/Leu/Iso),-0.8025482880538267,3HBCOAHLm;HIBDm
thf_m,"5,6,7,8-Tetrahydrofolate (m)",THF,Cyanoamino Acid Metabolism,Cyanoamino Acid Metabolism,9.164340909365874,GHMT2rm
2mp2coa_m,2-Methylprop-2-enoyl-CoA (m),2-Methylprop-2-enoyl-CoA,"Valine, Leucine And Isoleucine Biosynthesis",BCAA metabolism (Val/Leu/Iso),-0.8025482880538267,r0560;ECOAH12m
3mob_c,3-methyl-2-oxobutanoate (c),α-Ketoisovalerate,Pantothenate And Coa Biosynthesis,Pantothenate And Coa Biosynthesis,-0.802548288064555,VALTA
nad_m,Nicotinamide adenine dinucleotide (m),NAD(+),Fatty Acid Degradation,Lipid metabolism,6.0,HACD1m
2oxoadp_m,2-oxoadipate(2-) (m),Adipates,2-oxocarboxylic Acid Metabolism,2-oxocarboxylic Acid Metabolism,6.0,r0450;2OXOADOXm
mlthf_m,"5,10-Methylenetetrahydrofolate (m)",CH2-THF,"Glycine, Serine And Threonine Metabolism",AA other,9.21619641419063,GCC2bim;GHMT2rm
nadh_m,Nicotinamide adenine dinucleotide - reduced (m),NAD(+),Arginine And Proline Metabolism,Arginine And Proline Metabolism,6.0,PRO1xm
gly_m,Glycine (m),Glycine,Glyoxylate And Dicarboxylate Metabolism,Glyoxylate And Dicarboxylate Metabolism,9.164340909365874,GHMT2rm
akg_m,2-Oxoglutarate (m),α-KG,Arginine Biosynthesis,AA other,-0.8007489670516705,GLUDxm
thf_m,"5,6,7,8-Tetrahydrofolate (m)",THF,"Glycine, Serine And Threonine Metabolism",AA other,9.21619641419063,GCC2bim;GHMT2rm
h_m,proton (m),H,Glycolysis/Gluconeogenesis,Central Energy Metabolism,2.181966862645131,GCC2cm
