Reaction ID,GPR rule (genes),Transcript effect (log2FC),Flux change log2(FG/SG),Adjusted p-value (FDR),Metabolic pathways,Subsystem,Concordant (transcript–flux),Significant reaction (transcript effect & flux ratio)
NADH2_u10m,NDUFS2 and NDUFA13 and NDUFB7 and NDUFS4 and NDUFC2 and NDUFB6 and NDUFB10 and NDUFAB1 and NDUFA8 and NDUFA5 and NDUFA12 and NDUFB2 and NDUFV3 and NDUFA9 and NDUFA7 and NDUFB9 and NDUFS6 and NDUFS3 and NDUFB1 and NDUFB8 and NDUFA10 and NDUFB3 and NDUFS1 and NDUFB5 and NDUFV2 and NDUFA6 and NDUFV1 and NDUFA2 and NDUFS8 and NDUFB4 and NDUFS7 and NDUFS5 and NDUFA4 and NDUFA1 and NDUFA11 and ND1 and ND3 and ND6 and ND5 and ND4 and ND4L and ND2,-0.707,0.0566,,Oxidative Phosphorylation,Oxidative Phosphorylation,False,False
PGM,BPGM or PGAM1,-0.1929,0.0566,0.417,"Biosynthesis Of Amino Acids; Glycine, Serine And Threonine Metabolism; Glycolysis/Gluconeogenesis; Methane Metabolism","Biosynthesis Of Amino Acids; AA central (A/D/E,G/S/T); Central Energy Metabolism; Methane Metabolism",False,False
GMPR,ARMC4,0.0,-0.0439,,Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism,Nucleotide metabolism; Nitrogen disposal,False,False
HUMANGEM_MAR20139,SLC25A36,0.4366,-0.0439,0.0947,"Transport, Mitochondrial",Mitochondrial transport,False,False
HUMANGEM_MAR20145,SLC25A36,0.4366,-0.0439,0.0947,"Transport, Mitochondrial",Mitochondrial transport,False,False
r0552,ALDH7A1,0.0239,-0.0291,0.9319,"Alanine, Aspartate And Glutamate Metabolism; Folate Metabolism; Glycine, Serine And Threonine Metabolism","AA central (A/D/E,G/S/T); Folate Metabolism",False,False
r0552m,ALDH7A1,0.0239,-0.0291,0.9319,"Alanine, Aspartate And Glutamate Metabolism; Glycine, Serine And Threonine Metabolism","AA central (A/D/E,G/S/T)",False,False
r0553,ALDH7A1,0.0239,-0.0291,0.9319,"Alanine, Aspartate And Glutamate Metabolism; Folate Metabolism; Glycine, Serine And Threonine Metabolism","AA central (A/D/E,G/S/T); Folate Metabolism",False,False
r0553m,ALDH7A1,0.0239,-0.0291,0.9319,"Alanine, Aspartate And Glutamate Metabolism; Glycine, Serine And Threonine Metabolism","AA central (A/D/E,G/S/T)",False,False
3DSPHR,KDSR,0.2778,0.0,0.4862,Sphingolipid Metabolism,Lipid metabolism,False,False
3HBCOAHLm,HIBCH,0.361,0.0,0.3394,"Valine, Leucine And Isoleucine Biosynthesis; Valine, Leucine And Isoleucine Degradation",BCAA metabolism (Val/Leu/Iso),False,False
3HKYNAKGAT,KYAT3,0.2155,0.0,0.5516,Tryptophan Metabolism,AAA metabolism (Trp/Phe/Tyr),False,False
AACOAT,AACS,-0.3436,0.0,0.3825,"Butanoate Metabolism; Valine, Leucine And Isoleucine Degradation",Butanoate Metabolism; BCAA metabolism (Val/Leu/Iso),False,False
ACACT10m,ACAT1 or ACAA2,0.1953,0.0,0.5745,"Valine, Leucine And Isoleucine Biosynthesis; Valine, Leucine And Isoleucine Degradation",BCAA metabolism (Val/Leu/Iso),False,False
ACACT1r,ACAT2,-0.3332,0.0,0.5869,"Butanoate Metabolism; Fatty Acid Degradation; Fatty Acid Metabolism; Glyoxylate And Dicarboxylate Metabolism; Lysine Degradation; Pyruvate Metabolism; Terpenoid Backbone Biosynthesis; Tryptophan Metabolism; Valine, Leucine And Isoleucine Degradation",Butanoate Metabolism; Lipid metabolism; Glyoxylate And Dicarboxylate Metabolism; AA other (Cys/Met/Lys/Arg/Pro); Central Energy Metabolism; Terpenoid Backbone Biosynthesis; AAA metabolism (Trp/Phe/Tyr); BCAA metabolism (Val/Leu/Iso),False,False
ACCOACm,369504 or ACACB,0.0,0.0,0.8887,Fatty Acid Biosynthesis; Fatty Acid Degradation; Fatty Acid Metabolism; Propanoate Metabolism; Pyruvate Metabolism,Lipid metabolism; Propanoate Metabolism; Central Energy Metabolism,False,False
ADK1,AK1 or AK7 or AK8 or AK5,0.8841,0.0,0.4984,Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism,Nucleotide metabolism; Nitrogen disposal,False,False
ADKd,AK5,0.8841,0.0,0.3986,Nucleotide Interconversion,Nucleotide metabolism,False,False
ADSL1,ADSL,-0.2552,0.0,0.5072,"Alanine, Aspartate And Glutamate Metabolism; Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism","AA central (A/D/E,G/S/T); Nucleotide metabolism; Nitrogen disposal",False,False
ADSL2,ADSL,-0.2552,0.0,0.5072,Purine Metabolism; Purine Synthesis,Nitrogen disposal; Nucleotide metabolism,False,False
ADSS,ADSS2 or ADSS1,0.5617,0.0,0.1332,"Alanine, Aspartate And Glutamate Metabolism; Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism","AA central (A/D/E,G/S/T); Nucleotide metabolism; Nitrogen disposal",False,False
AGPAT1,AGPAT2 or GPAT4 or AGPAT4 or AGPAT3 or AGPAT5 or AGPAT1 or MBOAT2,0.4419,0.0,0.3067,Triacylglycerol Synthesis,Lipid metabolism,False,False
AICART,ATIC,-0.0827,0.0,0.9343,Folate Metabolism; Purine Metabolism; Purine Synthesis,Folate Metabolism; Nitrogen disposal; Nucleotide metabolism,False,False
AIRCr,PAICS,0.1133,0.0,0.7817,Purine Metabolism; Purine Synthesis,Nitrogen disposal; Nucleotide metabolism,False,False
ASPCTr,CAD,0.0,0.0,,"Alanine, Aspartate And Glutamate Metabolism; Pyrimidine Metabolism; Pyrimidine Synthesis","AA central (A/D/E,G/S/T); Nucleotide metabolism",False,False
ASPTA,GOT1 or IL4I1,0.1389,0.0,0.7085,"2-oxocarboxylic Acid Metabolism; Alanine, Aspartate And Glutamate Metabolism; Arginine Biosynthesis; Biosynthesis Of Amino Acids","2-oxocarboxylic Acid Metabolism; AA central (A/D/E,G/S/T); AA other (Cys/Met/Lys/Arg/Pro); Biosynthesis Of Amino Acids",False,False
CDS,CDS1 or CDS2,3.9374,0.0,0.0026,Glycerophospholipid Metabolism,Lipid metabolism,False,False
CEPTC,CEPT1 or CHPT1,0.0442,0.0,0.278,Glycerophospholipid Metabolism,Lipid metabolism,False,False
CHLPCTD,PCYT1A or PCYT1B,-0.0512,0.0,0.8965,Glycerophospholipid Metabolism,Lipid metabolism,False,False
CHOLESTle,LIPA,-0.324,0.0,0.3543,Extracellular Transport,Extracellular Transport,False,False
CHOLK,CHKA,0.124,0.0,0.9128,Glycerophospholipid Metabolism,Lipid metabolism,False,False
CHOLtu,LOC421583 or SLC22A1 or SLC22A5,0.3279,0.0,0.7972,Extracellular Transport,Extracellular Transport,False,False
CLSm_hs,CRLS1,0.2146,0.0,0.8017,Glycerophospholipid Metabolism,Lipid metabolism,False,False
COAtim,SLC25A16,0.6851,0.0,0.3137,"Transport, Mitochondrial",Mitochondrial transport,False,False
CTPS2,CTPS1 or CTPS2,0.0779,0.0,0.9106,Nucleotide Metabolism; Pyrimidine Metabolism; Pyrimidine Synthesis,Nucleotide metabolism,False,False
CYTDK1,UCK2 or UCK1,0.5193,0.0,0.2832,Nucleotide Interconversion; Nucleotide Metabolism; Pyrimidine Metabolism,Nucleotide metabolism,False,False
CYTDe,CDA,-0.21,0.0,0.7264,Pyrimidine Catabolism,Nucleotide metabolism,False,False
CYTDt,SLC29A1 or SLC29A3,0.0092,0.0,0.9801,Extracellular Transport,Extracellular Transport,False,False
CYTK1,CMPK1,-0.3909,0.0,0.1232,Nucleotide Interconversion; Nucleotide Metabolism; Pyrimidine Metabolism,Nucleotide metabolism,False,False
CYTK12,CMPK1,-0.3909,0.0,0.1232,Nucleotide Interconversion,Nucleotide metabolism,False,False
CYTK1m,CMPK2,0.0,0.0,,Nucleotide Interconversion; Nucleotide Metabolism; Pyrimidine Metabolism,Nucleotide metabolism,False,False
DAGK_hs,DGKI or DGKZ or DGKD or DGKH or DGKE or DGKQ or DGKK or DGKE or DGKI,0.6348,0.0,0.1301,Glycerophospholipid Metabolism,Lipid metabolism,False,False
DCMPDA,DCTD,-0.3744,0.0,0.8209,Pyrimidine Catabolism,Nucleotide metabolism,False,False
DGAT,DGAT2,-0.1544,0.0,0.8364,Triacylglycerol Synthesis,Lipid metabolism,False,False
DGK1,GUK1,0.1523,0.0,0.8313,Nucleotide Interconversion,Nucleotide metabolism,False,False
DHORD9,DHODH,-0.4527,0.0,0.6019,"Transport, Mitochondrial",Mitochondrial transport,False,False
DHORTS,CAD,0.0,0.0,,Pyrimidine Synthesis,Nucleotide metabolism,False,False
DNDPt14m,SLC25A19,0.168,0.0,0.6711,"Transport, Mitochondrial",Mitochondrial transport,False,False
DURIK1,TK1,-0.193,0.0,0.8968,Nucleotide Interconversion,Nucleotide metabolism,False,False
DURIPP,PNP or UPP2,0.2162,0.0,0.8674,Nucleotide Interconversion,Nucleotide metabolism,False,False
DUTPDPm,DUT or ITPA,0.221,0.0,0.7706,Nucleotide Interconversion,Nucleotide metabolism,False,False
ECOAH12m,HADHA and EHHADH and ECHS1,-0.5208,0.0,0.8782,"Valine, Leucine And Isoleucine Biosynthesis; Valine, Leucine And Isoleucine Degradation",BCAA metabolism (Val/Leu/Iso),False,False
ECOAH9m,HADHA and EHHADH and ECHS1,-0.5208,0.0,0.8782,"Valine, Leucine And Isoleucine Biosynthesis; Valine, Leucine And Isoleucine Degradation",BCAA metabolism (Val/Leu/Iso),False,False
FAS100COA,FASN or (FASN and ELOVL6 and ELOVL5 and ELOVL2),0.8865,0.0,0.1686,Fatty Acid Biosynthesis,Lipid metabolism,False,False
FAS120COA,FASN or (FASN and ELOVL6 and ELOVL5 and ELOVL2),0.8865,0.0,0.1686,Fatty Acid Biosynthesis,Lipid metabolism,False,False
FAS140COA,FASN or (FASN and ELOVL6 and ELOVL5 and ELOVL2),0.8865,0.0,0.1686,Fatty Acid Biosynthesis,Lipid metabolism,False,False
FAS160COA,FASN or (FASN and ELOVL6 and ELOVL5 and ELOVL2),0.8865,0.0,0.1686,Fatty Acid Biosynthesis,Lipid metabolism,False,False
FAS80COA__L,FASN,0.8865,0.0,0.0935,Fatty Acid Biosynthesis,Lipid metabolism,False,False
FBA,ALDOC or ALDOB,0.6713,0.0,0.2717,Pentose Phosphate Pathway,Redox & Pentose Metabolism,False,False
FKYNH,AFMID,0.2553,0.0,0.6947,Tryptophan Metabolism,AAA metabolism (Trp/Phe/Tyr),False,False
FTHFL,MTHFD1,0.3834,0.0,0.4162,Folate Metabolism,Folate Metabolism,False,False
FUM,FH,0.4581,0.0,0.097,Citric Acid Cycle; Pyruvate Metabolism,Central Energy Metabolism,False,False
G6PDH2r,IDH1 or PGD,0.0198,0.0,0.3712,Pentose Phosphate Pathway,Redox & Pentose Metabolism,False,False
GALU,UGP2,-0.1824,0.0,0.7519,Pentose And Glucuronate Interconversions,Redox & Pentose Metabolism,False,False
GAPD,GAPDH,0.0433,0.0,0.9185,Glycolysis/Gluconeogenesis,Central Energy Metabolism,False,False
GARFT,GART or GART-B,0.0222,0.0,0.9734,Folate Metabolism; Purine Metabolism; Purine Synthesis,Folate Metabolism; Nitrogen disposal; Nucleotide metabolism,False,False
GK1,GUK1,0.1523,0.0,0.8313,Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism,Nucleotide metabolism; Nitrogen disposal,False,False
GLCt1,SLC2A11 or SLC2A9 or SLC2A9L or SLC2A12 or SLC2A1 or SLC2A6 or SLC2A8 or SLC2A2 or SLC2A10,1.6571,0.0,0.2215,Extracellular Transport,Extracellular Transport,False,False
GLUNm,GLS2,2.4952,0.0,0.0,"Alanine, Aspartate And Glutamate Metabolism; Arginine Biosynthesis","AA central (A/D/E,G/S/T); AA other (Cys/Met/Lys/Arg/Pro)",False,False
GLUPRT,PPAT,0.0,0.0,,"Alanine, Aspartate And Glutamate Metabolism; Purine Metabolism; Purine Synthesis","AA central (A/D/E,G/S/T); Nitrogen disposal; Nucleotide metabolism",False,False
GND,PGD,-0.4726,0.0,0.2295,Glutathione Metabolism; Pentose Phosphate Pathway,Redox & Pentose Metabolism,False,False
GPAM_hs,AGPAT5L,0.0,0.0,,Triacylglycerol Synthesis,Lipid metabolism,False,False
GUAPRT,HPRT1 or LOC769866 or APRT,0.0985,0.0,0.1284,Nucleotide Metabolism; Nucleotide Salvage Pathway; Purine Metabolism,Nucleotide metabolism; Nucleotide Salvage Pathway; Nitrogen disposal,False,False
HACD9m,HSD17B10 or EHHADH or HADH,0.5018,0.0,0.1618,"Valine, Leucine And Isoleucine Biosynthesis; Valine, Leucine And Isoleucine Degradation",BCAA metabolism (Val/Leu/Iso),False,False
