Reaction ID,GPR rule (genes),Transcript effect (log2FC),Flux change log2(FG/SG),Adjusted p-value (FDR),Metabolic pathways,Subsystem,Concordant (transcript–flux),Significant reaction (transcript effect & flux ratio)
OMPDC,UMPS,-0.5783,0.0,0.0847,Pyrimidine Metabolism; Pyrimidine Synthesis,Nucleotide metabolism,False,False
ORPT,UMPS,-0.5783,0.0,0.0847,Pyrimidine Metabolism; Pyrimidine Synthesis,Nucleotide metabolism,False,False
PCt,ABCB1LA or ABCA1,1.3733,0.0,0.4997,Extracellular Transport,Extracellular Transport,False,False
PFK,PFKP or (PFKP and PFKL) or (PFKP and PFKM) or PFKM or PFKL or (PFKL and PFKM),1.1113,0.0,0.026,Glycolysis/Gluconeogenesis,Central Energy Metabolism,False,False
PGI,GPI,0.1737,0.0,0.6627,Glycolysis/Gluconeogenesis,Central Energy Metabolism,False,False
PGK,PGK2,0.5523,0.0,0.0759,Biosynthesis Of Amino Acids; Glycolysis/Gluconeogenesis,Biosynthesis Of Amino Acids; Central Energy Metabolism,False,False
PGL,H6PD,-0.1763,0.0,0.7725,Pentose Phosphate Pathway,Redox & Pentose Metabolism,False,False
PGMT,PGM1 or PGM2,0.6959,0.0,0.1658,Glycolysis/Gluconeogenesis,Central Energy Metabolism,False,False
PGPPTm,PGS1,0.3589,0.0,0.532,Glycerophospholipid Metabolism,Lipid metabolism,False,False
PHETA1,GOT1,0.1389,0.0,0.7085,"2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Phenylalanine Metabolism; Phenylalanine, Tyrosine And Tryptophan Biosynthesis",2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; AAA metabolism (Trp/Phe/Tyr),False,False
PHETA1m,TAT or GOT2,0.7096,0.0,0.4178,"2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Phenylalanine Metabolism; Phenylalanine, Tyrosine And Tryptophan Biosynthesis",2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; AAA metabolism (Trp/Phe/Tyr),False,False
PHEtec,SLC16A10 or SLC43A2,0.6058,0.0,0.3722,Extracellular Transport,Extracellular Transport,False,False
PPAm,PPA2 or LHPP or PPA1,0.3294,0.0,0.361,Oxidative Phosphorylation,Oxidative Phosphorylation,False,False
PPCOACm,PCCB and PCCA,0.2503,0.0,0.4245,"Glyoxylate And Dicarboxylate Metabolism; Propanoate Metabolism; Valine, Leucine And Isoleucine Biosynthesis; Valine, Leucine And Isoleucine Degradation",Glyoxylate And Dicarboxylate Metabolism; Propanoate Metabolism; BCAA metabolism (Val/Leu/Iso),False,False
PPM,PGM1 or PGM2,0.6959,0.0,0.1658,Pentose Phosphate Pathway; Purine Metabolism,Redox & Pentose Metabolism; Nitrogen disposal,False,False
PRAGSr,GART or GART-B,0.0222,0.0,0.9734,Purine Metabolism; Purine Synthesis,Nitrogen disposal; Nucleotide metabolism,False,False
PRASCS,PAICS,0.1133,0.0,0.7817,Purine Metabolism; Purine Synthesis,Nitrogen disposal; Nucleotide metabolism,False,False
PRFGS,PFAS,0.0,0.0,,Purine Metabolism; Purine Synthesis,Nitrogen disposal; Nucleotide metabolism,False,False
PROt4,SLC38A1 or SLC6A14 or SLC38A2 or SLC22A5 or (SLC6A19 and TMEM27) or (SLC6A19 and ACE2),1.3991,0.0,0.6849,Extracellular Transport,Extracellular Transport,False,False
PRPPS,PRPS1L1 or PRPS2,0.5644,0.0,0.508,Biosynthesis Of Amino Acids; Pentose Phosphate Pathway; Purine Metabolism,Biosynthesis Of Amino Acids; Redox & Pentose Metabolism; Nitrogen disposal,False,False
PSDm_hs,PISD,-0.1478,0.0,0.7986,Glycerophospholipid Metabolism,Lipid metabolism,False,False
PSFLIP,ATP8A1 or ATP10A,1.0179,0.0,0.1386,Extracellular Transport,Extracellular Transport,False,False
PSSA1_hs,PTDSS1,0.4997,0.0,0.1167,Glycerophospholipid Metabolism,Lipid metabolism,False,False
PUNP1,PNP,0.0,0.0,,Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism,Nucleotide metabolism; Nitrogen disposal,False,False
PUNP2,PNP,0.0,0.0,,Nucleotide Metabolism; Purine Catabolism; Purine Metabolism,Nucleotide metabolism; Purine Catabolism; Nitrogen disposal,False,False
PUNP3,PNP,0.0,0.0,,Nucleotide Metabolism; Purine Catabolism; Purine Metabolism,Nucleotide metabolism; Purine Catabolism; Nitrogen disposal,False,False
PUNP4,PNP,0.0,0.0,,Nucleotide Metabolism; Purine Catabolism; Purine Metabolism,Nucleotide metabolism; Purine Catabolism; Nitrogen disposal,False,False
PYNP2r,UPP2,0.2162,0.0,0.8674,Nucleotide Metabolism; Pyrimidine Catabolism; Pyrimidine Metabolism,Nucleotide metabolism,False,False
RE0452M,DTYMK,0.4761,0.0,0.7938,Pyrimidine Synthesis,Nucleotide metabolism,False,False
RNDR2,(RRM1 and RRM2) or RRM2B,-0.0511,0.0,0.9282,Nucleotide Interconversion,Nucleotide metabolism,False,False
RNDR3,(RRM1 and RRM2) or RRM2B,-0.0511,0.0,0.9282,Nucleotide Interconversion,Nucleotide metabolism,False,False
RPI,RPIA,-0.3266,0.0,0.62,Biosynthesis Of Amino Acids; Pentose Phosphate Pathway,Biosynthesis Of Amino Acids; Redox & Pentose Metabolism,False,False
SERPT,SGMS1,-0.7193,0.0,0.1186,Sphingolipid Metabolism,Lipid metabolism,False,False
SERt4,SLC38A1 or SLC6A14 or SLC38A2 or SLC22A5 or (SLC6A19 and TMEM27) or (SLC6A19 and ACE2),1.3991,0.0,0.6849,Extracellular Transport,Extracellular Transport,False,False
THRt4,SLC38A1 or SLC6A14 or SLC38A2 or SLC22A5 or (SLC6A19 and TMEM27) or (SLC6A19 and ACE2),1.3991,0.0,0.6849,Extracellular Transport,Extracellular Transport,False,False
TMDSm,TYMS,-0.1594,0.0,0.8897,Nucleotide Interconversion,Nucleotide metabolism,False,False
TPI,TPI1,0.0,0.0,,Glycolysis/Gluconeogenesis,Central Energy Metabolism,False,False
TRDR,TXNRD1,0.3361,0.0,0.7345,Nucleotide Interconversion,Nucleotide metabolism,False,False
TRPO2,TDO2 or IDO2,2.6418,0.0,0.0464,Tryptophan Metabolism,AAA metabolism (Trp/Phe/Tyr),False,False
TRPt,SLC36A4 or SLC16A10,0.6058,0.0,0.2293,Extracellular Transport,Extracellular Transport,False,False
TYRPHELAT2tc,SLC7A5,0.0135,0.0,0.9888,Extracellular Transport,Extracellular Transport,False,False
UMPK2m,CMPK2,0.0,0.0,,Nucleotide Interconversion,Nucleotide metabolism,False,False
URIDK2,DTYMK,0.4761,0.0,0.7938,Nucleotide Interconversion; Nucleotide Metabolism; Pyrimidine Metabolism,Nucleotide metabolism,False,False
URIt,SLC29A1 or SLC29A3,0.0092,0.0,0.9801,Extracellular Transport,Extracellular Transport,False,False
VALTA,BCAT1,0.0468,0.0,0.9379,"2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Pantothenate And Coa Biosynthesis; Valine, Leucine And Isoleucine Biosynthesis; Valine, Leucine And Isoleucine Degradation",2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Pantothenate And Coa Biosynthesis; BCAA metabolism (Val/Leu/Iso),False,False
VALtec,SLC43A2,0.0198,0.0,0.9875,Extracellular Transport,Extracellular Transport,False,False
r0034,CPS1,0.0,0.0,,"Alanine, Aspartate And Glutamate Metabolism; Arginine Biosynthesis; Biosynthesis Of Amino Acids; Nitrogen Metabolism; Urea Cycle","AA central (A/D/E,G/S/T); AA other (Cys/Met/Lys/Arg/Pro); Biosynthesis Of Amino Acids; Nitrogen disposal",False,False
r0226,DHFR,0.4212,0.0,0.4284,Folate Metabolism,Folate Metabolism,False,False
r0385,BCKDHA and BCKDHB,-0.1167,0.0,0.7992,"Valine, Leucine And Isoleucine Biosynthesis",BCAA metabolism (Val/Leu/Iso),False,False
r0475,RRM1 and RRM2 and RRM2B,-0.2694,0.0,0.9347,Nucleotide Interconversion,Nucleotide metabolism,False,False
r0531,UCK2 or UCK1 or UCKL1 or LOC776992,0.5193,0.0,0.3964,Nucleotide Interconversion,Nucleotide metabolism,False,False
r0560,ACADS,0.0354,0.0,0.9388,"Valine, Leucine And Isoleucine Biosynthesis",BCAA metabolism (Val/Leu/Iso),False,False
r0561,DBT,0.0966,0.0,0.8209,"Valine, Leucine And Isoleucine Biosynthesis",BCAA metabolism (Val/Leu/Iso),False,False
r0603,ACADS and LOC423987,0.0,0.0,,"Valine, Leucine And Isoleucine Biosynthesis",BCAA metabolism (Val/Leu/Iso),False,False
r0604,DBT,0.0966,0.0,0.8209,"Valine, Leucine And Isoleucine Biosynthesis",BCAA metabolism (Val/Leu/Iso),False,False
r0666,GART or GART-B,0.0222,0.0,0.9734,Purine Synthesis,Nucleotide metabolism,False,False
r0670,BCKDHA and BCKDHB,-0.1167,0.0,0.7992,"Valine, Leucine And Isoleucine Biosynthesis",BCAA metabolism (Val/Leu/Iso),False,False
