"Genes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KLF15",104.915312258276,1.35733052296104,0.358783335784882,3.78314817769257,0.000154857159940274,0.00298663480297956
"CAMK2D",37.405821570448,-1.66106889235661,0.387790623731209,-4.28341685101688,1.84044896686696e-05,0.000589134884874504
"CRELD1",209.824818716586,1.2817817291972,0.298558090452472,4.29324064624955,1.76083975311457e-05,0.000578066712740827
"INTS13",40.9080271924384,1.65614103530708,0.27582732907785,6.00426738294542,1.92197744813922e-09,5.00873031844223e-07
"IRS2",2.01482679258218,2.38068277775183,0.799714648611968,2.97691530583301,0.00291164432054069,0.0252532823723208
"SEMA3G",10.6945622389033,-1.31828767148277,0.301150591569151,-4.37750317744292,1.20046611587084e-05,0.000433857607389803
"GATAD2B",31.5322671318368,2.17587926998129,0.378889637038396,5.74277852249833,9.31355094536088e-09,1.57236292908923e-06
"TBL2",2.78669331700167,2.32919897930906,0.575038188792804,4.05051181765654,5.11057284230143e-05,0.00131122499894267
"FAM208B",20.2483870792475,1.73086976415282,0.527880224709176,3.27890624261669,0.00104210252130364,0.0118805471531416
"LONP1",2.56943352090976,2.24663451616966,0.752379752678059,2.98603797905629,0.00282617541123832,0.0248075397208697
"ANKHD1",7.41222097864719,1.93337712185826,0.507419879712859,3.8102116199159,0.000138847889402826,0.00276439642811055
"YBX3",199.326369736933,1.40487900820235,0.288570334127228,4.86841106675556,1.12499129839511e-06,6.76311842020553e-05
"LOC124417094",3.58234449511209,2.64176155540116,0.776800676679875,3.40082293271463,0.000671833299243673,0.00869562011981446
"CCDC12",386.410144109782,1.40070746775697,0.249915512971114,5.60472397693402,2.08587102117282e-08,2.85625271832599e-06
"LOC101751234",1.29144397820411,-2.69538444074031,1.01201701046383,-2.66337859232718,0.00773603221189869,0.0498744360332078
"FAM46A",252.113933991491,2.22205391948183,0.405637198213634,5.47793429514707,4.30319852265526e-08,5.09929024934648e-06
"EML6",11.0962668201189,-1.0395786645194,0.271713768376435,-3.82600657571079,0.000130238812005485,0.00263557162422923
"PTPRZ1",6.23702787051785,1.81817609693692,0.569009260053184,3.19533656933278,0.0013966785969101,0.0147116812207864
"FSTL3",2.53242389689873,-1.67288205133366,0.619375353363958,-2.70091801723766,0.00691483810581469,0.0461941225058708
"SEPTIN8",20.7704068594736,-1.13728813929494,0.272287819719668,-4.17678668280433,2.95656051275604e-05,0.000865782878704426
"ADAMTS20",4.35125208265405,3.36758048460307,0.774109576629472,4.35026330415102,1.35974158941338e-05,0.000480156313694284
"CNOT8",315.650484732794,1.42979835640327,0.240982802570067,5.93319664787095,2.97092656291893e-09,7.17915665910057e-07
"ADGRA2",5.9009534044815,2.89167196396005,0.594894823784892,4.86081211055494,1.1690517097223e-06,6.99388022845514e-05
"PPCS",211.439447529463,1.22208019526979,0.263162552196053,4.64382255405153,3.42021343905896e-06,0.000156113742307269
"GPR183",10.6502351617783,-1.24405056184241,0.36583730040137,-3.40055691554012,0.000672487346005373,0.00869562011981446
"ANKRD2",20.9363205649079,-1.2472412422999,0.432236335608488,-2.88555389621299,0.00390725554574183,0.0309466692453228
"NDUFAB1",349.217747119928,2.81305959472678,0.541458058481615,5.19534163479866,2.04344226424338e-07,1.88721761022172e-05
"CCDC28A",156.755727969244,1.19861723829445,0.239428450214621,5.00616045094065,5.55264770920556e-07,3.91033316389996e-05
"UGT8",686.66826175261,1.24329724917308,0.332031603191128,3.74451479083272,0.000180742729756391,0.00334341921117785
"PAQR7",58.3535297505032,-1.05669566124145,0.302755706150349,-3.49025844856146,0.000482553626339495,0.00689106708112159
"NR1D2",7.08513530687002,1.57881256666303,0.541343839181182,2.91646907638421,0.00354017814613151,0.0287791263014016
"GNA12",13.2215401123546,-1.27501431771974,0.318645219954869,-4.00136025232178,6.2979386730399e-05,0.00150823717329873
"ADAMTS3",6.45928821729974,3.34363189418926,0.748889156268699,4.46478876907329,8.01477843675505e-06,0.000316583748251825
"J6367_mgt09",4.70775228643644,1.9373491883359,0.555628172933696,3.48677277846941,0.000488886532834766,0.00695731828020284
"PTEN",11.3186289338328,1.17810645457045,0.428821545676321,2.74731171147753,0.00600859982158677,0.0420260977305535
"LOC121109571",39.8620020352234,1.23043214089676,0.281495783875657,4.37104998148132,1.23650481320489e-05,0.000444638559379928
"LOC107051537",3.60224134859598,1.54146497520274,0.53148773574003,2.9002832455888,0.00372825592825826,0.0298939662068021
"ETV3",43.2150405104531,2.06611843866177,0.319184990468227,6.47310650676553,9.60082266051353e-11,4.38224216548773e-08
"NDUFAF5",5.59213741496925,2.99381527977072,0.53528250743983,5.59296303944184,2.23226824334341e-08,3.02312899241364e-06
"STK32C",0.959185979467775,2.66382304834415,0.914434618099011,2.91308202425876,0.00357880583002109,0.029035683376682
"CHRNB2",2.75949268040466,2.22169209095406,0.602545600494899,3.68717668692508,0.000226755918766203,0.00391449817344275
"TTC1",110.778977093339,1.10227464675001,0.266974641680187,4.12876159253525,3.64722330899418e-05,0.00100972523029856
"MED13L",242.935736147702,1.07245896578905,0.323773259400817,3.31237659272346,0.000925069286123435,0.0108991910919553
"OSR2",1.0521752121333,3.08286454754896,1.09156565254483,2.82425939325014,0.00473900145386605,0.035479327768723
"GNA11",9.91827819153615,1.14458288168501,0.349356487972841,3.27626055644911,0.00105191466478781,0.0119592217055765
"LOC121111955",5.38258858774298,1.24156203054252,0.41702198937535,2.97720998454359,0.00290884705226463,0.0252532823723208
"MAST4",30.9774753093273,-1.01095082249113,0.22411472791694,-4.51086294902407,6.45644270635886e-06,0.000264349501372647
