"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC429785",1.07368977494235,-0.935485031257358,0.843549332962458,-1.1089867476654,0.267435899013021,0.503264623520609
"COPS3",45.4295525892755,-0.495484500844077,0.228922886459708,-2.16441662302422,0.0304323891947321,0.125392432108284
"CCDC137",22.450830256295,0.390138901556252,0.344765590280394,1.13160626395156,0.257800005438107,0.493419361239204
"TMEM59",1035.37295235317,0.497905656353396,0.131841798618823,3.7765387120736,0.000159022853089013,0.00303374247905417
"NEK6",244.901951385261,0.349141897910059,0.18061050859386,1.93312061755596,0.0532213407821821,0.18260016809566
"TLR21",12.3338523600973,0.20940678579279,0.481500097166587,0.434904970995967,0.663631406221093,0.818186619674744
"MEF2C",23.0463377535344,-0.450667730723919,0.429617185608895,-1.04899837767241,0.294178865089356,0.532518733294085
"GDAP1",17.5342486809771,0.234780990399969,0.391862091138887,0.599141881057221,0.549078275368671,0.746217957676431
"RUSC1",2.79150582194299,-0.811576919139902,0.541086422581441,-1.49990257613191,0.133639640592035,0.332679871034764
"RASGRF1",1.52378596692574,-0.121850750904972,0.725033568051443,-0.168062219839628,0.866534330744804,0.936121544820015
"LOC101748353",51.7757392191526,-0.357021712768163,0.233456584903426,-1.52928525411203,0.126193743573212,0.322009554334341
"NOP2",81.2400687483344,-0.282002653265969,0.164614775973677,-1.71310656408549,0.0866929366551976,0.25275697926157
"FUBP1",125.168990905344,-0.585280550318385,0.246499791792451,-2.37436529281608,0.0175791493377385,0.0867275566206124
"MED23",30.9917192850033,-0.292155286615334,0.227692251368344,-1.28311475186174,0.199451876253548,0.422271933164186
"PTRF",88.218935120732,0.038887214232567,0.171948133391823,0.226156652389785,0.821079583555969,0.914338554960131
"POLR2I",182.97091377733,0.329608875452843,0.175356169145957,1.87965371881782,0.0601552869557881,0.198647844706091
"PTPN2",339.082918808401,0.438920534754863,0.233918124338769,1.87638532069966,0.0606023887899352,0.199803060312242
"RAB8A",172.73083485779,-0.215387652787138,0.153749544434843,-1.40089945358125,0.161244142207148,0.371573075647136
"KLF15",104.915312258276,1.35733052296104,0.358783335784882,3.78314817769257,0.000154857159940274,0.00298663480297956
"TMEM39B",20.9387100685507,-0.522392633484207,0.265460839893466,-1.96787079289681,0.049082906143047,0.172869921567952
"NMRK1",62.2177586057023,0.844433718809507,0.261080126870387,3.23438527831238,0.00121904884314531,0.0132951840202857
"COPS5",106.541101559435,0.661104633984633,0.252211833995698,2.62122765419449,0.00876137341130515,0.0539606026591327
"GGA1",47.8447806345022,-0.951416421705712,0.244770921751049,-3.88696669890133,0.000101504672821879,0.0021831476227868
"CAMK2D",37.405821570448,-1.66106889235661,0.387790623731209,-4.28341685101688,1.84044896686696e-05,0.000589134884874504
"CRELD1",209.824818716586,1.2817817291972,0.298558090452472,4.29324064624955,1.76083975311457e-05,0.000578066712740827
"SLC25A29",169.514555804308,-0.345041400135243,0.260420332025877,-1.32494032801155,0.185190943720698,0.403517183595099
"PCNA",328.064330942024,-0.591565306653614,0.229306093741996,-2.57980630606012,0.00988557452623975,0.0588398721430767
"SPEG",38.928120202772,0.958345035242718,0.482065002615102,1.98799960595334,0.0468117335532366,0.167001990747118
"SAP130",30.3501228860318,-0.627024671177833,0.223802765511852,-2.80168419609912,0.00508366109581923,0.0372123950246149
"DENND2A",19.3626134047664,0.388612089503737,0.27461768416325,1.41510220176761,0.157038532748703,0.365780169645627
"ARHGEF37",8.23830646864007,0.416136020868602,0.380879338731987,1.09256653893065,0.274584160887007,0.510249577619341
"CRABP1",0.812328993322672,1.2888610922056,0.921857903696821,1.39811253669034,0.16207927575461,0.372730918902745
"LOC124417303",2.03196722483245,0.347737186532285,0.922471686055626,0.376962449676006,0.706201510676496,0.8447274985516
"INTS13",40.9080271924384,1.65614103530708,0.27582732907785,6.00426738294542,1.92197744813922e-09,5.00873031844223e-07
"SGK2",64.3859162942662,0.189737839102754,0.184921215179531,1.02604689742357,0.304869478944029,0.543342221042113
"KCTD12B",64.6414680861698,-0.0687056779428943,0.183978489639021,-0.3734440807602,0.708817956824927,0.846788726241799
"REEP6",61.6463680857796,-0.265495347784816,0.3124535522897,-0.849711407789197,0.395485554469769,0.630119029803985
"TNFRSF9",8.45734401634978,-0.977404593645151,0.53728645209868,-1.81914989634921,0.0688885644267606,0.217353473629134
"KMT5A",11.3772927585381,0.121204738386438,0.264049811786374,0.459022248743344,0.646218189103805,0.806561977163793
"LIPT1",28.3116869537795,0.012419760656984,0.179249893700339,0.0692874087710576,0.944760847996089,0.975308484729753
"PRPH2L",2.07775388284157,-0.322645465686318,0.644294304587115,-0.500773425109011,0.616530590465562,0.790483041708031
"YIPF3",524.325504770935,0.464179401700211,0.189704290709553,2.44685768552749,0.0144107728078966,0.0759616612850804
"SERPIND1",1517.62028972033,0.454245442084446,0.263584593286689,1.72333836519187,0.0848273537200667,0.249047766062407
"BHLHE40",201.990380303563,0.137240858838505,0.273829822155716,0.501190329665633,0.616237179412951,0.790189054113537
"DNAJA1",400.804500539381,-0.110266705280413,0.206218366282201,-0.534708461076245,0.592851469806599,0.773114169436358
"GPATCH11",107.803126385316,0.304565945099846,0.200839208043109,1.51646657078269,0.129401417042337,0.326390311835809
"PEX11G",48.3990079466101,-0.395826937207308,0.223843561650522,-1.76831950978915,0.0770075041206945,0.233064951076483
"CLCN5",16.1219875433151,-0.603745545320502,0.484694838733898,-1.24561991808616,0.212903966292663,0.438874156399471
"UBR1",24.3053728916849,0.0560825836802697,0.191583465973581,0.292731856558037,0.769727117974137,0.88440397183603
