Subsystems,Increased,Decreased,On,Off,Unchanged,Increased_reactions,Decreased_reactions,Reversed_reactions,On_reactions,Off_reactions,Unchanged_reactions,n_reactions,flux_fast,flux_slow,total_flux_shift,mean_flux_shift
Nitrogen disposal,0,1,4,1,32,,r1418m (0.52),,ARGNm (1000.00); ORNTArm (1000.00); r0034 (1000.00); r0074 (1000.00),PUNP3 (2000.00),ADK1 (1.11); ADSL1 (1.11); ADSL2 (1.11); ADSS (1.11); AICART (1.11); AIRCr (1.11); ATPM (1.00); GARFT (1.11); GK1 (1.11); GLUDxm (1.00); GLUPRT (1.11); GUAPRT (1.08); IMPC (1.11); NDPK1 (1.11); NDPK10 (1.11); NDPK10n (1.11); NDPK1m (0.97); NDPK5 (1.11); NDPK8 (1.11); NDPK8m (1.11); NTD7 (1.11); NTD8 (1.11); PPM (1.08); PRAGSr (1.11); PRASCS (1.11); PRFGS (1.11); PRPPS (1.09); PUNP1 (1.11); PUNP2 (1.11); PUNP4 (1.11); r0276 (1.11); r1418c (1.06),38,21.769650651691695,22.496014106879212,-0.7263634551875171,-0.019114827768092556
Nucleotide Salvage Pathway,0,0,0,0,1,,,,,,GUAPRT (1.08),1,0.0064221103112625,0.0059221711294043,0.0004999391818582,0.0004999391818582
Nucleotide metabolism,0,0,0,3,61,,,,,CBPS (2000.00); NTD9m (2000.00); PUNP3 (2000.00),ADK1 (1.11); ADKd (1.11); ADSL1 (1.11); ADSL2 (1.11); ADSS (1.11); AICART (1.11); AIRCr (1.11); ASPCTr (1.11); ATPM (1.00); CTPS2 (1.11); CYTDK1 (1.11); CYTDe (1.11); CYTK1 (1.11); CYTK12 (1.11); CYTK1m (1.11); DADNK (1.11); DCMPDA (1.11); DGK1 (1.11); DHORTS (1.11); DURIK1 (1.11); DURIPP (1.11); DUTPDPm (1.11); GARFT (1.11); GK1 (1.11); GLUPRT (1.11); GUAPRT (1.08); IMPC (1.11); NDPK1 (1.11); NDPK10 (1.11); NDPK10n (1.11); NDPK1m (0.97); NDPK3m (1.11); NDPK4n (1.11); NDPK5 (1.11); NDPK6m (1.11); NDPK8 (1.11); NDPK8m (1.11); NTD2 (1.11); NTD7 (1.11); NTD8 (1.11); OMPDC (1.11); ORPT (1.11); PRAGSr (1.11); PRASCS (1.11); PRFGS (1.11); PUNP1 (1.11); PUNP2 (1.11); PUNP4 (1.11); PYNP2r (1.11); RE0452M (1.11); RNDR2 (1.11); RNDR3 (1.11); R_group_phosphotase_1 (1.11); TMDSm (1.11); TRDR (1.11); UMPK2m (1.11); URIDK2 (1.11); r0276 (1.11); r0475 (1.11); r0531 (1.11); r0666 (1.11),64,20.271369675380527,20.296377017560786,-0.025007342180259684,-0.00039073972156655756
Oxidative Phosphorylation,0,0,0,0,5,,,,,,ATPS4m (0.93); CYOOm3 (0.96); CYOR_u10m (0.96); NADH2_u10m (0.96); PPAm (1.11),5,22.735542395015546,23.892446683491862,-1.1569042884763157,-0.23138085769526312
Pantothenate And Coa Biosynthesis,0,0,0,0,1,,,,,,VALTA (0.98),1,0.0408642432955002,0.0417453443210777,-0.0008811010255775006,-0.0008811010255775006
Propanoate Metabolism,0,0,0,3,5,,,,,2HBO (2000.00); APAT2rm (2000.00); MMSAD3m (2000.00),ACCOAC (1.11); MMEm (0.98); MMMm (0.98); PPCOACm (0.98); SUCOAS1m (0.97),8,1.8180906165125934,3.4807032593557805,-1.662612642843187,-0.2078265803553984
Pseudoreactions,1,3,1,1,31,EX_arg__L_e (10.54),EX_glu__L_e (0.60); EX_nh4_e (0.66); EX_pro__L_e (0.12),,EX_urea_e (1000.00),EX_2hb_e (2000.00),EX_C02470_e (1.11); EX_acac_e (0.90); EX_ala__L_e (1.01); EX_asn__L_e (1.11); EX_asp__L_e (1.00); EX_cgly_e (1.00); EX_chol_e (1.11); EX_chsterol_e (1.11); EX_co2_e (0.97); EX_cys__L_e (1.11); EX_glc__D_e (0.99); EX_gln__L_e (1.00); EX_gthrd_e (1.00); EX_h2o2_e (0.99); EX_h2o_e (0.95); EX_h_e (0.99); EX_his__L_e (1.11); EX_ile__L_e (1.00); EX_inost_e (1.11); EX_leu__L_e (1.11); EX_lys__L_e (1.00); EX_met__L_e (1.11); EX_o2_e (0.98); EX_phe__L_e (1.11); EX_pi_e (1.11); EX_pyr_e (0.99); EX_ser__L_e (1.11); EX_thr__L_e (0.81); EX_trp__L_e (1.11); EX_tyr__L_e (1.11); EX_val__L_e (1.00),37,52.57066055173458,53.27588016892482,-0.7052196171902381,-0.01905998965379022
Purine Catabolism,0,0,0,1,3,,,,,PUNP3 (2000.00),PUNP2 (1.11); PUNP4 (1.11); r0276 (1.11),4,0.007288530057153701,0.006705028741212599,0.0005835013159411016,0.0001458753289852754
Redox & Pentose Metabolism,0,0,3,0,9,,,,FBA (1000.00); G6PDH1rer (1000.00); PGLer (1000.00),,G6PDH2r (1.04); GALU (1.11); GND (1.11); ICDHym (0.97); PGL (1.04); PPM (1.08); PRPPS (1.09); RPI (1.11); r0130 (1.00),12,5.84854921998372,0.9284895962514542,4.920059623732266,0.4100049686443555
Starch And Sucrose Metabolism,1,0,0,0,2,HEX1 (868.37),,,,,GLBRAN (1.11); GLGNS1 (1.11),3,4.948753416559033,0.0061158155876251,4.942637600971407,1.647545866990469
Taurine And Hypotaurine Metabolism,0,0,0,0,1,,,,,,GLUDxm (1.00),1,0.4800831685609557,0.4820040538435246,-0.0019208852825689515,-0.0019208852825689515
Terpenoid Backbone Biosynthesis,0,0,0,0,2,,,,,,ACACT1r (1.11); HMGCOASim (0.98),2,0.0624818327615695,0.061278018347693,0.0012038144138765,0.00060190720693825
"Transport, Endoplasmic Reticulum",0,0,13,0,1,,,,CO2ter (1000.00); DAG_HSter (1000.00); G6Pter (1000.00); H2Oter (1000.00); HUMANGEM_MAR00466 (1000.00); HUMANGEM_MAR00730 (1000.00); HUMANGEM_MAR00771 (1000.00); HUMANGEM_MAR03953 (1000.00); HUMANGEM_MAR08526 (1000.00); HUMANGEM_MAR08737 (1000.00); PIter (1000.00); PPItr (1000.00); r0998 (1000.00),,PE_HSter (1.11),14,0.0053131034693045,0.0004062698432792,0.0049068336260253,0.0003504881161446643
"Transport, Endosomal",1,0,0,0,2,LYSt5r (1.83),,,,,LEUt4 (1.11); LPCHOLt (1.11),3,0.11552941411025039,0.068774728881861,0.046754685228389395,0.015584895076129798
"Transport, Nuclear",0,0,0,0,4,,,,,,DIDPtn (1.11); DITPtn (1.11); DTDPtn (1.11); DTTPtn (1.11),4,0.0012589781150073999,0.0011375555604994,0.00012142255450799978,3.0355638626999946e-05
"Transport, Peroxisomal",0,0,0,0,4,,,,,,H2O2tp (0.99); HUMANGEM_MAR07705 (0.99); HUMANGEM_MAR07707 (0.99); O2tp (0.99),4,38.99690337938986,39.345318420168276,-0.3484150407784128,-0.0871037601946032
Unknown,0,0,0,0,1,,,,,,LCAT1e (1.11),1,0.0023699093947123,0.0021413427137655,0.00022856668094680017,0.00022856668094680017
Vitamin C Metabolism,0,0,0,0,1,,,,,,ASCBOX (0.96),1,0.0308754843777095,0.0320711559558429,-0.001195671578133401,-0.001195671578133401
