Pathways,n_highlighted,color_hex,tissue
"AA central (Ala/Asp/Glu, Gly/Ser/Thr)",2,#292493,liver
Energy metabolism,2,#a13aea,liver
Extracellular Transport,2,#3aea6d,liver
AA other,1,#bcab2f,liver
Nitrogen disposal,1,#934924,liver
