Pathway Groups,Increased,Decreased,Reversed,On,Off,Unchanged,Increased_reactions,Decreased_reactions,Reversed_reactions,On_reactions,Off_reactions,Unchanged_reactions,n_reactions,flux_fast,flux_slow,total_flux_shift,mean_flux_shift
2-oxocarboxylic Acid Metabolism,20,10,6,13,7,109,VALTA (263.43); ENO (1.59); PGK (1.59); PGM (1.59); PYK (1.59); VALTA (263.43); VALTA (263.43); r0552 (1.60); r0553 (1.60); VALTA (263.43); VALTA (263.43); ENO (1.59); GAPD (1.59); HEX1 (415.69); PGK (1.59); PGM (1.59); PYK (1.59); TPI (1.59); GLYCLTDy (2.06); GLYCTO1p (2.06),PHETA1 (0.17); PHETA1m (0.17); PHETA1 (0.17); PHETA1m (0.17); PHETA1 (0.17); PHETA1m (0.17); PHETA1 (0.17); PHETA1m (0.17); r0552m (0.61); r0553m (0.61),ALATA__L (3000.00); GLUDxm (3000.00); ALATA__L (3000.00); ALATA__L (3000.00); ALATA__L (3000.00); GLUDxm (3000.00),r0034 (1000.00); VALTAm (1000.00); CYSTGL (1000.00); CYSTS (1000.00); METAT (1000.00); VALTAm (1000.00); r0034 (1000.00); VALTAm (1000.00); r0034 (1000.00); VALTAm (1000.00); VALTAm (1000.00); PFK (1000.00); PGI (1000.00),CBPS (2000.00); PRO1xm (2000.00); THRD__L (2000.00); CBPS (2000.00); P5CDm (2000.00); THRD__L (2000.00); THRD__L (2000.00),ASPTA (1.00); GLUNm (1.01); 2OXOADOXm (1.00); ACONTm (0.95); AKGDm (0.95); ASPTA (1.00); CSm (0.95); ICDHym (0.95); ILETA (1.00); PDHm (0.95); r0450 (1.00); 2OXOADOXm (1.00); SACCD3m (1.00); r0450 (1.00); r0525 (1.00); r0594m (1.00); 2OXOADOXm (1.00); 3HKYNAKGAT (1.00); ACACT1r (1.00); ECOAH1m (1.00); FKYNH (1.00); HACD1m (1.00); KYN3OX (1.00); TRPO2 (1.00); r0541 (1.00); r0647 (1.00); ACONTm (0.95); ASPTA (1.00); CSm (0.95); GHMT2rm (1.00); ICDHym (0.95); ILETA (1.00); PCm (0.95); PGCD (1.00); PRPPS (0.99); PSERT (1.00); RPI (1.00); r0450 (1.00); ACONTm (0.95); AKGDm (0.95); CSm (0.95); FUM (1.00); FUMm (0.95); ICDHym (0.95); MDH (1.00); PCm (0.95); SUCOAS1m (0.95); r0509 (0.95); r0450 (1.00); ADSL1 (1.00); ADSS (1.00); ASPCTr (1.00); ASPTA (1.00); GHMT2rm (1.00); GLUNm (1.01); GLUPRT (1.00); PGCD (1.00); PSERT (1.00); PSP__Lm (1.00); 3HBCOAHLm (1.00); ACACT10m (1.00); ECOAH12m (1.00); ECOAH9m (1.00); HACD9m (1.00); HIBDm (1.00); ILETA (1.00); MMEm (1.00); MMMm (1.00); MMSAD1m (1.00); PPCOACm (1.00); r0385 (1.00); r0560 (1.00); r0561 (1.00); r0603 (1.00); r0604 (1.00); r0670 (1.00); 3HBCOAHLm (1.00); AACOAT (1.00); ACACT10m (1.00); ACACT1r (1.00); ECOAH12m (1.00); ECOAH9m (1.00); HACD9m (1.00); HMGCOASim (1.00); HMGLm (1.00); ILETA (1.00); MMEm (1.00); MMMm (1.00); MMSAD1m (1.00); PPCOACm (1.00); GCC2cm (1.00); PDHm (0.95); PGMT (1.00); ACACT1r (1.00); CSm (0.95); GHMT2rm (1.00); MDH (1.00); MMEm (1.00); MMMm (1.00); PPCOACm (1.00); ACACT1r (1.00); ECOAH1m (1.00); HACD1m (1.00); SACCD3m (1.00); r0450 (1.00); r0525 (1.00); GND (1.00); ICDHym (0.95); r0130 (1.00),165,284.94749155649345,219.57102244173012,65.37646911476332,0.3962210249379595
"AA central (A/D/E,G/S/T)",25,10,8,37,20,197,VALTA (263.43); ENO (1.59); PGK (1.59); PGM (1.59); PYK (1.59); VALTA (263.43); r0552 (1.60); r0553 (1.60); r0552 (1.60); r0553 (1.60); VALTA (263.43); PGM (1.59); r0552 (1.60); r0553 (1.60); ENO (1.59); PGM (1.59); ENO (1.59); GAPD (1.59); HEX1 (415.69); PGK (1.59); PGM (1.59); PYK (1.59); TPI (1.59); GLYCLTDy (2.06); GLYCTO1p (2.06),PHETA1 (0.17); PHETA1m (0.17); PHETA1 (0.17); PHETA1m (0.17); r0552m (0.61); r0553m (0.61); r0552m (0.61); r0553m (0.61); r0276 (0.00); r0276 (0.00),ALATA__L (3000.00); GLUDxm (3000.00); ALATA__L (3000.00); ALATA__L (3000.00); GLUDxm (3000.00); GLUDxm (3000.00); ALATA__L (3000.00); GLUDxm (3000.00),r0034 (1000.00); VALTAm (1000.00); CYSTGL (1000.00); CYSTS (1000.00); METAT (1000.00); VALTAm (1000.00); r0034 (1000.00); r0034 (1000.00); r0034 (1000.00); AHC (1000.00); CYSTGL (1000.00); CYSTS (1000.00); METAT (1000.00); AHC (1000.00); CYSTGL (1000.00); CYSTS (1000.00); METAT (1000.00); CKc (1000.00); CRTNsyn (1000.00); GACMTRc (1000.00); GLYAMDTRc (1000.00); ORNTArm (1000.00); r0074 (1000.00); CKc (1000.00); CRTNsyn (1000.00); GACMTRc (1000.00); GLYAMDTRc (1000.00); ORNTArm (1000.00); r0034 (1000.00); r0074 (1000.00); VALTAm (1000.00); CYSTGL (1000.00); CYSTS (1000.00); GACMTRc (1000.00); GLYAMDTRc (1000.00); PFK (1000.00); PGI (1000.00),CBPS (2000.00); PRO1xm (2000.00); THRD__L (2000.00); CBPS (2000.00); CBPS (2000.00); CBPS (2000.00); P5CDm (2000.00); THRD__L (2000.00); PRO1xm (2000.00); THRD__L (2000.00); THRD__L (2000.00); GMPR (2000.00); NTD7 (2000.00); NTD9m (2000.00); GMPR (2000.00); NTD7 (2000.00); PUNP3 (2000.00); GMPR (2000.00); NTD7 (2000.00); PUNP3 (2000.00),ASPTA (1.00); GLUNm (1.01); 2OXOADOXm (1.00); ACONTm (0.95); AKGDm (0.95); ASPTA (1.00); CSm (0.95); ICDHym (0.95); ILETA (1.00); PDHm (0.95); r0450 (1.00); ACONTm (0.95); ASPTA (1.00); CSm (0.95); GHMT2rm (1.00); ICDHym (0.95); ILETA (1.00); PCm (0.95); PGCD (1.00); PRPPS (0.99); PSERT (1.00); RPI (1.00); r0450 (1.00); r1418c (0.96); r1418m (0.96); GHMT2rm (1.00); ASPCTr (1.00); CTPS2 (1.00); CYTDK1 (1.00); CYTK1 (1.00); CYTK1m (1.00); NDPK3m (1.00); NDPK4n (1.00); NDPK6m (1.00); NTD2 (1.00); OMPDC (1.00); ORPT (1.00); PYNP2r (1.00); URIDK2 (1.00); ASPCTr (1.00); CTPS2 (1.00); OMPDC (1.00); ORPT (1.00); RE0452M (1.00); _DHORD9 (1.00); _DHORTS (1.00); ADSL1 (1.00); ADSS (1.00); ASPCTr (1.00); ASPTA (1.00); GHMT2rm (1.00); GLUNm (1.01); GLUPRT (1.00); PGCD (1.00); PSERT (1.00); PSP__Lm (1.00); PGCD (1.00); PSERT (1.00); AICART (1.00); FTHFL (1.00); GARFT (1.00); GHMT2rm (1.00); r0226 (1.00); 3HBCOAHLm (1.00); ACACT10m (1.00); ECOAH12m (1.00); ECOAH9m (1.00); HACD9m (1.00); HIBDm (1.00); ILETA (1.00); MMEm (1.00); MMMm (1.00); MMSAD1m (1.00); PPCOACm (1.00); r0385 (1.00); r0560 (1.00); r0561 (1.00); r0603 (1.00); r0604 (1.00); r0670 (1.00); GHMT2rm (1.00); PGCD (1.00); PSERT (1.00); PSP__Lm (1.00); GHMT2rm (1.00); MDH (1.00); PGCD (1.00); PSERT (1.00); GCC2cm (1.00); PDHm (0.95); PGMT (1.00); ACACT1r (1.00); CSm (0.95); GHMT2rm (1.00); MDH (1.00); MMEm (1.00); MMMm (1.00); PPCOACm (1.00); ADSL2 (1.00); AICART (1.00); AIRCr (1.00); GARFT (1.00); GLUPRT (1.00); IMPC (1.00); PRAGSr (1.00); PRASCS (1.00); PRFGS (1.00); r0666 (1.00); ADK1 (1.00); ADKd (1.00); ADSL1 (1.00); ADSS (1.00); CYTDK1 (1.00); CYTK1 (1.00); CYTK12 (1.00); CYTK1m (1.00); GK1 (1.00); NDPK1 (1.00); NDPK10 (1.00); NDPK10n (1.00); NDPK1m (0.95); NDPK3m (1.00); NDPK4n (1.00); NDPK5 (1.00); NDPK6m (1.00); NDPK8 (1.00); NDPK8m (1.00); NTD8 (1.00); PUNP1 (1.00); RNDR2 (1.00); RNDR3 (1.00); TMDSm (1.00); TRDR (1.00); UMPK2m (1.00); URIDK2 (1.00); _DADNK (1.00); _DGK1 (1.00); _DURIK1 (1.00); _DURIPP (1.00); _DUTPDPm (1.00); r0475 (1.00); r0531 (1.00); ADK1 (1.00); ADSL1 (1.00); ADSS (1.00); ATPM (1.00); CTPS2 (1.00); CYTDK1 (1.00); CYTK1 (1.00); CYTK1m (1.00); GK1 (1.00); GUAPRT (0.98); NDPK1 (1.00); NDPK10 (1.00); NDPK10n (1.00); NDPK1m (0.95); NDPK3m (1.00); NDPK4n (1.00); NDPK5 (1.00); NDPK6m (1.00); NDPK8 (1.00); NDPK8m (1.00); NTD2 (1.00); NTD8 (1.00); PUNP1 (1.00); PUNP2 (1.00); PUNP4 (1.00); PYNP2r (1.00); URIDK2 (1.00); ADK1 (1.00); ADSL1 (1.00); ADSL2 (1.00); ADSS (1.00); AICART (1.00); AIRCr (1.00); ATPM (1.00); GARFT (1.00); GK1 (1.00); GLUPRT (1.00); GUAPRT (0.98); IMPC (1.00); NDPK1 (1.00); NDPK10 (1.00); NDPK10n (1.00); NDPK1m (0.95); NDPK5 (1.00); NDPK8 (1.00); NDPK8m (1.00); NTD8 (1.00); PPM (0.98); PRAGSr (1.00); PRASCS (1.00); PRFGS (1.00); PRPPS (0.99); PUNP1 (1.00); PUNP2 (1.00); PUNP4 (1.00),297,349.24540442422096,257.94813417831716,91.2972702459038,0.3073982163161744
AA other (Cys/Met/Lys/Arg/Pro),19,8,8,39,10,137,VALTA (263.43); ENO (1.59); PGK (1.59); PGM (1.59); PYK (1.59); VALTA (263.43); r0552 (1.60); r0553 (1.60); r0552 (1.60); r0553 (1.60); VALTA (263.43); PGM (1.59); r0552 (1.60); r0553 (1.60); ENO (1.59); PGM (1.59); GLYCLTDy (2.06); GLYCTO1p (2.06); PYK (1.59),PHETA1 (0.17); PHETA1m (0.17); PHETA1 (0.17); PHETA1m (0.17); r0552m (0.61); r0553m (0.61); r0552m (0.61); r0553m (0.61),ALATA__L (3000.00); GLUDxm (3000.00); ALATA__L (3000.00); ALATA__L (3000.00); GLUDxm (3000.00); GLUDxm (3000.00); ALATA__L (3000.00); GLUDxm (3000.00),r0034 (1000.00); VALTAm (1000.00); CYSTGL (1000.00); CYSTS (1000.00); METAT (1000.00); VALTAm (1000.00); r0034 (1000.00); r0034 (1000.00); r0034 (1000.00); AHC (1000.00); CYSTGL (1000.00); CYSTS (1000.00); METAT (1000.00); AHC (1000.00); CYSTGL (1000.00); CYSTS (1000.00); METAT (1000.00); CKc (1000.00); CRTNsyn (1000.00); GACMTRc (1000.00); GLYAMDTRc (1000.00); ORNTArm (1000.00); r0074 (1000.00); CKc (1000.00); CRTNsyn (1000.00); GACMTRc (1000.00); GLYAMDTRc (1000.00); ORNTArm (1000.00); r0034 (1000.00); r0074 (1000.00); VALTAm (1000.00); CYSTGL (1000.00); CYSTS (1000.00); GACMTRc (1000.00); GLYAMDTRc (1000.00); C160CPT1 (1000.00); r0434 (1000.00); C160CPT1 (1000.00); r0434 (1000.00),CBPS (2000.00); PRO1xm (2000.00); THRD__L (2000.00); CBPS (2000.00); CBPS (2000.00); CBPS (2000.00); P5CDm (2000.00); THRD__L (2000.00); PRO1xm (2000.00); THRD__L (2000.00),ASPTA (1.00); GLUNm (1.01); 2OXOADOXm (1.00); ACONTm (0.95); AKGDm (0.95); ASPTA (1.00); CSm (0.95); ICDHym (0.95); ILETA (1.00); PDHm (0.95); r0450 (1.00); 2OXOADOXm (1.00); SACCD3m (1.00); r0450 (1.00); r0525 (1.00); r0594m (1.00); 2OXOADOXm (1.00); 3HKYNAKGAT (1.00); ACACT1r (1.00); ECOAH1m (1.00); FKYNH (1.00); HACD1m (1.00); KYN3OX (1.00); TRPO2 (1.00); r0541 (1.00); r0647 (1.00); ACONTm (0.95); ASPTA (1.00); CSm (0.95); GHMT2rm (1.00); ICDHym (0.95); ILETA (1.00); PCm (0.95); PGCD (1.00); PRPPS (0.99); PSERT (1.00); RPI (1.00); r0450 (1.00); r0450 (1.00); r1418c (0.96); r1418m (0.96); ASPCTr (1.00); CTPS2 (1.00); CYTDK1 (1.00); CYTK1 (1.00); CYTK1m (1.00); NDPK3m (1.00); NDPK4n (1.00); NDPK6m (1.00); NTD2 (1.00); OMPDC (1.00); ORPT (1.00); PYNP2r (1.00); URIDK2 (1.00); ASPCTr (1.00); CTPS2 (1.00); OMPDC (1.00); ORPT (1.00); RE0452M (1.00); _DHORD9 (1.00); _DHORTS (1.00); ADSL1 (1.00); ADSS (1.00); ASPCTr (1.00); ASPTA (1.00); GHMT2rm (1.00); GLUNm (1.01); GLUPRT (1.00); PGCD (1.00); PSERT (1.00); PSP__Lm (1.00); PGCD (1.00); PSERT (1.00); AICART (1.00); FTHFL (1.00); GARFT (1.00); GHMT2rm (1.00); r0226 (1.00); 3HBCOAHLm (1.00); AACOAT (1.00); ACACT10m (1.00); ACACT1r (1.00); ECOAH12m (1.00); ECOAH9m (1.00); HACD9m (1.00); HMGCOASim (1.00); HMGLm (1.00); ILETA (1.00); MMEm (1.00); MMMm (1.00); MMSAD1m (1.00); PPCOACm (1.00); GHMT2rm (1.00); PGCD (1.00); PSERT (1.00); PSP__Lm (1.00); GHMT2rm (1.00); MDH (1.00); PGCD (1.00); PSERT (1.00); AACOAT (1.00); ACACT1r (1.00); ECOAH1m (1.00); HACD1m (1.00); HMGCOASim (1.00); HMGLm (1.00); ACACT1r (1.00); HMGCOASim (1.00); ACACT1r (1.00); CSm (0.95); GHMT2rm (1.00); MDH (1.00); MMEm (1.00); MMMm (1.00); PPCOACm (1.00); ACACT1r (1.00); ECOAH1m (1.00); HACD1m (1.00); SACCD3m (1.00); r0450 (1.00); r0525 (1.00); ACACT1r (1.00); ACCOAC (1.00); ECOAH1m (1.00); HACD1m (1.00); _LCAT1e (1.00); ACACT1r (1.00); ACCOAC (1.00); ECOAH1m (1.00); HACD1m (1.00); ACACT1r (1.00); ACCOAC (1.00); FUM (1.00); FUMm (0.95); MDH (1.00); ME2m (0.95); PCm (0.95),221,251.26461817710597,184.98698552973985,66.27763264736612,0.2998987902595752
AAA metabolism (Trp/Phe/Tyr),10,8,2,11,2,87,VALTA (263.43); ENO (1.59); PGK (1.59); PGM (1.59); PYK (1.59); VALTA (263.43); VALTA (263.43); GLYCLTDy (2.06); GLYCTO1p (2.06); PYK (1.59),PHETA1 (0.17); PHETA1m (0.17); PHETA1 (0.17); PHETA1m (0.17); PHETA1 (0.17); PHETA1m (0.17); PHETA1 (0.17); PHETA1m (0.17),ALATA__L (3000.00); ALATA__L (3000.00),VALTAm (1000.00); CYSTGL (1000.00); CYSTS (1000.00); METAT (1000.00); VALTAm (1000.00); r0034 (1000.00); VALTAm (1000.00); C160CPT1 (1000.00); r0434 (1000.00); C160CPT1 (1000.00); r0434 (1000.00),PRO1xm (2000.00); THRD__L (2000.00),2OXOADOXm (1.00); ACONTm (0.95); AKGDm (0.95); ASPTA (1.00); CSm (0.95); ICDHym (0.95); ILETA (1.00); PDHm (0.95); r0450 (1.00); 2OXOADOXm (1.00); SACCD3m (1.00); r0450 (1.00); r0525 (1.00); r0594m (1.00); 2OXOADOXm (1.00); 3HKYNAKGAT (1.00); ACACT1r (1.00); ECOAH1m (1.00); FKYNH (1.00); HACD1m (1.00); KYN3OX (1.00); TRPO2 (1.00); r0541 (1.00); r0647 (1.00); ACONTm (0.95); ASPTA (1.00); CSm (0.95); GHMT2rm (1.00); ICDHym (0.95); ILETA (1.00); PCm (0.95); PGCD (1.00); PRPPS (0.99); PSERT (1.00); RPI (1.00); r0450 (1.00); 3HBCOAHLm (1.00); AACOAT (1.00); ACACT10m (1.00); ACACT1r (1.00); ECOAH12m (1.00); ECOAH9m (1.00); HACD9m (1.00); HMGCOASim (1.00); HMGLm (1.00); ILETA (1.00); MMEm (1.00); MMMm (1.00); MMSAD1m (1.00); PPCOACm (1.00); AACOAT (1.00); ACACT1r (1.00); ECOAH1m (1.00); HACD1m (1.00); HMGCOASim (1.00); HMGLm (1.00); ACACT1r (1.00); HMGCOASim (1.00); ACACT1r (1.00); CSm (0.95); GHMT2rm (1.00); MDH (1.00); MMEm (1.00); MMMm (1.00); PPCOACm (1.00); ACACT1r (1.00); ECOAH1m (1.00); HACD1m (1.00); SACCD3m (1.00); r0450 (1.00); r0525 (1.00); ACACT1r (1.00); ACCOAC (1.00); ECOAH1m (1.00); HACD1m (1.00); _LCAT1e (1.00); ACACT1r (1.00); ACCOAC (1.00); ECOAH1m (1.00); HACD1m (1.00); ACACT1r (1.00); ACCOAC (1.00); FUM (1.00); FUMm (0.95); MDH (1.00); ME2m (0.95); PCm (0.95),120,155.58239938639957,161.89589272287972,-6.31349333648015,-0.052612444470667916
BCAA metabolism (Val/Leu/Iso),17,9,4,18,7,120,VALTA (263.43); ENO (1.59); PGK (1.59); PGM (1.59); PYK (1.59); VALTA (263.43); VALTA (263.43); r0552 (1.60); r0553 (1.60); VALTA (263.43); VALTA (263.43); PGM (1.59); r0552 (1.60); r0553 (1.60); GLYCLTDy (2.06); GLYCTO1p (2.06); PYK (1.59),PHETA1 (0.17); PHETA1m (0.17); PHETA1 (0.17); PHETA1m (0.17); r0552m (0.61); r0553m (0.61); r0552m (0.61); r0553m (0.61); 2HBO (0.02),ALATA__L (3000.00); ALATA__L (3000.00); ALATA__L (3000.00); GLUDxm (3000.00),VALTAm (1000.00); CYSTGL (1000.00); CYSTS (1000.00); METAT (1000.00); VALTAm (1000.00); r0034 (1000.00); VALTAm (1000.00); r0034 (1000.00); VALTAm (1000.00); VALTAm (1000.00); CYSTGL (1000.00); CYSTS (1000.00); GACMTRc (1000.00); GLYAMDTRc (1000.00); C160CPT1 (1000.00); r0434 (1000.00); C160CPT1 (1000.00); r0434 (1000.00),PRO1xm (2000.00); THRD__L (2000.00); CBPS (2000.00); P5CDm (2000.00); THRD__L (2000.00); THRD__L (2000.00); THRD__L (2000.00),2OXOADOXm (1.00); ACONTm (0.95); AKGDm (0.95); ASPTA (1.00); CSm (0.95); ICDHym (0.95); ILETA (1.00); PDHm (0.95); r0450 (1.00); 2OXOADOXm (1.00); 3HKYNAKGAT (1.00); ACACT1r (1.00); ECOAH1m (1.00); FKYNH (1.00); HACD1m (1.00); KYN3OX (1.00); TRPO2 (1.00); r0541 (1.00); r0647 (1.00); ACONTm (0.95); ASPTA (1.00); CSm (0.95); GHMT2rm (1.00); ICDHym (0.95); ILETA (1.00); PCm (0.95); PGCD (1.00); PRPPS (0.99); PSERT (1.00); RPI (1.00); r0450 (1.00); ADSL1 (1.00); ADSS (1.00); ASPCTr (1.00); ASPTA (1.00); GHMT2rm (1.00); GLUNm (1.01); GLUPRT (1.00); PGCD (1.00); PSERT (1.00); PSP__Lm (1.00); 3HBCOAHLm (1.00); ACACT10m (1.00); ECOAH12m (1.00); ECOAH9m (1.00); HACD9m (1.00); HIBDm (1.00); ILETA (1.00); MMEm (1.00); MMMm (1.00); MMSAD1m (1.00); PPCOACm (1.00); r0385 (1.00); r0560 (1.00); r0561 (1.00); r0603 (1.00); r0604 (1.00); r0670 (1.00); 3HBCOAHLm (1.00); AACOAT (1.00); ACACT10m (1.00); ACACT1r (1.00); ECOAH12m (1.00); ECOAH9m (1.00); HACD9m (1.00); HMGCOASim (1.00); HMGLm (1.00); ILETA (1.00); MMEm (1.00); MMMm (1.00); MMSAD1m (1.00); PPCOACm (1.00); GHMT2rm (1.00); PGCD (1.00); PSERT (1.00); PSP__Lm (1.00); AACOAT (1.00); ACACT1r (1.00); ECOAH1m (1.00); HACD1m (1.00); HMGCOASim (1.00); HMGLm (1.00); HMGLm (1.00); ACACT1r (1.00); HMGCOASim (1.00); ACACT1r (1.00); CSm (0.95); GHMT2rm (1.00); MDH (1.00); MMEm (1.00); MMMm (1.00); PPCOACm (1.00); ACACT1r (1.00); ECOAH1m (1.00); HACD1m (1.00); SACCD3m (1.00); r0450 (1.00); r0525 (1.00); ACACT1r (1.00); ACCOAC (1.00); ECOAH1m (1.00); HACD1m (1.00); _LCAT1e (1.00); ACACT1r (1.00); ACCOAC (1.00); ECOAH1m (1.00); HACD1m (1.00); ACACT1r (1.00); ACCOAC (1.00); FUM (1.00); FUMm (0.95); MDH (1.00); ME2m (0.95); PCm (0.95); HMGCOASim (1.00); ACCOAC (1.00); MMEm (1.00); MMMm (1.00); PPCOACm (1.00); SUCOAS1m (0.95),175,243.81178442416865,158.38378991436792,85.42799450980073,0.4881599686274327
Biomass And Maintenance Functions,0,2,0,0,6,57,,r0276 (0.00); r0276 (0.00),,,GMPR (2000.00); NTD7 (2000.00); PUNP3 (2000.00); GMPR (2000.00); NTD7 (2000.00); PUNP3 (2000.00),ATPM (1.00); BIOMASS_maintenance (1.00); ADK1 (1.00); ADSL1 (1.00); ADSS (1.00); ATPM (1.00); CTPS2 (1.00); CYTDK1 (1.00); CYTK1 (1.00); CYTK1m (1.00); GK1 (1.00); GUAPRT (0.98); NDPK1 (1.00); NDPK10 (1.00); NDPK10n (1.00); NDPK1m (0.95); NDPK3m (1.00); NDPK4n (1.00); NDPK5 (1.00); NDPK6m (1.00); NDPK8 (1.00); NDPK8m (1.00); NTD2 (1.00); NTD8 (1.00); PUNP1 (1.00); PUNP2 (1.00); PUNP4 (1.00); PYNP2r (1.00); URIDK2 (1.00); ADK1 (1.00); ADSL1 (1.00); ADSL2 (1.00); ADSS (1.00); AICART (1.00); AIRCr (1.00); ATPM (1.00); GARFT (1.00); GK1 (1.00); GLUPRT (1.00); GUAPRT (0.98); IMPC (1.00); NDPK1 (1.00); NDPK10 (1.00); NDPK10n (1.00); NDPK1m (0.95); NDPK5 (1.00); NDPK8 (1.00); NDPK8m (1.00); NTD8 (1.00); PPM (0.98); PRAGSr (1.00); PRASCS (1.00); PRFGS (1.00); PRPPS (0.99); PUNP1 (1.00); PUNP2 (1.00); PUNP4 (1.00),65,59.01311942335852,64.3627603512793,-5.349640927920788,-0.08230216812185828
Biosynthesis Of Amino Acids,28,13,7,42,12,158,VALTA (263.43); ENO (1.59); PGK (1.59); PGM (1.59); PYK (1.59); VALTA (263.43); VALTA (263.43); r0552 (1.60); r0553 (1.60); r0552 (1.60); r0553 (1.60); VALTA (263.43); VALTA (263.43); PGM (1.59); r0552 (1.60); r0553 (1.60); ENO (1.59); PGM (1.59); ENO (1.59); GAPD (1.59); HEX1 (415.69); PGK (1.59); PGM (1.59); PYK (1.59); TPI (1.59); GLYCLTDy (2.06); GLYCTO1p (2.06); PYK (1.59),PHETA1 (0.17); PHETA1m (0.17); PHETA1 (0.17); PHETA1m (0.17); PHETA1 (0.17); PHETA1m (0.17); PHETA1 (0.17); PHETA1m (0.17); r0552m (0.61); r0553m (0.61); r0552m (0.61); r0553m (0.61); r0276 (0.00),ALATA__L (3000.00); GLUDxm (3000.00); ALATA__L (3000.00); ALATA__L (3000.00); GLUDxm (3000.00); ALATA__L (3000.00); GLUDxm (3000.00),r0034 (1000.00); VALTAm (1000.00); CYSTGL (1000.00); CYSTS (1000.00); METAT (1000.00); VALTAm (1000.00); r0034 (1000.00); VALTAm (1000.00); r0034 (1000.00); r0034 (1000.00); AHC (1000.00); CYSTGL (1000.00); CYSTS (1000.00); METAT (1000.00); AHC (1000.00); CYSTGL (1000.00); CYSTS (1000.00); METAT (1000.00); CKc (1000.00); CRTNsyn (1000.00); GACMTRc (1000.00); GLYAMDTRc (1000.00); ORNTArm (1000.00); r0074 (1000.00); CKc (1000.00); CRTNsyn (1000.00); GACMTRc (1000.00); GLYAMDTRc (1000.00); ORNTArm (1000.00); r0034 (1000.00); r0074 (1000.00); VALTAm (1000.00); VALTAm (1000.00); CYSTGL (1000.00); CYSTS (1000.00); GACMTRc (1000.00); GLYAMDTRc (1000.00); PFK (1000.00); PGI (1000.00); FBA (1000.00); G6PDH1rer (1000.00); PGLer (1000.00),CBPS (2000.00); PRO1xm (2000.00); THRD__L (2000.00); CBPS (2000.00); P5CDm (2000.00); THRD__L (2000.00); PRO1xm (2000.00); THRD__L (2000.00); THRD__L (2000.00); GMPR (2000.00); NTD7 (2000.00); PUNP3 (2000.00),ASPTA (1.00); GLUNm (1.01); 2OXOADOXm (1.00); ACONTm (0.95); AKGDm (0.95); ASPTA (1.00); CSm (0.95); ICDHym (0.95); ILETA (1.00); PDHm (0.95); r0450 (1.00); 2OXOADOXm (1.00); SACCD3m (1.00); r0450 (1.00); r0525 (1.00); r0594m (1.00); ACONTm (0.95); ASPTA (1.00); CSm (0.95); GHMT2rm (1.00); ICDHym (0.95); ILETA (1.00); PCm (0.95); PGCD (1.00); PRPPS (0.99); PSERT (1.00); RPI (1.00); r0450 (1.00); ACONTm (0.95); AKGDm (0.95); CSm (0.95); FUM (1.00); FUMm (0.95); ICDHym (0.95); MDH (1.00); PCm (0.95); SUCOAS1m (0.95); r0509 (0.95); r0450 (1.00); r1418c (0.96); r1418m (0.96); GHMT2rm (1.00); ADSL1 (1.00); ADSS (1.00); ASPCTr (1.00); ASPTA (1.00); GHMT2rm (1.00); GLUNm (1.01); GLUPRT (1.00); PGCD (1.00); PSERT (1.00); PSP__Lm (1.00); PGCD (1.00); PSERT (1.00); AICART (1.00); FTHFL (1.00); GARFT (1.00); GHMT2rm (1.00); r0226 (1.00); 3HBCOAHLm (1.00); ACACT10m (1.00); ECOAH12m (1.00); ECOAH9m (1.00); HACD9m (1.00); HIBDm (1.00); ILETA (1.00); MMEm (1.00); MMMm (1.00); MMSAD1m (1.00); PPCOACm (1.00); r0385 (1.00); r0560 (1.00); r0561 (1.00); r0603 (1.00); r0604 (1.00); r0670 (1.00); 3HBCOAHLm (1.00); AACOAT (1.00); ACACT10m (1.00); ACACT1r (1.00); ECOAH12m (1.00); ECOAH9m (1.00); HACD9m (1.00); HMGCOASim (1.00); HMGLm (1.00); ILETA (1.00); MMEm (1.00); MMMm (1.00); MMSAD1m (1.00); PPCOACm (1.00); GHMT2rm (1.00); PGCD (1.00); PSERT (1.00); PSP__Lm (1.00); GHMT2rm (1.00); MDH (1.00); PGCD (1.00); PSERT (1.00); GCC2cm (1.00); PDHm (0.95); PGMT (1.00); ACACT1r (1.00); CSm (0.95); GHMT2rm (1.00); MDH (1.00); MMEm (1.00); MMMm (1.00); PPCOACm (1.00); ACACT1r (1.00); ECOAH1m (1.00); HACD1m (1.00); SACCD3m (1.00); r0450 (1.00); r0525 (1.00); ACACT1r (1.00); ACCOAC (1.00); FUM (1.00); FUMm (0.95); MDH (1.00); ME2m (0.95); PCm (0.95); ADK1 (1.00); ADSL1 (1.00); ADSL2 (1.00); ADSS (1.00); AICART (1.00); AIRCr (1.00); ATPM (1.00); GARFT (1.00); GK1 (1.00); GLUPRT (1.00); GUAPRT (0.98); IMPC (1.00); NDPK1 (1.00); NDPK10 (1.00); NDPK10n (1.00); NDPK1m (0.95); NDPK5 (1.00); NDPK8 (1.00); NDPK8m (1.00); NTD8 (1.00); PPM (0.98); PRAGSr (1.00); PRASCS (1.00); PRFGS (1.00); PRPPS (0.99); PUNP1 (1.00); PUNP2 (1.00); PUNP4 (1.00); GND (1.00); ICDHym (0.95); r0130 (1.00); G6PDH2r (0.94); GND (1.00); PGL (0.94); PPM (0.98); PRPPS (0.99); RPI (1.00),260,399.1946806545169,305.2404956834298,93.9541849710871,0.36136224988879656
