Pathway Groups,Pathways,Increased,Decreased,Reversed,On,Off,Unchanged,Increased_reactions,Decreased_reactions,Reversed_reactions,On_reactions,Off_reactions,Unchanged_reactions,n_reactions,flux_fast,flux_slow,total_flux_shift,mean_flux_shift
Propanoate Metabolism; Lipid metabolism; Central Energy Metabolism; Glyoxylate And Dicarboxylate Metabolism; BCAA metabolism (Val/Leu/Iso),Propanoate Metabolism,0,1,0,0,0,5,,2HBO (0.02),,,,ACCOAC (1.00); MMEm (1.00); MMMm (1.00); PPCOACm (1.00); SUCOAS1m (0.95),6,1.6973748255771877,1.8001969361487236,-0.1028221105715359,-0.017137018428589317
Redox & Pentose Metabolism,Pentose And Glucuronate Interconversions,0,0,0,0,0,1,,,,,,GALU (1.00),1,0.0013216171827663,0.0013216171827758,-9.499996275752487e-15,-9.499996275752487e-15
Redox & Pentose Metabolism; 2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Central Energy Metabolism,Glutathione Metabolism,0,0,0,0,0,3,,,,,,GND (1.00); ICDHym (0.95); r0130 (1.00),3,0.8165709129654544,0.8543270279616851,-0.03775611499623077,-0.012585371665410258
Redox & Pentose Metabolism; Nitrogen disposal; Biosynthesis Of Amino Acids,Pentose Phosphate Pathway,0,0,0,3,0,6,,,,FBA (1000.00); G6PDH1rer (1000.00); PGLer (1000.00),,G6PDH2r (0.94); GND (1.00); PGL (0.94); PPM (0.98); PRPPS (0.99); RPI (1.00),9,5.042401961789997,0.054934274166234406,4.987467687623763,0.5541630764026403
Starch And Sucrose Metabolism; Central Energy Metabolism,Starch And Sucrose Metabolism,1,0,0,0,2,2,HEX1 (415.69),,,,RE0915C (2000.00); RE0915E (2000.00),GLBRAN (1.00); GLGNS1 (1.00),5,5.0008810781218465,6.2868790208188265,-1.28599794269698,-0.257199588539396
"Transport, Endoplasmic Reticulum","Transport, Endoplasmic Reticulum",0,0,0,13,0,1,,,,CO2ter (1000.00); G6Pter (1000.00); H2Oter (1000.00); HUMANGEM_MAR00466 (1000.00); HUMANGEM_MAR00730 (1000.00); HUMANGEM_MAR00771 (1000.00); HUMANGEM_MAR03953 (1000.00); HUMANGEM_MAR08526 (1000.00); HUMANGEM_MAR08737 (1000.00); PIter (1000.00); PPItr (1000.00); _DAG_HSter (1000.00); r0998 (1000.00),,PE_HSter (1.00),14,0.010133187344245603,0.0008575470313113,0.009275640312934303,0.0006625457366381645
"Transport, Nuclear","Transport, Nuclear",0,0,0,0,0,4,,,,,,_DIDPtn (1.00); _DITPtn (1.00); _DTDPtn (1.00); _DTTPtn (1.00),4,0.002401131687653,0.0024011316876716,-1.860013879029232e-14,-4.65003469757308e-15
"Transport, Peroxisomal","Transport, Peroxisomal",4,0,0,0,0,0,H2O2tp (2.06); HUMANGEM_MAR07705 (2.06); HUMANGEM_MAR07707 (2.06); O2tp (2.06),,,,,,4,39.14622316629368,18.97295897252014,20.17326419377354,5.043316048443385
Unknown,Unknown,5,5,1,0,0,28,EX_glc__D_e (1.59); EX_h2o2_e (2.04); EX_h_e (1.81); EX_o2_e (1.39); EX_pyr_e (1.39),EX_2hb_e (0.02); EX_h2o_e (0.57); EX_nh4_e (0.01); EX_pro__L_e (0.23); EX_thr__L_e (0.36),EX_ala__L_e (3000.00),,,ARTPLM2 (1.00); ARTPLM3 (1.00); EX_C02470_e (1.00); EX_arg__L_e (1.06); EX_asn__L_e (1.00); EX_asp__L_e (1.00); EX_cgly_e (1.00); EX_chol_e (1.00); EX_chsterol_e (1.00); EX_co2_e (0.95); EX_cys__L_e (0.87); EX_gln__L_e (1.00); EX_glu__L_e (1.00); EX_gly_e (1.04); EX_gthrd_e (1.00); EX_his__L_e (1.00); EX_ile__L_e (1.00); EX_inost_e (1.00); EX_leu__L_e (1.00); EX_lys__L_e (1.00); EX_met__L_e (1.11); EX_phe__L_e (1.00); EX_pi_e (1.00); EX_ser__L_e (1.03); EX_trp__L_e (1.00); EX_tyr__L_e (1.00); EX_val__L_e (1.00); R_group_phosphotase_1 (1.00),39,51.9993702213813,37.286640742160564,14.712729479220734,0.37724947382617263
Vitamin C Metabolism,Vitamin C Metabolism,0,2,0,0,0,0,,ASCBOX (0.65); _DASCBR (0.65),,,,,2,0.0560756474823472,0.0858402593976618,-0.02976461191531459,-0.014882305957657296
