Pathway Groups,Pathways,Increased,Decreased,Reversed,On,Off,Unchanged,Increased_reactions,Decreased_reactions,Reversed_reactions,On_reactions,Off_reactions,Unchanged_reactions,n_reactions,flux_fast,flux_slow,total_flux_shift,mean_flux_shift
"AA central (A/D/E,G/S/T); AA other (Cys/Met/Lys/Arg/Pro); Nitrogen disposal; Taurine And Hypotaurine Metabolism",Taurine And Hypotaurine Metabolism,0,0,1,0,0,0,,,GLUDxm (3000.00),,,,1,0.4700265016348278,0.8291233776920836,-0.35909687605725576,-0.35909687605725576
"AA central (A/D/E,G/S/T); AA other (Cys/Met/Lys/Arg/Pro); Nitrogen disposal; Taurine And Hypotaurine Metabolism; Biosynthesis Of Amino Acids",Nitrogen Metabolism,0,0,1,1,0,2,,,GLUDxm (3000.00),r0034 (1000.00),,r1418c (0.96); r1418m (0.96),4,1.3713501940835808,1.7682031851349773,-0.3968529910513965,-0.09921324776284912
"AA central (A/D/E,G/S/T); Biosynthesis Of Amino Acids; Cyanoamino Acid Metabolism; Folate Metabolism; Glyoxylate And Dicarboxylate Metabolism; Methane Metabolism",Cyanoamino Acid Metabolism,0,0,0,0,0,1,,,,,,GHMT2rm (1.00),1,0.0006002829217112,0.0006002829222357,-5.24499931334188e-13,-5.24499931334188e-13
"AA central (A/D/E,G/S/T); Nucleotide metabolism; AA other (Cys/Met/Lys/Arg/Pro)",Pyrimidine Metabolism,0,0,0,0,1,13,,,,,CBPS (2000.00),ASPCTr (1.00); CTPS2 (1.00); CYTDK1 (1.00); CYTK1 (1.00); CYTK1m (1.00); NDPK3m (1.00); NDPK4n (1.00); NDPK6m (1.00); NTD2 (1.00); OMPDC (1.00); ORPT (1.00); PYNP2r (1.00); URIDK2 (1.00),14,0.0519299781966327,0.054549132643666,-0.0026191544470333047,-0.00018708246050237891
"AA central (A/D/E,G/S/T); Nucleotide metabolism; AA other (Cys/Met/Lys/Arg/Pro)",Pyrimidine Synthesis,0,0,0,0,1,7,,,,,CBPS (2000.00),ASPCTr (1.00); CTPS2 (1.00); OMPDC (1.00); ORPT (1.00); RE0452M (1.00); _DHORD9 (1.00); _DHORTS (1.00),8,0.0229382339736973,0.025557388420265198,-0.0026191544465678993,-0.0003273943058209874
"AA central (A/D/E,G/S/T); Nucleotide metabolism; Nitrogen disposal; 2-oxocarboxylic Acid Metabolism; AA other (Cys/Met/Lys/Arg/Pro); Biosynthesis Of Amino Acids; Cyanoamino Acid Metabolism; Folate Metabolism; Glyoxylate And Dicarboxylate Metabolism; Methane Metabolism; Taurine And Hypotaurine Metabolism; BCAA metabolism (Val/Leu/Iso)","Alanine, Aspartate And Glutamate Metabolism",2,2,2,1,3,10,r0552 (1.60); r0553 (1.60),r0552m (0.61); r0553m (0.61),ALATA__L (3000.00); GLUDxm (3000.00),r0034 (1000.00),CBPS (2000.00); P5CDm (2000.00); THRD__L (2000.00),ADSL1 (1.00); ADSS (1.00); ASPCTr (1.00); ASPTA (1.00); GHMT2rm (1.00); GLUNm (1.01); GLUPRT (1.00); PGCD (1.00); PSERT (1.00); PSP__Lm (1.00),20,26.42977393002095,21.025578450575413,5.404195479445537,0.27020977397227686
"AA other (Cys/Met/Lys/Arg/Pro); Folate Metabolism; Biosynthesis Of Amino Acids; AA central (A/D/E,G/S/T); Methane Metabolism",Cysteine And Methionine Metabolism,0,0,0,4,0,2,,,,AHC (1000.00); CYSTGL (1000.00); CYSTS (1000.00); METAT (1000.00),,PGCD (1.00); PSERT (1.00),6,0.0036016975297004,0.0012005658444714,0.002401131685229,0.00040018861420483337
"AA other (Cys/Met/Lys/Arg/Pro); Folate Metabolism; Nitrogen disposal; Nucleotide metabolism; Biosynthesis Of Amino Acids; AA central (A/D/E,G/S/T); Cyanoamino Acid Metabolism; Glyoxylate And Dicarboxylate Metabolism; Methane Metabolism",Folate Metabolism,2,0,0,4,0,5,r0552 (1.60); r0553 (1.60),,,AHC (1000.00); CYSTGL (1000.00); CYSTS (1000.00); METAT (1000.00),,AICART (1.00); FTHFL (1.00); GARFT (1.00); GHMT2rm (1.00); r0226 (1.00),11,19.898967547664416,12.437998689653444,7.460968858010972,0.6782698961828156
"AA other (Cys/Met/Lys/Arg/Pro); Nitrogen disposal; AA central (A/D/E,G/S/T); Biosynthesis Of Amino Acids",Arginine And Proline Metabolism,0,0,0,6,1,0,,,,CKc (1000.00); CRTNsyn (1000.00); GACMTRc (1000.00); GLYAMDTRc (1000.00); ORNTArm (1000.00); r0074 (1000.00),PRO1xm (2000.00),,7,0.0036016975294227995,0.0383563979182604,-0.0347547003888376,-0.004964957198405372
"AA other (Cys/Met/Lys/Arg/Pro); Nitrogen disposal; AA central (A/D/E,G/S/T); Biosynthesis Of Amino Acids",Urea Cycle,0,0,0,7,0,0,,,,CKc (1000.00); CRTNsyn (1000.00); GACMTRc (1000.00); GLYAMDTRc (1000.00); ORNTArm (1000.00); r0034 (1000.00); r0074 (1000.00),,,7,0.006220851974202899,0.0,0.006220851974202899,0.0008886931391718427
"BCAA metabolism (Val/Leu/Iso); 2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Glyoxylate And Dicarboxylate Metabolism; Propanoate Metabolism; AA central (A/D/E,G/S/T); Pantothenate And Coa Biosynthesis","Valine, Leucine And Isoleucine Biosynthesis",1,0,0,1,1,17,VALTA (263.43),,,VALTAm (1000.00),THRD__L (2000.00),3HBCOAHLm (1.00); ACACT10m (1.00); ECOAH12m (1.00); ECOAH9m (1.00); HACD9m (1.00); HIBDm (1.00); ILETA (1.00); MMEm (1.00); MMMm (1.00); MMSAD1m (1.00); PPCOACm (1.00); r0385 (1.00); r0560 (1.00); r0561 (1.00); r0603 (1.00); r0604 (1.00); r0670 (1.00),20,17.865692215859337,0.7958919642955871,17.06980025156375,0.8534900125781875
BCAA metabolism (Val/Leu/Iso); Butanoate Metabolism; Lipid metabolism; Glyoxylate And Dicarboxylate Metabolism; AA other (Cys/Met/Lys/Arg/Pro); Central Energy Metabolism; Terpenoid Backbone Biosynthesis; AAA metabolism (Trp/Phe/Tyr); 2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Propanoate Metabolism; Pantothenate And Coa Biosynthesis,"Valine, Leucine And Isoleucine Degradation",1,0,0,1,0,14,VALTA (263.43),,,VALTAm (1000.00),,3HBCOAHLm (1.00); AACOAT (1.00); ACACT10m (1.00); ACACT1r (1.00); ECOAH12m (1.00); ECOAH9m (1.00); HACD9m (1.00); HMGCOASim (1.00); HMGLm (1.00); ILETA (1.00); MMEm (1.00); MMMm (1.00); MMSAD1m (1.00); PPCOACm (1.00),16,17.76010519404663,0.6623947789773661,17.097710415069265,1.068606900941829
Biomass And Maintenance Functions; Nucleotide metabolism; Nitrogen disposal,Biomass And Maintenance Functions,0,0,0,0,0,2,,,,,,ATPM (1.00); BIOMASS_maintenance (1.00),2,18.51715094062608,18.517150940626227,-1.4566126083082054e-13,-7.283063041541027e-14
"Biosynthesis Of Amino Acids; AA other (Cys/Met/Lys/Arg/Pro); Folate Metabolism; AA central (A/D/E,G/S/T); Nitrogen disposal; Cyanoamino Acid Metabolism; Glyoxylate And Dicarboxylate Metabolism; Methane Metabolism; Central Energy Metabolism; BCAA metabolism (Val/Leu/Iso)","Glycine, Serine And Threonine Metabolism",3,2,0,4,1,4,PGM (1.59); r0552 (1.60); r0553 (1.60),r0552m (0.61); r0553m (0.61),,CYSTGL (1000.00); CYSTS (1000.00); GACMTRc (1000.00); GLYAMDTRc (1000.00),THRD__L (2000.00),GHMT2rm (1.00); PGCD (1.00); PSERT (1.00); PSP__Lm (1.00),14,34.192619281357956,25.88242305288644,8.310196228471515,0.5935854448908225
"Biosynthesis Of Amino Acids; Central Energy Metabolism; Methane Metabolism; AA central (A/D/E,G/S/T); Cyanoamino Acid Metabolism; Folate Metabolism; Glyoxylate And Dicarboxylate Metabolism; AA other (Cys/Met/Lys/Arg/Pro)",Methane Metabolism,2,0,0,0,0,4,ENO (1.59); PGM (1.59),,,,,GHMT2rm (1.00); MDH (1.00); PGCD (1.00); PSERT (1.00),6,19.969949751178284,12.566001786003838,7.403947965174446,1.2339913275290744
"Biosynthesis Of Amino Acids; Central Energy Metabolism; Methane Metabolism; Starch And Sucrose Metabolism; 2-oxocarboxylic Acid Metabolism; AA central (A/D/E,G/S/T)",Glycolysis/Gluconeogenesis,7,0,0,2,0,3,ENO (1.59); GAPD (1.59); HEX1 (415.69); PGK (1.59); PGM (1.59); PYK (1.59); TPI (1.59),,,PFK (1000.00); PGI (1000.00),,GCC2cm (1.00); PDHm (0.95); PGMT (1.00),12,70.61056544251264,35.32354887742989,35.287016565082745,2.9405847137568952
