reaction_id,flux_slow,flux_fast,flux_ratio
2HBO,-0.0279101635042464,-0.0006002829215696,0.021507682012621307
2HBt2,-0.0279101635042464,-0.0006002829215722,0.021507682012714465
2OXOADOXm,0.0369027184926626,0.0369027184927639,1.0000000000027451
3DSPHR,0.0003670301294012,0.0,2000.0
3DSPHRr,0.0,0.0003670301293981,1000.0
3HBCOAHLm,0.032576222209976,0.0325762222104225,1.0000000000137064
3HKYNAKGAT,0.0067350714781537,0.0067350714770896,0.999999999842006
3MOBt2im,0.0325762222102904,8.581431429742402,263.4262307749006
5MTHFt,-3.209929110704219,-1.8576403931383731,0.5787169526403746
5MTHFt2le,3.209929110704219,1.8576403931383731,0.5787169526403746
AACOAT,0.0369027184927787,0.036902718493602,1.00000000002231
ACACT10m,0.0409643356480032,0.0409643356480734,1.0000000000017137
ACACT1r,-0.0369027184927787,-0.036902718493602,1.00000000002231
ACCOAC,0.0645797573623627,0.0645797573634624,1.0000000000170286
ACONTm,0.7983403377775254,0.7605842227821292,0.9527067427151379
ADK1,0.2203334005657511,0.2206815646583545,1.0015801693783577
ADKd,0.0006002829219179,0.0006002829219137,0.9999999999930034
ADSL1,0.0023153769845364,0.0023153769839559,0.9999999997492849
ADSL2,0.0033675357391337,0.003367535738545,0.9999999998251837
ADSS,0.0023153769845364,0.0023153769839559,0.9999999997492849
AGPAT1,0.0086727847502269,0.0086727847501525,0.9999999999914214
AHC,0.0,0.0006002829215696,1000.0
AICART,0.0033675357391337,0.003367535738545,0.9999999998251837
AIRCr,0.0033675357391337,0.003367535738545,0.9999999998251837
AKGDm,1.413544783850197,1.3380325538581328,0.9465795276847296
AKGMALtm,13.37462881442154,9.67088807912436,0.723077119620432
ALAPAT4te,0.0,-0.1988310809000333,1000.0
ALATA__L,0.0343927812376515,-1.227601266015658,3000.0
ALAtN1,0.0499999999999936,-1.0131629663534023,3000.0
ARGLYSex,0.010011552873629,0.0106118357951201,1.0599590222484145
ARTPLM2,-0.0086727847502269,-0.0086727847501525,0.9999999999914214
ARTPLM3,-0.0001858647435664,-0.0001858647435648,0.9999999999913917
ASCBOX,0.0429201296988309,0.0280378237411736,0.653255801832708
ASNt4,0.0085468625441492,0.0,2000.0
ASNtN1,0.0,0.0085468625440832,1000.0
ASPCTr,0.0026191544450261,0.0026191544447801,0.9999999999060766
ASPTA,0.0260453669822227,0.026045366983434,1.0000000000465075
ASPt6,0.0500000000002768,0.0500000000000682,0.9999999999958279
ATPM,18.5,18.5,1.0
ATPS4m,13.187278490682017,9.52435723418368,0.7222382723557014
ATPtm,13.802099750438853,10.096184070055292,0.7314962398916348
BIOMASS_maintenance,0.0171509406262275,0.0171509406260803,0.9999999999914173
BTNTe,0.0,0.2776277523866119,1000.0
C160CPT1,0.0,0.0003670301295118,1000.0
CBPS,0.0026191544450261,0.0,2000.0
CDIPTr,0.0003121471193973,0.0003121471193946,0.9999999999913501
CDS,0.0005642659466028,0.000564265946598,0.9999999999914932
CEPTC,0.0082605275903943,0.0082605275903234,0.999999999991417
CHLPCTD,0.0082605275903943,0.0082605275903234,0.999999999991417
CHOLESTTDe,-0.0003498963397156,-0.0003498963397126,0.9999999999914261
CHOLESTle,0.0045199074398141,0.0045199074397753,0.9999999999914156
CHOLK,0.0082605275903943,0.0082605275903234,0.999999999991417
CHOLtu,0.0026000825989361,0.0026000825989143,0.9999999999916157
CKc,0.0,0.0006002829215722,1000.0
CLSm_hs,0.0001131962081331,0.0001131962081321,0.9999999999911658
CO2t,-3.799959798195145,-3.611179223216378,0.9503203757396509
CO2ter,0.0,-0.0003670301293986,1000.0
CO2tm,-3.796973613620717,-3.605573884197135,0.9495915039448835
CRTNsyn,0.0,0.0006002829215722,1000.0
CRTNtr,0.0,-0.0006002829215722,1000.0
CSm,0.7983403377775254,0.7605842227821293,0.952706742715138
CTPS2,0.009242178828077,0.0092421788279977,0.9999999999914199
CYOOm3,4.292012969883092,2.8037823741173638,0.6532558018327085
CYOR_u10m,8.584025939766182,5.607564748234725,0.6532558018327084
CYSTGL,0.0,0.0006002829215696,1000.0
CYSTS,0.0,0.0006002829215696,1000.0
CYSt4,0.0044732397303701,0.0038729568087657,0.8658057788566734
CYTDK1,0.00377320693777,0.0037732069377434,0.9999999999929503
CYTDe,0.0077072382457922,0.0077072382457221,0.9999999999909046
CYTDt,-0.0077072382457922,-0.0077072382457221,0.9999999999909046
CYTK1,0.0008654364639994,0.0008654364639933,0.9999999999929515
CYTK12,-0.0004327182319997,-0.0004327182319966,0.999999999992836
CYTK1m,0.0002521188272055,0.0002521188272033,0.9999999999912739
Clt,-0.0499999999998408,-0.0500000000000682,1.0000000000045481
ECOAH12m,0.0325762222102904,0.0325762222104225,1.0000000000040552
ECOAH1m,-0.0369027184926626,-0.0369027184927639,1.0000000000027451
ECOAH9m,0.0409643356480032,0.0409643356480734,1.0000000000017137
ENO,6.269077785127522,9.97105176771486,1.5905133273939802
EX_2hb_e,0.0279101635042464,0.0006002829215722,0.021507682012714465
EX_C02470_e,0.0067350714781537,0.0067350714770891,0.9999999998419318
EX_ala__L_e,-0.0499999999999936,1.2119940472534334,3000.0
EX_arg__L_e,-0.010011552873629,-0.0106118357951201,1.0599590222484145
EX_asn__L_e,-0.0085468625441492,-0.0085468625440877,0.9999999999928044
EX_asp__L_e,-0.0500000000002768,-0.0500000000000682,0.9999999999958279
EX_cgly_e,0.05,0.05,1.0
EX_chol_e,-0.0026000825989361,-0.0026000825989143,0.9999999999916157
