reaction_id,flux_slow,flux_fast,flux_ratio,DRF_category,Formula,Pathways_list,Pathways,Pathway_Groups_list,Pathway Groups
ACONTm,0.7983403377775254,0.7605842227821292,0.9527067427151379,Unchanged,Citrate <==> Isocitrate,"['2-oxocarboxylic Acid Metabolism', 'Biosynthesis Of Amino Acids', 'Citric Acid Cycle']",2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Citric Acid Cycle,"['2-oxocarboxylic Acid Metabolism', 'AA other', 'Central Energy Metabolism']",2-oxocarboxylic Acid Metabolism; AA other; Central Energy Metabolism
ADK1,0.2203334005657511,0.2206815646583545,1.0015801693783577,Unchanged,AMP + ATP <==> 2.0 ADP,"['Nucleotide Interconversion', 'Nucleotide Metabolism', 'Purine Metabolism']",Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism,"['Nucleotide metabolism', 'Nitrogen disposal']",Nucleotide metabolism; Nitrogen disposal
ADKd,0.0006002829219179,0.0006002829219137,0.9999999999930034,Unchanged,dAMP(2-) + dATP <==> 2.0 dADP,['Nucleotide Interconversion'],Nucleotide Interconversion,['Nucleotide metabolism'],Nucleotide metabolism
ADSL1,0.0023153769845364,0.0023153769839559,0.9999999997492849,Unchanged,"N6-(1,2-Dicarboxyethyl)-AMP --> AMP + Fumarate","['Alanine, Aspartate And Glutamate Metabolism', 'Nucleotide Interconversion', 'Nucleotide Metabolism', 'Purine Metabolism']","Alanine, Aspartate And Glutamate Metabolism; Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism","['AA other', 'Nucleotide metabolism', 'Nitrogen disposal']",AA other; Nucleotide metabolism; Nitrogen disposal
ADSL2,0.0033675357391337,0.003367535738545,0.9999999998251837,Unchanged,(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate --> 5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide + Fumarate,"['Purine Metabolism', 'Purine Synthesis']",Purine Metabolism; Purine Synthesis,"['Nitrogen disposal', 'Nucleotide metabolism']",Nitrogen disposal; Nucleotide metabolism
ADSS,0.0023153769845364,0.0023153769839559,0.9999999997492849,Unchanged,"L-aspartate(1-) + GTP + IMP --> N6-(1,2-Dicarboxyethyl)-AMP + GDP + 2.0 proton + hydrogenphosphate","['Alanine, Aspartate And Glutamate Metabolism', 'Nucleotide Interconversion', 'Nucleotide Metabolism', 'Purine Metabolism']","Alanine, Aspartate And Glutamate Metabolism; Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism","['AA other', 'Nucleotide metabolism', 'Nitrogen disposal']",AA other; Nucleotide metabolism; Nitrogen disposal
AGPAT1,0.0086727847502269,0.0086727847501525,0.9999999999914214,Unchanged,R total 2 coenzyme A + lysophosphatidic acid --> Coenzyme A + phosphatidate(2-),['Triacylglycerol Synthesis'],Triacylglycerol Synthesis,['Lipid metabolism'],Lipid metabolism
AHC,0.0,0.0006002829215696,1000.0,On,S-Adenosyl-L-homocysteine + Water <==> Adenosine + L-homocysteine,"['Cysteine And Methionine Metabolism', 'Folate Metabolism']",Cysteine And Methionine Metabolism; Folate Metabolism,"['AA other', 'Folate Metabolism']",AA other; Folate Metabolism
AICART,0.0033675357391337,0.003367535738545,0.9999999998251837,Unchanged,"10-Formyltetrahydrofolate + 5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide <==> 5-Formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide + 5,6,7,8-Tetrahydrofolate","['Folate Metabolism', 'Purine Metabolism', 'Purine Synthesis']",Folate Metabolism; Purine Metabolism; Purine Synthesis,"['Folate Metabolism', 'Nitrogen disposal', 'Nucleotide metabolism']",Folate Metabolism; Nitrogen disposal; Nucleotide metabolism
AIRCr,0.0033675357391337,0.003367535738545,0.9999999998251837,Unchanged,5-amino-1-(5-phospho-D-ribosyl)imidazole + carbon dioxide <==> 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate + proton,"['Purine Metabolism', 'Purine Synthesis']",Purine Metabolism; Purine Synthesis,"['Nitrogen disposal', 'Nucleotide metabolism']",Nitrogen disposal; Nucleotide metabolism
AKGDm,1.413544783850197,1.3380325538581328,0.9465795276847296,Unchanged,2-Oxoglutarate + Coenzyme A + Nicotinamide adenine dinucleotide --> carbon dioxide + Nicotinamide adenine dinucleotide - reduced + Succinyl-CoA,"['2-oxocarboxylic Acid Metabolism', 'Citric Acid Cycle']",2-oxocarboxylic Acid Metabolism; Citric Acid Cycle,"['2-oxocarboxylic Acid Metabolism', 'Central Energy Metabolism']",2-oxocarboxylic Acid Metabolism; Central Energy Metabolism
AKGMALtm,13.37462881442154,9.67088807912436,0.723077119620432,Decreased,2-Oxoglutarate + (S)-malate(2-) <==> 2-Oxoglutarate + (S)-malate(2-),"['Transport, Mitochondrial']","Transport, Mitochondrial",['Mitochondrial transport'],Mitochondrial transport
ALAPAT4te,0.0,-0.1988310809000333,1000.0,On,L-Alanine <==> L-alanine,['Extracellular Transport'],Extracellular Transport,['Extracellular Transport'],Extracellular Transport
ALATA__L,0.0343927812376515,-1.227601266015658,3000.0,Reversed,2-Oxoglutarate + L-alanine <==> L-glutamate(1-) + pyruvate,"['2-oxocarboxylic Acid Metabolism', 'Alanine, Aspartate And Glutamate Metabolism', 'Arginine Biosynthesis', 'Biosynthesis Of Amino Acids']","2-oxocarboxylic Acid Metabolism; Alanine, Aspartate And Glutamate Metabolism; Arginine Biosynthesis; Biosynthesis Of Amino Acids","['2-oxocarboxylic Acid Metabolism', 'AA other']",2-oxocarboxylic Acid Metabolism; AA other
ALAtN1,0.0499999999999936,-1.0131629663534023,3000.0,Reversed,L-Alanine + proton + 2.0 Sodium <==> L-alanine + proton + 2.0 Sodium,['Extracellular Transport'],Extracellular Transport,['Extracellular Transport'],Extracellular Transport
ARGLYSex,0.010011552873629,0.0106118357951201,1.0599590222484145,Unchanged,L-Arginine + L-lysinium(1+) --> L-argininium(1+) + L-lysinium(1+),['Extracellular Transport'],Extracellular Transport,['Extracellular Transport'],Extracellular Transport
ARTPLM2,-0.0086727847502269,-0.0086727847501525,0.9999999999914214,Unchanged,R total 2 coenzyme A <==> Palmitoyl-CoA (n-C16:0CoA),['Unknown'],Unknown,['Unknown'],Unknown
ARTPLM3,-0.0001858647435664,-0.0001858647435648,0.9999999999913917,Unchanged,R total 3 Coenzyme A <==> Palmitoyl-CoA (n-C16:0CoA),['Unknown'],Unknown,['Unknown'],Unknown
ASCBOX,0.0429201296988309,0.0280378237411736,0.653255801832708,Decreased,L-ascorbate + 3.0 proton + 2.0 superoxide --> dehydroascorbide(1-) + 2.0 Hydrogen peroxide,['Vitamin C Metabolism'],Vitamin C Metabolism,['Vitamin C Metabolism'],Vitamin C Metabolism
ASNt4,0.0085468625441492,0.0,2000.0,Off,L-Asparagine + Sodium --> L-asparagine + Sodium,['Extracellular Transport'],Extracellular Transport,['Extracellular Transport'],Extracellular Transport
ASNtN1,0.0,0.0085468625440832,1000.0,On,L-Asparagine + proton + 2.0 Sodium <==> L-asparagine + proton + 2.0 Sodium,['Extracellular Transport'],Extracellular Transport,['Extracellular Transport'],Extracellular Transport
ASPCTr,0.0026191544450261,0.0026191544447801,0.9999999999060766,Unchanged,L-aspartate(1-) + Carbamoyl phosphate <==> N-Carbamoyl-L-aspartate + proton + hydrogenphosphate,"['Alanine, Aspartate And Glutamate Metabolism', 'Pyrimidine Metabolism', 'Pyrimidine Synthesis']","Alanine, Aspartate And Glutamate Metabolism; Pyrimidine Metabolism; Pyrimidine Synthesis","['AA other', 'Nucleotide metabolism']",AA other; Nucleotide metabolism
ASPTA,0.0260453669822227,0.026045366983434,1.0000000000465075,Unchanged,2-Oxoglutarate + L-aspartate(1-) <==> L-glutamate(1-) + Oxaloacetate,"['2-oxocarboxylic Acid Metabolism', 'Alanine, Aspartate And Glutamate Metabolism', 'Arginine Biosynthesis', 'Biosynthesis Of Amino Acids']","2-oxocarboxylic Acid Metabolism; Alanine, Aspartate And Glutamate Metabolism; Arginine Biosynthesis; Biosynthesis Of Amino Acids","['2-oxocarboxylic Acid Metabolism', 'AA other']",2-oxocarboxylic Acid Metabolism; AA other
ASPt6,0.0500000000002768,0.0500000000000682,0.9999999999958279,Unchanged,L-Aspartate + proton + Potassium + 3.0 Sodium --> L-aspartate(1-) + proton + Potassium + 3.0 Sodium,['Extracellular Transport'],Extracellular Transport,['Extracellular Transport'],Extracellular Transport
ATPM,18.5,18.5,1.0,Unchanged,ATP + Water --> ADP + proton + hydrogenphosphate,"['Biomass And Maintenance Functions', 'Nucleotide Metabolism', 'Purine Metabolism']",Biomass And Maintenance Functions; Nucleotide Metabolism; Purine Metabolism,"['Biomass And Maintenance Functions', 'Nucleotide metabolism', 'Nitrogen disposal']",Biomass And Maintenance Functions; Nucleotide metabolism; Nitrogen disposal
ATPS4m,13.187278490682017,9.52435723418368,0.7222382723557014,Decreased,ADP + 4.0 proton + hydrogenphosphate --> ATP + Water + 3.0 proton,['Oxidative Phosphorylation'],Oxidative Phosphorylation,['Oxidative Phosphorylation'],Oxidative Phosphorylation
ATPtm,13.802099750438853,10.096184070055292,0.7314962398916348,Decreased,ADP + ATP --> ADP + ATP,"['Transport, Mitochondrial']","Transport, Mitochondrial",['Mitochondrial transport'],Mitochondrial transport
BIOMASS_maintenance,0.0171509406262275,0.0171509406260803,0.9999999999914173,Unchanged,"0.3449 L-alanine + 0.2755 L-argininium(1+) + 0.1901 L-asparagine + 0.2448 L-aspartate(1-) + 29.93 ATP + 0.020401 cholesterol + 0.0066 cardiolipin + 0.039036 CTP + 0.1067 L-cysteine + 0.035 dATP + 0.02523 dCTP + 0.02523 dGTP + 0.035 dTTP + 0.27519 D-Glucose 6-phosphate + 0.2424 L-glutamine + 0.3626 L-glutamate(1-) + 0.3106 Glycine + 0.025686 glycogen, structure 2 (glycogenin-1,6-{7[1,4-Glc], 4[1,4-Glc]}) + 0.036117 GTP + 29.83 Water + 0.1255 L-histidine + 0.2186 L-isoleucine + 0.4616 L-leucine + 0.3013 L-lysinium(1+) + 0.1088 L-methionine + 0.0017 phosphatidate(2-) + 0.0182 1-phosphatidyl-1D-myo-inositol(1-) + 0.1302 Phosphatidylcholine + 0.05 Phosphatidylethanolamine (gallus gallus) + 0.0015 phosphatidylglycerol(1-) + 0.1674 L-phenylalanine + 0.2936 L-proline + 0.0165 phosphatidylserine + 0.433 L-serine + 0.0214 sphingomyelin betaine + 0.010837 triglyceride + 0.2674 L-Threonine + 0.0552 L-tryptophan + 0.131 L-tyrosine + 0.053446 UTP + 0.2967 L-valine --> 29.83 ADP + 29.83 proton + 29.83 hydrogenphosphate",['Biomass And Maintenance Functions'],Biomass And Maintenance Functions,['Biomass And Maintenance Functions'],Biomass And Maintenance Functions
BTNTe,0.0,0.2776277523866119,1000.0,On,Biotin --> Biotin,['Extracellular Transport'],Extracellular Transport,['Extracellular Transport'],Extracellular Transport
