sheet,metabolite,group_type,mean,median,std,cv,iqr,n_samples,mean_vsedian_diff
Leg,udpg,fast,188.2083804,191.1822213,47.32047105,0.251425951,39.28249961,12,2.973840853
Leg,ura,slow,40.75720156,32.48367322,23.16310646,0.568319354,20.78674391,12,8.273528335
Leg,ura,fast,30.91639646,29.20108053,19.02331076,0.615314621,14.94346423,12,1.715315925
Leg,uri,slow,65.55190944,69.38244683,29.60935988,0.451693324,46.50890199,12,3.830537384
Leg,uri,fast,59.94182933,63.78191184,19.69777896,0.328614912,26.22439393,12,3.840082508
Leg,gmp,slow,86.47401752,86.2026281,23.04245527,0.266466806,31.32389485,12,0.271389426
Leg,gmp,fast,91.89640649,87.10364682,19.25543639,0.209534161,16.20680927,12,4.792759676
Leg,ins,slow,3582.248845,2488.163603,2528.366337,0.705804216,5095.355364,24,1094.085241
Leg,ins,fast,3666.236138,2862.69331,2617.840198,0.714040258,4723.114648,24,803.5428276
Leg,fum,slow,37.1405118,35.60656802,14.74873729,0.397106463,19.7239905,12,1.533943773
Leg,fum,fast,45.68252946,33.77571253,30.04044304,0.657591499,29.19370754,12,11.90681694
Leg,tyr__L,slow,234.4331557,226.0408242,36.01151855,0.15361103,64.58108214,12,8.392331499
Leg,tyr__L,fast,222.7691734,222.1166397,46.47402818,0.208619655,37.96013671,12,0.652533691
Leg,his__L,slow,141.0258935,126.2364032,55.87923347,0.396233855,43.47714799,12,14.78949037
Leg,his__L,fast,132.386877,134.6812933,33.82150569,0.25547476,24.67934128,12,2.294416326
Leg,g3p,slow,150.2075799,162.0622255,63.23109332,0.420958072,67.1409084,12,11.85464554
Leg,g3p,fast,131.9285584,131.0084693,30.013766,0.227500144,54.03690476,12,0.920089037
Leg,carn,slow,7284.276153,7956.881332,3552.614605,0.487710039,5265.56474,12,672.6051784
Leg,carn,fast,7562.335928,8028.371983,3061.058519,0.404776851,4385.750352,12,466.0360558
Leg,ans,slow,14748.66359,15560.24549,4724.024943,0.320301898,4515.491672,12,811.581899
Leg,ans,fast,14762.81938,14215.71193,1811.017169,0.122674208,1845.805115,12,547.107451
Leg,phe__L,slow,154.8255102,149.7175108,28.10663899,0.181537519,49.21868101,12,5.107999363
Leg,phe__L,fast,148.6607527,146.0052197,26.30239607,0.176928985,33.99616569,12,2.65553302
Leg,hxan,slow,317.8078894,274.2846173,141.0532055,0.443831667,94.56339455,12,43.52327216
Leg,hxan,fast,271.1865325,279.1977587,74.28921223,0.273941377,117.2132217,12,8.011226153
Leg,ade,slow,59.97487674,65.10458329,21.65763185,0.361111736,35.37079373,12,5.129706551
Leg,ade,fast,54.70663927,55.43374077,21.07693436,0.385271964,26.27309508,12,0.727101503
