"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
1.71197909017288,2.34655774494594,0.489720704460178,4.79162453940469,1.65436278558788e-06,1.18276927897003e-05,"THEMIS"
6.36515261264091,2.06815753077461,0.284795265447334,7.26190980571995,3.81662674508221e-13,1.08817036745534e-11,"LOC769491_7"
0.598707563493266,2.46305002302322,1.05820124127584,2.32758186907209,0.0199343171176683,0.0488423067369131,"LOC107053458"
2.84326429374655,1.73998257533038,0.30937714097354,5.62414718118814,1.86426655098801e-08,2.02646524515965e-07,"LOC121113493"
1.09583462722531,2.71712748455132,0.67308128130193,4.0368489809962,5.41739166530226e-05,0.000272045600250035,"LOC124418020"
0.450487712909098,1.95099664593645,0.816845346327409,2.38845291181282,0.0169194763612847,0.042536090125996,"LOC121111076"
12.6586385611689,1.71881848884764,0.399640238595864,4.30091447969983,1.70094700316059e-05,9.63241497925242e-05,"FUT9"
1.29477418203287,2.05079253859611,0.612696043668253,3.34716138579559,0.00081643664170333,0.00304821288526922,"LOC121113482"
1.37877005319898,1.78616542870906,0.515774888589669,3.46307171640935,0.000534046033127507,0.0020954858878082,"LOC112530599"
16.1666312904019,1.90725943660646,0.34146002968026,5.58560086342288,2.32893570534708e-08,2.49285796365661e-07,"LOC101748987"
7.80706442357088,2.12938276931429,0.4177928967338,5.09674239548176,3.45548029904379e-07,2.86738121566395e-06,"LOC121108744"
1.01465647333869,2.81212980585199,0.821825531513277,3.42180876356305,0.00062206049738461,0.00239097388817838,"LOC121107349"
5.38219078337418,1.54677185262898,0.333628846842294,4.63620537393199,3.54863397062851e-06,2.35202762786784e-05,"SORCS2"
2.203211869259,2.53496941159296,0.536981850708339,4.72077298003471,2.34950055055086e-06,1.62982051035093e-05,"FGF22"
2.23361974531934,2.23268578779205,0.431903462965803,5.16940932230688,2.34835043891768e-07,2.02428878032563e-06,"BTN3A3"
0.938161959081123,2.10377863821914,0.540199720373806,3.89444599631294,9.84234153143362e-05,0.000465124454921724,"NYX"
0.383791946975836,2.03096247523207,0.828300010123073,2.4519648079327,0.0142078556619866,0.0366249959877993,"LOC121106468"
1.27582193945602,2.39293248648785,0.54297197211406,4.40710130427355,1.04763197462042e-05,6.26689468868667e-05,"LOC121109633"
1.01858450093383,1.70296603390216,0.549366012934052,3.09987511751404,0.001936022521364,0.00653394638838486,"LOC107049779"
3684.16607755803,1.31942867053261,0.147380630939129,8.95252423690301,3.47444573242161e-19,2.91899767466515e-17,"COX5A"
15.8333292926422,1.86160767095144,0.187188988175423,9.94507042907271,2.64986519173163e-23,3.88297687746535e-21,"RNF44"
1.26511996173804,2.27048545446881,0.522480008618063,4.34559297392859,1.38899922583722e-05,8.0639595718676e-05,"LOC112533452"
3.60411984286282,1.85494876294772,0.312247219066265,5.94064142026536,2.83909015012381e-09,3.64835629556699e-08,"LOC101748762"
1.27219421986646,2.43397000764134,0.588555545036077,4.13549753828611,3.54186412081742e-05,0.000186797020980464,"LOC107049364"
1.83138053888535,1.96976936570754,0.431435125891193,4.56562121973423,4.98017310003011e-06,3.19878396567683e-05,"LOC121107026"
345.54709275254,1.02426458335253,0.165722784611943,6.18058998797873,6.3862480798174e-10,9.31475674790034e-09,"LOC420562"
1.32957217862816,2.74297714503957,0.646136886183491,4.24519510291603,2.1840330215725e-05,0.000120293636966157,"LOC100859213"
1.22809982029838,3.01263471932075,0.520442810750076,5.78859897205394,7.09759239861129e-09,8.38012424178321e-08,"LOC121107241"
6.21193160769908,2.0481989357345,0.31059762773107,6.59438048737426,4.27035248506949e-11,8.10466596639243e-10,"SOBP"
0.79972750209668,1.70611910321681,0.617783486231147,2.76167806560381,0.00575051495235382,0.0168923052283363,"LOC121108930"
0.811855405473979,2.87589076982735,0.748748526522668,3.84093012267221,0.000122569004502538,0.000566900389555048,"PKD2L2"
1119.31743861637,2.57990278439226,0.154657082868674,16.6814395858156,1.78856296888347e-62,1.69046029004022e-58,"LOC121109525"
14.0652981842295,1.57647445777023,0.318849803857535,4.94425412434819,7.64359436995918e-07,5.88062126069753e-06,"CSMD1"
2.46307401208012,1.22863897604698,0.403468248168093,3.04519372125438,0.00232530481356821,0.00765509776051097,"CRB1"
0.748076563061562,3.16982676873087,1.15584480026827,2.74243286641524,0.00609859148074558,0.0177716746107883,"LOC121113471"
1.36318038787401,1.50224930802778,0.422741630402103,3.55358734506198,0.000380014981353908,0.00154715123681519,"LOC121110843"
113.136128589787,1.3869344877362,0.216039685236452,6.41981349962726,1.36441397382794e-10,2.3152169970619e-09,"SLC22A23"
5.66265751482307,1.30356545345509,0.278675495353281,4.67771826081277,2.90084738026967e-06,1.96469788710991e-05,"LOC107052441"
0.865633370058449,2.48480994507739,0.751060818115586,3.30840044526857,0.000938305384036177,0.00345611587576692,"IQCM"
2.66205420211191,1.21723677486122,0.376186772746786,3.23572454707373,0.00121334409831914,0.00432425405175844,"LOC770839"
2.42792948735462,1.12962499182437,0.387524134288094,2.91497971835887,0.00355711658300334,0.0110975696927731,"LOC124417811"
1.16639087245515,2.61272371257873,0.551619159320663,4.73646295352827,2.17480474163776e-06,1.51754647586484e-05,"LOC107051741"
61.585523055872,1.61909320227995,0.150635595839497,10.7484103823979,6.02916964570032e-27,1.32522550944969e-24,"GATAD2B"
1.5255712753579,2.03090312284779,0.464770854287943,4.36968692014746,1.24424796231368e-05,7.30889348403214e-05,"IFNG"
0.420018868969713,1.83233043979719,0.784355660600019,2.33609640605575,0.0194862175822672,0.0479006213084667,"LOC121109174"
