,K1_ink,K1,K2_ink,K2,K3_ink,K3,O1_ink,O1,O2_ink,O2,O3_ink,O3
EP10_000862,368,180,232,276,294,171,328,248,313,338,258,283
EP10_000863,264,106,133,176,159,77,196,116,174,173,178,170
EP10_000864,500,341,231,354,320,196,353,333,279,317,288,377
EP10_000865,245,116,110,162,144,89,180,123,139,189,178,171
EP10_000866,234,158,137,176,188,108,191,147,139,200,174,217
EP10_000867,63,43,41,57,67,33,58,30,49,47,52,62
EP10_000868,560,298,284,344,381,210,388,317,314,485,378,420
EP10_000869,301,223,155,192,186,86,225,195,198,252,213,260
EP10_000870,1575,951,703,802,1474,527,1236,772,875,673,1479,1168
EP10_000871,2,7,1,2,4,0,5,4,2,1,4,5
EP10_000872,305,283,215,364,230,136,351,318,331,539,246,394
EP10_000873,414,388,304,663,395,277,608,499,546,970,399,600
EP10_000874,530,319,396,723,455,350,594,489,593,1168,524,738
EP10_000875,1934,895,869,1422,1087,511,1302,965,1540,2677,1019,1075
EP10_000876,517,286,278,339,391,154,440,241,501,813,361,313
EP10_000877,767,377,445,684,601,251,646,469,601,1296,461,626
EP10_000878,459,374,360,666,459,272,513,375,574,1255,378,658
EP10_000879,206,112,111,208,172,88,189,138,222,416,149,227
EP10_000880,427,450,307,431,306,174,437,337,362,620,291,446
EP10_000881,183,107,108,218,141,85,162,131,213,360,102,179
EP10_000882,199,135,149,285,135,105,230,165,245,471,149,222
EP10_000883,118,90,92,212,125,78,136,131,178,280,84,139
EP10_000884,78,68,41,73,53,28,55,75,72,99,62,88
EP10_000885,462,339,309,594,335,210,458,357,478,948,334,469
EP10_000886,193,163,161,313,181,130,258,194,295,500,183,261
EP10_000887,126,78,111,195,101,93,158,114,203,333,131,149
EP10_000888,503,380,362,633,387,273,527,475,566,1033,417,622
EP10_000889,99,73,72,169,92,50,112,90,101,194,81,136
EP10_000890,289,285,183,290,165,145,341,295,292,447,238,330
EP10_000891,76,48,35,61,49,25,44,40,48,92,43,77
EP10_000892,74,85,39,99,67,32,95,82,79,135,92,120
EP10_000893,248,200,173,250,165,113,250,212,219,377,196,284
EP10_000894,60,41,24,74,48,35,57,34,51,82,33,71
EP10_000895,327,252,150,286,219,138,276,228,238,406,271,379
EP10_000896,523,516,364,553,466,313,542,336,542,637,445,570
EP10_000897,348,422,207,336,355,280,430,204,374,313,339,459
EP10_000898,33,16,16,10,48,10,35,17,13,32,28,26
EP10_000899,237,193,140,184,203,103,309,164,198,293,228,256
EP10_000900,53,42,35,57,43,28,72,52,55,71,55,55
EP10_000901,82,92,55,85,88,34,86,78,97,119,76,106
EP10_000902,178,169,158,228,180,90,210,129,208,314,142,239
EP10_000903,53,112,41,53,43,61,47,66,79,69,64,76
EP10_000904,186,219,129,143,121,65,193,197,155,182,200,257
EP10_000905,20,28,14,19,10,10,5,16,8,17,23,21
EP10_000906,1222,1712,3292,3162,2381,2107,1944,1722,3322,2138,1993,2592
EP10_000907,1669,1930,3361,3355,2195,2020,2071,2025,4007,2242,2253,2368
EP10_000908,762,974,1075,1630,894,1439,660,1388,1675,1148,876,1675
EP10_000909,37,28,42,51,37,24,34,23,33,29,34,39
EP10_000910,1,2,1,1,3,3,2,3,1,3,2,5
EP10_000911,2,3,1,6,4,1,4,1,3,3,3,3
EP10_000912,92,50,43,62,91,40,56,32,51,43,66,85
EP10_000913,3546,1616,8808,6643,7796,5208,8693,3517,26481,8395,8356,6588
EP10_000914,7497,6936,7572,9457,10335,6858,13571,5549,12217,5503,11930,10196
EP10_000915,177,156,270,334,280,223,304,171,270,174,248,293
EP10_000916,1050,1405,4539,3038,2449,1772,1798,913,3998,1846,1423,1814
EP10_000917,137,249,963,675,450,402,368,197,727,384,277,393
EP10_000918,98,112,266,193,131,124,138,77,141,74,80,95
EP10_000919,67,79,182,119,101,95,106,50,81,54,59,80
EP10_000920,114,149,458,224,282,212,236,91,405,121,125,151
EP10_000921,317,370,477,363,323,263,325,286,465,178,291,269
EP10_000922,3401,4169,4404,7238,5331,8075,5574,4572,7247,4024,5461,7560
EP10_000923,448,457,603,857,710,1069,699,610,1053,555,934,967
EP10_000924,547,350,481,811,631,825,772,537,883,380,699,824
EP10_000925,124,151,133,172,152,207,228,151,184,110,179,224
EP10_000926,505,383,563,1132,689,959,938,527,859,449,752,849
EP10_000927,34,34,29,69,26,35,42,37,41,29,33,39
EP10_000928,767,627,1834,1393,1592,887,1575,633,1455,757,1183,1133
EP10_000929,1157,1120,2180,2052,1983,1562,2142,1095,2914,1290,1431,1727
EP10_000930,1,4,8,11,16,8,10,1,3,8,17,26
EP10_000931,376,422,733,799,802,772,715,505,964,471,637,825
EP10_000932,45,52,69,89,84,111,87,31,76,48,77,77
EP10_000933,1708,1831,1677,1804,1725,1004,1193,1140,2406,1497,1498,1081
EP10_000934,1826,1891,4714,3681,3224,2773,2926,1970,4651,2115,2372,2591
EP10_000935,890,947,2208,1916,1477,1513,1685,960,2406,1076,1344,1504
EP10_000936,214,166,486,380,322,433,467,235,618,257,246,335
EP10_000937,762,618,1354,1230,1128,956,1134,700,1507,633,752,886
EP10_000938,95,104,200,169,181,148,177,111,250,88,133,163
EP10_000939,2591,1953,3546,2324,4082,2081,4545,1507,4180,1504,3629,2597
EP10_000940,7,4,4,8,8,3,6,6,3,3,5,7
EP10_000941,1776,2113,3407,3252,3416,2917,4177,2040,4077,1873,2803,3192
EP10_000942,1458,1649,3413,3115,2564,3119,2140,2152,3430,1829,1923,2867
EP10_000943,65,39,64,59,99,62,111,45,84,49,75,75
EP10_000944,2379,2551,5607,4982,3841,4540,2980,3159,6006,3133,3150,3973
EP10_000945,701,432,1014,872,488,746,763,470,729,427,646,662
EP10_000946,2226,1849,4436,3502,3183,2155,2482,1575,3133,1752,2225,2468
EP10_000947,510,672,1737,1159,1287,1022,1022,569,1318,863,800,1129
EP10_000948,2343,1713,4745,2933,3467,2717,3846,1465,2432,1629,2569,2354
EP10_000949,2292,2156,3803,3628,3611,3214,3697,2075,3890,2265,2945,3637
EP10_000950,4721,6109,8151,5965,3562,3146,1360,12844,8721,7730,2886,5547
EP10_000951,12303,12169,16839,12776,8102,5691,3190,25796,18431,14755,6349,10256
EP10_000952,3754,4641,7983,4929,3228,2776,1564,9989,8739,7098,2372,4808
EP10_000953,3928,4445,6211,7091,5952,4825,5520,8441,8953,7269,7181,8688
EP10_000954,2332,1885,3221,2686,3958,1853,2950,1370,3822,1996,3321,2687
EP10_000955,63,85,109,99,129,96,108,53,111,74,102,130
EP10_000956,1504,704,1081,1407,1451,888,826,1154,1917,2178,1060,1148
EP10_000957,672,252,462,541,652,417,466,424,826,632,566,481
EP10_000958,1345,331,550,657,1075,489,644,442,1137,583,711,535
EP10_000959,1177,864,1272,1448,1258,849,1544,1495,2587,974,1493,783
EP10_000960,957,1071,2538,2845,1773,2335,2062,2352,3993,2667,1679,2860
EP10_000961,3467,5449,2367,4291,4423,4604,7282,5173,3861,1953,7469,6670
EP10_000962,11009,11056,9120,14247,17211,11605,26925,7827,18971,5848,16334,16940
EP10_000963,1,4,0,1,4,3,2,1,3,2,3,0
EP10_000964,1214,1990,2444,3433,2223,2645,2382,1801,3860,2057,2007,2877
EP10_000965,575,930,1158,1190,834,734,808,674,1098,593,719,838
EP10_000966,398,436,614,732,653,557,944,436,996,396,770,692
EP10_000967,2591,3821,4164,5249,3699,5077,4770,3549,7459,3269,4772,5199
EP10_000968,878,924,1747,1622,1896,1755,2342,884,2093,1140,1509,1663
EP10_000969,2099,1616,2943,3105,3533,2689,4010,1720,3502,1776,2684,3086
EP10_000970,351,341,668,564,602,642,881,331,771,401,528,680
EP10_000971,82,74,85,104,101,75,86,93,113,65,63,102
EP10_000972,1033,877,1267,1322,1561,757,1187,749,1586,801,1276,1098
EP10_000973,4096,2650,3219,4581,4502,2824,4425,1971,3962,1697,4385,3888
EP10_000974,651,769,991,1290,1205,995,1299,581,1325,691,1002,1426
EP10_000975,41,163,146,295,67,244,51,147,220,140,56,270
EP10_000976,24,88,117,183,48,177,55,100,170,108,27,159
EP10_000977,4315,6270,9253,7435,8234,5584,6430,3933,8760,4024,7101,5923
EP10_000978,1018,1002,1317,1544,1586,1087,1572,743,1408,772,1178,1398
EP10_000979,8,9,10,11,7,5,6,5,2,10,5,8
EP10_000980,1047,1564,1618,2034,3167,2746,3678,958,1674,1071,2543,3806
EP10_000981,919,581,761,753,1090,400,765,490,1087,617,931,810
EP10_000982,327,255,154,222,360,195,248,183,150,154,223,232
EP10_000983,28,38,28,41,18,11,26,28,19,26,33,48
EP10_000984,21,10,14,12,13,15,10,20,8,22,14,19
EP10_000985,45,53,30,45,32,15,29,36,22,27,27,40
EP10_000986,25,20,23,32,19,8,12,18,15,14,12,24
EP10_000987,46,34,19,28,21,6,18,23,23,19,21,21
EP10_000988,14,16,14,18,13,7,7,10,6,8,9,9
EP10_000989,26,40,29,31,15,7,16,22,15,27,14,18
EP10_000990,55,49,57,38,33,17,33,31,26,31,22,36
EP10_000991,44,31,21,46,31,10,21,27,27,25,26,33
EP10_000992,9,12,9,12,9,2,6,10,9,5,4,4
EP10_000993,38,29,33,30,24,15,21,31,17,15,20,16
EP10_000994,18,18,36,41,12,11,18,17,17,18,14,16
EP10_000995,38,43,48,49,29,26,28,31,38,36,29,37
EP10_000996,17,14,19,18,15,12,16,13,18,18,20,27
EP10_000997,140,110,126,108,111,48,88,64,113,97,86,116
EP10_000998,94,85,79,119,82,50,73,69,86,77,49,81
EP10_000999,143,125,103,152,121,52,110,86,103,93,90,129
EP10_001000,18,23,20,37,20,12,18,18,25,36,17,26
EP10_001001,5,0,2,3,2,1,4,2,2,7,4,5
EP10_001002,211,256,541,380,477,191,256,182,423,251,276,291
EP10_001003,104,82,82,117,106,45,65,63,72,101,98,160
EP10_001004,227,109,134,171,183,105,109,79,132,119,150,143
EP10_001005,497,429,469,615,735,463,630,324,901,424,696,689
EP10_001006,52,38,86,68,59,24,38,54,153,65,40,55
EP10_001007,24,22,21,29,21,11,11,16,16,24,19,25
EP10_001008,0,3,1,1,1,1,4,2,3,3,1,3
EP10_001009,53,53,46,54,38,54,45,53,42,36,46,108
EP10_001010,46,54,47,70,44,62,57,61,51,50,49,129
EP10_001011,2309,813,1636,842,1419,518,188,632,802,1232,651,460
EP10_001012,11,11,5,8,5,2,3,7,6,5,3,5
EP10_001013,682,446,881,773,844,354,504,400,739,446,520,456
EP10_001014,898,1126,2238,1734,1362,1038,1050,983,1981,1292,911,1158
EP10_001015,459,480,837,794,805,741,878,548,1261,543,726,792
EP10_001016,2771,3111,5915,4516,4726,2920,4047,2733,4862,3031,4470,3834
EP10_001017,2423,1738,3747,2673,3265,2028,2951,1646,2489,1688,2523,2536
EP10_001018,80,70,110,89,123,48,117,42,108,67,85,79
EP10_001019,2423,1910,4826,4036,3765,3133,2859,2008,3603,1916,2754,3092
EP10_001020,11,7,6,11,4,6,7,4,3,4,8,9
EP10_001021,9,4,10,4,6,2,6,2,5,10,9,7
EP10_001022,2436,2747,9156,7025,4788,5833,4393,3172,7000,4176,3883,4697
EP10_001023,941,851,2316,2142,1658,1859,1639,1079,2340,1388,1454,1773
EP10_001024,1111,1045,2642,2548,2225,2219,2144,1292,2959,1587,1801,2371
EP10_001025,2922,2278,4057,4328,3852,4454,5419,2283,4543,1594,3958,3613
EP10_001026,6810,6448,10400,10845,9807,11083,13410,6102,11661,4717,10574,9340
EP10_001027,1402,1931,3071,3159,2435,1920,2220,1613,5088,1940,2048,2637
EP10_001028,46,50,76,84,58,98,116,66,81,60,67,93
EP10_001029,5273,4483,9843,8744,7145,7217,7292,6863,14934,7394,6473,7431
EP10_001030,6788,6011,11296,11895,9642,10729,9539,8836,16594,6982,7599,9569
EP10_001031,4849,4487,7995,7746,6673,7356,6988,6076,11564,5434,5857,6521
EP10_001032,392,141,469,275,276,119,110,408,1366,471,240,125
EP10_001033,596,437,789,715,683,562,573,476,932,420,601,584
EP10_001034,1333,1122,2192,2073,1733,1882,1621,1397,2543,1323,1700,1989
EP10_001035,1849,1199,3866,3504,2512,3193,2547,1970,3970,2012,2410,2727
EP10_001036,819,567,1360,1342,1061,1104,1012,799,1436,737,1027,1050
EP10_001037,339,264,617,533,447,561,482,370,676,359,435,479
EP10_001038,5324,1811,4013,4069,6034,2369,8061,2876,15892,5333,7349,4275
EP10_001039,1878,1611,1447,1509,2680,1561,3902,1204,4866,1493,3355,2609
EP10_001040,133,158,135,163,203,177,211,137,164,127,185,269
EP10_001041,1562,1203,1501,1330,1665,1130,1594,1085,1644,1008,2012,1417
EP10_001042,2037,1651,2239,2295,2302,2104,2469,1788,2261,1326,2376,2425
EP10_001043,904,923,1292,1449,1205,1457,1564,1047,1385,825,1232,1618
EP10_001044,425,412,676,640,619,742,824,435,712,322,616,699
EP10_001045,2681,2658,2004,3965,3761,4922,4413,2328,3375,1763,3884,4302
EP10_001046,4026,2270,3387,3762,7168,4003,11783,2486,6181,2146,6902,4597
EP10_001047,3306,1627,2213,3010,5422,2464,7457,1785,4225,1266,4164,3102
EP10_001048,3129,1808,2631,3126,5247,3462,9828,2038,5237,1644,4971,4182
EP10_001049,337,269,501,521,535,382,534,302,711,283,349,444
EP10_001050,2937,3087,5770,4124,4826,3011,3949,2842,8687,3115,3563,3797
EP10_001051,41,33,29,51,47,27,40,10,40,21,39,49
EP10_001052,917,677,540,1432,770,664,799,651,907,587,1026,869
EP10_001053,6,6,9,9,5,6,8,7,6,13,6,14
EP10_001054,584,492,544,688,579,536,455,573,657,431,549,668
EP10_001055,555,572,989,1008,897,599,613,566,1003,544,593,776
EP10_001056,771,945,1469,1438,1183,1024,1033,902,1637,895,953,1175
EP10_001057,1828,1735,1904,2183,2169,1272,2007,1548,2827,1197,2239,1742
EP10_001058,808,715,866,1364,1216,1625,1279,837,1191,543,1155,1296
EP10_001059,1903,2246,2874,3556,2799,4395,3630,2043,3617,1653,3085,3270
EP10_001060,1217,1348,2358,2166,1747,1172,1492,1406,3345,1408,1678,1663
EP10_001061,365,533,758,741,696,505,593,511,1162,471,503,590
EP10_001062,1937,2737,4299,4042,2929,2720,2922,2954,6364,2692,2688,3205
EP10_001063,102,125,122,141,149,149,280,128,197,104,153,163
EP10_001064,77,103,108,121,158,116,214,91,178,63,123,157
EP10_001065,27,40,48,41,28,22,40,40,38,81,28,38
EP10_001066,590,783,715,1439,401,543,510,526,415,486,305,409
EP10_001067,2887,4503,5543,9133,2444,3796,3245,3054,2907,3847,1737,2996
EP10_001068,6094,8295,11627,10374,9856,5304,7322,4906,11257,4792,6622,5957
EP10_001069,30,15,40,44,22,21,20,23,27,22,16,35
EP10_001070,4,6,7,10,6,5,5,4,6,8,4,7
EP10_001071,0,0,0,0,0,0,0,0,0,0,0,0
EP10_001072,55,66,89,153,75,203,137,143,142,133,56,242
EP10_001073,67,53,83,98,86,83,77,62,114,56,85,97
EP10_001074,174,125,254,328,257,246,288,199,364,201,241,253
EP10_001075,777,669,1447,1349,1235,1288,1252,850,1726,990,1132,1326
EP10_001076,7124,4673,10407,11115,6463,4610,6300,6227,12375,8179,5966,5149
EP10_001077,3268,1594,4047,4823,2501,1470,1897,2064,5140,3091,2158,1586
EP10_001078,1636,851,2011,2487,1067,670,1030,1035,2528,1469,886,744
EP10_001079,1353,1214,2991,2262,1398,1261,1370,2088,4121,1855,1296,1075
EP10_001080,2421,7295,8744,10069,2939,5009,2634,9898,16043,8207,2823,5759
EP10_001081,810,3605,5555,5668,1202,3608,1337,7598,12721,5797,1711,3584
EP10_001082,1816,7033,11031,11103,2540,6392,2752,15314,25083,10343,3795,5710
EP10_001083,2033,9678,13918,13410,2984,7503,3446,18305,32013,13179,4790,6816
EP10_001084,2680,4090,5617,4551,4885,3503,3662,2986,6202,3268,3380,3913
EP10_001085,42,57,111,59,44,24,38,33,34,38,49,61
EP10_001086,54,74,79,60,25,15,26,41,36,24,35,45
EP10_001087,35,52,60,48,29,12,24,26,30,27,26,47
EP10_001088,16,20,35,32,32,13,18,20,15,17,23,32
EP10_001089,49,50,85,75,55,33,47,37,44,31,58,62
EP10_001090,271,142,636,209,601,88,327,91,63,86,84,112
EP10_001091,18,12,62,12,34,18,19,5,3,8,2,8
EP10_001092,378,365,896,557,758,426,604,281,532,268,395,414
EP10_001093,221,203,562,310,461,324,432,179,355,192,252,327
EP10_001094,248,197,583,364,535,336,475,203,328,207,235,320
EP10_001095,149,106,312,166,262,166,272,101,147,122,124,176
EP10_001096,913,549,2109,1040,1882,409,1867,320,649,312,541,596
EP10_001097,746,777,2776,1246,1867,640,2395,505,802,559,599,820
EP10_001098,253,263,1063,487,631,296,658,178,289,215,210,306
EP10_001099,2306,1829,5738,4308,4139,1969,3401,1476,3235,2193,2446,2573
EP10_001100,472,472,425,468,754,486,931,353,783,462,988,775
EP10_001101,1405,969,1343,1633,1973,1497,2156,1019,2372,1005,1529,1977
EP10_001102,8806,6275,11369,11018,10251,7981,11493,7885,18546,7675,10325,8939
EP10_001103,2568,2419,4387,3729,3419,2967,4580,3003,7490,3147,3510,3164
EP10_001104,26,34,55,70,49,64,62,52,114,55,38,56
EP10_001105,18,4,20,22,13,10,7,15,9,11,11,14
EP10_001106,1431,862,1325,1692,1766,1041,1612,888,1878,983,1881,1693
EP10_001107,1257,1089,1876,2130,2310,1566,2630,1091,2841,1637,2294,2773
EP10_001108,163,144,135,191,139,117,155,143,154,126,126,188
EP10_001109,2025,1563,3447,3107,2509,1988,1873,1209,3001,1392,1652,1741
EP10_001110,1548,1548,2953,2744,2430,1812,1771,1162,2593,1287,1683,1629
EP10_001111,657,863,1659,1412,1176,1253,1153,798,1590,798,882,1220
EP10_001112,5598,7339,7815,15823,5214,9313,6563,6429,10517,6664,11393,10453
EP10_001113,1425,2453,2133,5448,1392,2967,1824,2084,3109,2081,4191,3122
EP10_001114,909,1082,1060,3923,973,4272,1345,1871,1388,1377,1913,3537
EP10_001115,226,241,354,1360,343,1622,426,479,504,387,546,1133
EP10_001116,616,459,727,3111,825,3368,892,1013,1031,789,1415,2245
EP10_001117,792,709,795,3875,916,3989,1097,1463,1290,1005,1637,2551
EP10_001118,251,417,353,1537,402,2105,498,618,617,508,767,1306
EP10_001119,1009,1275,948,4522,1039,5222,1647,1881,1638,1283,2289,3447
EP10_001120,579,630,355,1822,533,2074,687,836,651,530,1152,1557
EP10_001121,901,859,1004,1001,1159,925,1413,721,1342,605,1352,1147
EP10_001122,18302,18308,18243,24428,25626,19981,26083,14715,25549,12281,25355,25409
EP10_001123,3741,7097,9341,10011,6935,7619,5733,5118,10119,5380,5559,8744
EP10_001124,112,277,411,406,234,413,209,228,329,237,130,331
EP10_001125,4049,4359,11348,8922,7333,6186,4931,3386,7655,3919,3856,5590
EP10_001126,1867,1485,3866,3332,2676,1881,1601,1106,2762,1386,1488,1731
EP10_001127,41,34,52,60,63,55,94,29,71,52,75,57
EP10_001128,5288,3481,5951,5425,5589,4306,4746,3421,7768,4232,5096,4630
EP10_001129,740,457,908,853,975,864,829,534,1079,522,593,809
EP10_001130,724,613,1135,1018,1032,1031,914,659,1322,666,799,980
EP10_001131,347,468,910,680,642,829,751,496,1108,607,523,674
EP10_001132,1943,1576,3051,2708,2509,2454,2308,1711,3215,1619,1931,2205
EP10_001133,3987,3184,5706,5006,4808,4282,4698,3219,6537,3165,4167,4045
EP10_001134,119,126,178,193,143,165,152,201,122,152,107,210
EP10_001135,100,117,130,129,74,65,94,94,88,68,52,99
EP10_001136,1,2,1,1,1,2,1,2,3,3,6,2
EP10_001137,3437,3100,3202,6576,5469,7741,6893,4154,6266,3471,5494,7307
EP10_001138,684,382,980,799,964,601,862,394,725,566,626,690
EP10_001139,9062,7959,8323,11098,10032,9308,10583,10734,15086,9947,9563,11892
EP10_001140,552,458,684,949,767,777,837,832,1418,764,781,978
EP10_001141,196,170,220,321,233,312,277,282,501,251,245,336
EP10_001142,218,190,278,376,276,303,315,294,581,255,268,354
EP10_001143,2418,2310,3491,4030,3093,3269,3667,3112,5127,2780,3347,3716
EP10_001144,2529,1949,2724,3445,2882,2843,2710,2483,3795,1875,2874,3016
EP10_001145,1717,1654,2591,3179,2353,3140,2839,2288,3371,2055,2282,3167
EP10_001146,2343,2170,3299,4058,3171,4103,3916,2868,4169,2410,2894,3898
EP10_001147,2675,2383,2940,3927,3158,3389,3708,2709,3447,2273,3159,3464
EP10_001148,679,492,749,1138,865,1257,1219,771,945,690,821,1129
EP10_001149,6748,4211,3701,6065,6455,5273,7371,4167,6441,2719,7526,5806
EP10_001150,4023,3419,3084,4981,4634,4711,5858,3357,5186,2266,5774,4252
EP10_001151,4000,3805,3545,5420,4590,5972,6443,3932,5848,2666,5939,5600
EP10_001152,3333,2826,2585,4680,3133,3886,3970,3057,4096,1881,3796,3431
EP10_001153,1777,1942,1919,3037,2153,3175,3109,2134,3331,1531,2714,2889
EP10_001154,1398,1503,1629,2310,1781,2540,2253,1587,2593,1292,2275,2318
EP10_001155,233,304,383,476,331,359,417,345,484,284,431,366
EP10_001156,390,382,625,669,703,549,839,342,880,530,714,810
EP10_001157,142,208,283,368,290,346,314,274,413,324,234,595
EP10_001158,1133,1494,2047,2438,2151,2309,2773,1637,3578,2035,2309,3145
EP10_001159,1305,1707,1996,2552,2201,2607,2868,1763,3150,1421,2596,2977
EP10_001160,832,986,1241,1567,1220,1574,1977,1008,1980,699,1323,1492
EP10_001161,1364,1607,1868,2357,1960,2003,2471,1689,3205,1173,2080,2116
EP10_001162,837,1317,1808,1835,1755,2017,2509,1526,3374,1257,1880,2210
EP10_001163,196,165,190,246,226,184,359,162,184,131,252,245
EP10_001164,83,78,80,87,109,89,187,82,89,37,97,106
EP10_001165,12688,9671,9444,13108,17550,10670,27497,8047,18045,6587,17971,16328
EP10_001166,4916,5060,6617,7191,10801,7352,16839,4437,12249,4987,12276,11529
EP10_001167,2080,2647,3644,3553,5224,4475,9541,2261,7035,3046,5913,6305
EP10_001168,533,342,338,454,561,509,807,305,376,217,502,484
EP10_001169,2786,2219,3579,3753,4126,2976,4112,1811,2648,1995,3564,3025
EP10_001170,1016,933,1272,1565,1291,1213,1491,739,1111,659,1290,1196
EP10_001171,695,983,1353,1509,1436,1497,1636,739,1221,835,1062,1418
EP10_001172,332,412,849,751,806,512,607,365,832,453,382,590
EP10_001173,437,442,1058,864,726,572,688,438,980,520,488,653
EP10_001174,88,99,108,135,132,113,146,105,84,97,82,139
EP10_001175,35,53,55,92,48,50,85,74,51,51,41,64
EP10_001176,58,54,79,102,71,75,116,63,90,74,61,104
EP10_001177,36,16,21,24,20,7,15,32,12,10,16,18
EP10_001178,11,22,30,19,29,9,14,6,5,6,16,42
EP10_001179,2868,3162,3288,3757,3186,2976,3122,2833,4118,2050,3043,3307
EP10_001180,2516,3239,3541,3783,3296,3326,3517,2970,4268,2392,3219,3615
EP10_001181,40,50,68,77,72,96,83,34,68,65,72,149
EP10_001182,25,17,23,25,20,51,41,23,19,18,24,41
EP10_001183,1291,927,482,998,1035,733,1010,652,736,533,886,844
EP10_001184,1133,710,492,761,939,718,991,510,621,353,826,687
EP10_001185,136,229,174,327,257,284,331,247,294,190,215,313
EP10_001186,7,3,9,10,12,7,8,9,7,11,12,5
EP10_001187,121,98,57,124,110,83,121,71,81,72,92,104
EP10_001188,136,52,65,81,133,34,114,38,65,39,92,69
EP10_001189,56,48,47,66,60,34,65,29,57,34,58,50
EP10_001190,771,372,292,567,584,343,672,297,448,254,579,465
EP10_001191,2110,1206,1688,1963,2580,1233,2712,1343,2221,1377,2501,2223
EP10_001192,81,175,143,223,90,257,124,170,165,176,81,307
EP10_001193,32,48,72,86,45,80,56,53,78,52,33,108
EP10_001194,296,361,594,632,544,714,452,391,744,357,467,669
EP10_001195,639,643,1153,1236,861,1180,870,751,1468,768,886,1105
EP10_001196,189,151,324,358,270,303,254,195,363,171,174,297
EP10_001197,3088,3555,5672,5490,4069,3416,4246,3804,6050,3689,3355,3365
EP10_001198,2502,2293,5307,4668,3438,2972,3645,2689,5824,3456,2710,3055
EP10_001199,519,430,927,865,722,602,897,525,1172,619,622,687
EP10_001200,13,24,25,13,21,5,15,15,13,18,11,19
EP10_001201,31,21,46,31,37,25,37,23,26,26,26,36
EP10_001202,284,149,212,287,280,245,276,176,291,138,266,274
EP10_001203,2822,2455,4518,4523,5282,3915,5548,2259,5572,2390,4214,4465
EP10_001204,16,32,24,54,23,47,23,29,42,19,11,43
EP10_001205,73,95,94,148,53,122,89,82,119,80,50,122
EP10_001206,2320,3592,4750,4803,4529,5799,6604,3202,6774,2890,4566,5933
EP10_001207,877,1245,1611,1898,1542,1864,2036,1117,2451,914,1736,1869
EP10_001208,6616,7123,19064,14011,9941,9418,8495,6115,13832,6718,7163,8503
EP10_001209,1527,1534,3446,3210,1744,1839,1694,1293,3110,1435,1560,1781
EP10_001210,18,23,19,16,13,17,12,16,20,23,17,22
EP10_001211,42670,34955,56540,52450,54237,29794,40810,25214,43724,27033,27225,27412
EP10_001212,54186,54523,94348,77372,88271,50685,63717,40380,68510,44079,40110,42961
EP10_001213,1438,977,1965,2055,1796,2278,1958,1119,1499,841,1541,2001
EP10_001214,1469,1732,3168,2837,2629,3649,3001,1807,2542,1465,2635,3101
EP10_001215,242,439,521,580,546,570,703,462,672,439,465,821
EP10_001216,31,30,20,26,16,6,17,24,16,13,12,17
EP10_001217,626,620,1205,1214,1124,937,1041,677,1237,719,748,935
EP10_001218,881,659,1187,1316,980,935,1056,711,1609,666,945,1112
EP10_001219,470,310,665,704,606,500,574,348,888,387,473,546
EP10_001220,989,787,1538,1654,1601,1585,1808,1028,1972,1119,1489,1703
EP10_001221,1528,966,1460,1863,2045,1669,2141,1216,1918,1045,1740,1730
EP10_001222,712,433,757,796,947,792,968,525,1042,525,796,799
EP10_001223,1674,1283,2638,2426,2734,2532,3051,1592,3420,1779,2308,2748
EP10_001224,657,449,868,889,892,767,943,592,1071,521,787,721
EP10_001225,547,277,442,578,527,355,469,271,581,259,420,392
EP10_001226,63,61,141,105,114,130,124,59,184,87,75,125
EP10_001227,121,149,254,245,256,279,318,123,300,126,170,261
EP10_001228,130,148,142,134,177,244,237,115,291,98,201,238
EP10_001229,1592,1794,2873,3461,2960,4332,2918,2231,4669,1831,2807,3773
EP10_001230,1655,1350,1879,2272,1936,1254,1388,1366,2295,1209,1367,1563
EP10_001231,1514,1163,1899,2034,1683,1301,1095,1159,2135,1291,1790,1447
EP10_001232,2826,2576,4007,4260,4033,2662,2424,2338,4534,2645,3519,3184
EP10_001233,1508,1113,1431,1929,1811,1651,2245,1389,2209,1043,2100,1996
EP10_001234,631,526,1034,978,941,788,1011,481,1118,549,787,862
EP10_001235,1268,1206,2501,2556,2195,2166,2086,1209,2847,1282,1784,2119
EP10_001236,1797,1748,3598,3567,3255,3035,3394,1927,4219,1932,2691,3048
EP10_001237,1024,704,1505,1520,1726,1325,1490,756,1890,784,1177,1365
EP10_001238,2134,2203,2468,2575,3158,2040,3475,1349,3170,1241,3816,2439
EP10_001239,1006,914,1421,1476,1675,1452,2550,833,1333,711,1403,1411
EP10_001240,585,580,791,868,876,741,1303,598,1002,488,905,791
EP10_001241,75,49,43,42,88,47,88,47,61,36,67,92
EP10_001242,188,205,972,396,269,304,221,213,322,171,205,369
EP10_001243,322,313,1600,699,604,825,630,366,750,461,525,800
EP10_001244,821,569,3200,1506,1236,1456,1146,802,1415,732,1044,1359
EP10_001245,927,688,3725,1712,1487,1623,1382,922,1599,892,1174,1640
EP10_001246,238,180,933,433,404,474,400,271,426,229,347,469
EP10_001247,52,87,55,78,116,75,133,71,114,41,129,86
EP10_001248,37,55,26,72,32,57,29,65,53,67,27,98
EP10_001249,1716,1332,1018,1594,1916,1273,2828,1091,2415,1189,2219,2050
