,K1_ink,K1,K2_ink,K2,K3_ink,K3,O1_ink,O1,O2_ink,O2,O3_ink,O3
EP10_000517,356,294,660,924,464,734,609,381,1482,467,591,690
EP10_000518,72,50,105,78,84,67,80,55,100,47,66,74
EP10_000519,248,273,293,385,347,354,313,258,554,355,315,464
EP10_000520,397,284,319,444,390,326,368,302,574,335,393,388
EP10_000521,1132,1112,1974,1663,1728,1158,1581,940,2485,1224,1430,1412
EP10_000522,815,586,935,1011,1299,433,1102,392,914,610,913,919
EP10_000523,260,608,936,805,580,826,548,463,1741,285,663,789
EP10_000524,270,302,256,389,251,288,299,359,359,200,296,351
EP10_000525,12,14,12,16,12,18,8,17,15,10,10,16
EP10_000526,45,43,35,44,26,22,26,35,42,39,38,40
EP10_000527,28,37,29,22,24,10,12,20,26,15,16,16
EP10_000528,6,7,3,10,4,6,5,9,14,9,12,7
EP10_000529,4,2,9,14,6,3,8,5,3,0,2,6
EP10_000530,8,8,13,12,6,7,12,12,10,12,10,6
EP10_000531,10,9,3,4,13,4,10,4,7,6,7,6
EP10_000532,24886,25357,54518,57074,37914,51138,45031,34508,80693,34608,34717,42920
EP10_000533,60,49,49,96,80,69,126,52,70,48,109,123
EP10_000534,131,143,137,235,217,216,327,146,240,140,274,296
EP10_000535,513,531,783,774,785,510,719,443,847,505,624,827
EP10_000536,156,195,236,238,246,193,262,177,290,161,170,275
EP10_000537,1,0,6,3,4,0,3,1,0,3,3,3
EP10_000538,0,0,0,0,0,0,0,0,0,0,0,0
EP10_000539,83,61,72,75,88,54,82,45,84,43,90,84
EP10_000540,53,47,51,71,89,42,51,39,54,61,54,55
EP10_000541,75,78,108,146,125,113,117,68,130,82,102,128
EP10_000542,0,0,0,0,0,0,0,0,0,0,0,0
EP10_000543,54,43,72,65,56,46,79,30,54,35,51,57
EP10_000544,329,180,219,282,309,186,288,120,223,146,257,224
EP10_000545,227,111,150,131,217,107,206,67,132,90,158,153
